entry_date,exit_date,days,episode_strategy_return,entry_rsi,exit_rsi,episode
2020-12-29,2020-12-29,1,0.12130674180722867,67.69088692342014,67.69088692342014,92
2021-01-04,2021-01-04,1,0.19887639057594275,68.93611192356789,68.93611192356789,93
2021-01-08,2021-01-08,1,0.014443256253982684,69.37134281463278,69.37134281463278,94
2021-01-21,2021-01-21,1,-0.0033415730302637225,68.03592655752533,68.03592655752533,95
2021-01-26,2021-01-26,1,0.004864701658901627,67.54677017560235,67.54677017560235,96
2021-04-06,2021-04-06,1,0.0033421750270146156,67.86474521085526,67.86474521085526,97
2021-04-08,2021-04-20,9,0.031771008100776044,68.98756840023492,68.76555612666918,98
2021-07-02,2021-07-07,3,0.11914641439394691,68.8377128625589,70.33695067227488,99
2021-07-12,2021-07-14,3,-0.02630094709159503,67.94988241378536,66.91600660597197,100
2021-10-26,2021-10-26,1,0.07415097427459627,68.03255395873973,68.03255395873973,101
2021-11-04,2021-11-10,5,0.2158975568214101,73.67405490265116,68.7846031603534,102
2022-08-11,2022-08-11,1,0.04411688900431132,68.77779726371296,68.77779726371296,103
2022-08-15,2022-08-17,3,-0.05788011021927231,70.18809123016936,69.30661844142458,104
2023-02-02,2023-02-02,1,0.16407455774252333,67.86673775579499,67.86673775579499,105
2023-06-13,2023-06-21,6,-0.0796000942319306,70.78661964503388,66.87440473130341,106
2023-07-03,2023-07-03,1,-0.0019270078406611324,69.2236695399047,69.2236695399047,107
2023-07-13,2023-08-01,14,-0.052244958562163935,69.08918861141481,67.25480391993261,108
2023-11-15,2023-11-15,1,0.00373192284124646,68.4453702316767,68.4453702316767,109
2023-11-17,2023-11-17,1,-0.02687830587388318,68.76752900619067,68.76752900619067,110
2023-12-13,2023-12-29,12,-0.044433666970072005,73.46068580234234,73.2893342764625,111
2024-01-22,2024-01-22,1,-0.028220394556304762,69.07926123542151,69.07926123542151,112
2024-01-24,2024-01-24,1,0.1043509306683228,72.3121984611367,72.3121984611367,113
2024-01-26,2024-01-26,1,-0.020876274862489663,71.64159961700959,71.64159961700959,114
2024-01-30,2024-01-30,1,-0.027034720407577373,74.92862913399055,74.92862913399055,115
2024-02-05,2024-02-05,1,-0.05872206519122525,68.68528381850496,68.68528381850496,116
2024-02-07,2024-02-12,4,0.07968450772310698,68.87311106757805,73.11653429482227,117
2024-02-23,2024-02-23,1,-0.033921434222271896,69.16052837182119,69.16052837182119,118
2024-03-04,2024-03-04,1,0.00555441480740404,69.22765684677154,69.22765684677154,119
2024-03-08,2024-03-08,1,0.07729960697921934,67.99639651975109,67.99639651975109,120
2024-03-21,2024-03-21,1,0.04263961786431536,69.64662481145015,69.64662481145015,121
2024-05-16,2024-05-16,1,-0.0032831174120415696,69.45379099978535,69.45379099978535,122
2024-05-20,2024-05-20,1,0.007679421251647334,68.15021899143912,68.15021899143912,123
2024-06-12,2024-07-01,13,-0.058694273371729944,70.68588868743747,66.56240782277348,124
2024-07-05,2024-07-16,8,-0.0037428984432649193,74.01302312863965,74.65154667606643,125
2024-10-15,2024-10-15,1,0.1078674012571732,68.48045874098224,68.48045874098224,126
2024-11-08,2024-11-14,5,-0.07221689435169698,67.69375083796436,67.15558876071874,127
2024-12-04,2024-12-09,4,0.06342282314811243,68.6821335475463,67.80122671719766,128
2025-05-16,2025-05-16,1,0.013006761815473666,68.6573294837103,68.6573294837103,129
2025-06-11,2025-06-11,1,0.0558909284014093,68.14484092579428,68.14484092579428,130
2025-06-27,2025-07-15,12,-0.1021691041469559,68.89945486361586,70.68265630832991,131
2025-07-24,2025-07-24,1,0.011574121883079824,74.74751025458694,74.74751025458694,132
2025-07-28,2025-07-29,2,0.03906826192806867,76.85436929711445,77.4684904359239,133
2025-07-31,2025-07-31,1,0.08211517221781262,75.47288407154099,75.47288407154099,134
2025-08-13,2025-08-13,1,0.02994223689580089,67.66681254099453,67.66681254099453,135
2025-08-15,2025-08-15,1,0.003555445235013055,68.76632232289587,68.76632232289587,136
2025-09-12,2025-09-24,9,0.006982825615872157,68.0167189490467,68.59801921480684,137
2025-10-02,2025-10-02,1,0.055123645483821315,70.50147584020488,70.50147584020488,138
2025-10-06,2025-10-07,2,0.07142463853248748,70.92453408214416,72.00805405795711,139
2025-10-09,2025-10-09,1,0.01114484906962665,70.42113036863971,70.42113036863971,140
2025-10-28,2025-10-29,2,0.10567675062445048,69.05459570697815,69.84265075327956,141
2026-04-15,2026-04-17,3,0.002107277510712935,67.53406456368499,71.35358020250133,142
