fold,train_start,train_end,oos_start,oos_end,train_cagr,train_mdd,oos_cagr,oos_vol,oos_mdd,oos_sharpe,oos_net
18,2007-12-31,2012-12-31,2013-01-02,2013-12-31,1.3440537309721137,-0.3809373463286535,5.052055438304759,0.4751874095862966,-0.16004831212738657,10.631711481377703,5.052055438304759
19,2008-12-30,2013-12-31,2014-01-02,2014-12-31,1.8637290907132562,-0.38093734632865317,0.9235205581663388,0.4171570019928009,-0.2166013098715308,2.2138440773008443,0.9235205581663388
20,2009-12-30,2014-12-31,2015-01-02,2015-12-31,1.4887700012360545,-0.3809373463286533,0.19284039252857466,0.41658804143679357,-0.2207221529586978,0.46290429236393044,0.19284039252857466
21,2010-12-30,2015-12-31,2016-01-04,2016-12-30,1.131863153836338,-0.3809373463286535,1.1127569228165846,0.4575987376073728,-0.21750603376558175,2.431730753093441,1.1127569228165846
22,2011-12-29,2016-12-30,2017-01-03,2018-01-02,1.2608189185053447,-0.3809373463286534,0.8758969421892784,0.4387863776718697,-0.24971732004225022,1.996180799496665,0.8758969421892784
23,2013-01-02,2018-01-02,2018-01-03,2019-01-03,1.2290926258302095,-0.29100901713674365,-0.0989446636256458,0.6174589138620642,-0.4957203814894846,-0.16024493517596106,-0.0989446636256458
24,2014-01-02,2019-01-03,2019-01-04,2020-01-03,0.5229927230291243,-0.4957203814894844,2.7955124892537264,0.5405393780219839,-0.30427706657319487,5.1717092277040955,2.7955124892537264
25,2015-01-02,2020-01-03,2020-01-06,2021-01-04,0.7447473475086561,-0.4957203814894856,5.7999685705257455,0.8862015685919153,-0.4962479572623473,6.544750964209316,5.7999685705257455
26,2016-01-04,2021-01-04,2021-01-05,2022-01-03,1.4712544276824304,-0.49624795726234705,3.3269722815727176,0.6002340532916737,-0.304332194441595,5.542791621581042,3.3269722815727176
27,2017-01-03,2022-01-03,2022-01-04,2023-01-04,1.852228902325538,-0.49624795726234716,-0.6655968484737359,0.5252615847612814,-0.6729657298251956,-1.2671721439066088,-0.6655968484737359
28,2018-01-03,2023-01-04,2023-01-05,2024-01-05,1.020210637755163,-0.6963385654929706,1.0741926920217826,0.5725710406452558,-0.2541884394049002,1.876086312034271,1.0741926920217826
29,2019-01-04,2024-01-05,2024-01-08,2025-01-07,1.3868008342672038,-0.6963385654929701,1.6532618589468542,0.5701770349464008,-0.34825610009967034,2.899558834568404,1.6532618589468542
30,2020-01-06,2025-01-07,2025-01-08,2026-01-09,1.221867307518116,-0.6963385654929706,1.9493051392772394,0.6155252351623375,-0.26534876680625963,3.1668971927091394,1.9493051392772394
