candidate_id,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,low_rsi_entries
35,37.5,0.1,67.5,65.0,20,1.6,30.0,32.5,1.3539148927205291,0.6489244074237325,-0.7875993884076189,1007489.2734232597,139,13
86,40.5,0.0,67.5,66.0,20,1.4,30.0,32.5,1.3500516702261502,0.6531051355003029,-0.7713369194045917,981120.0849274268,142,16
106,40.5,0.1,67.5,65.0,20,1.4,30.0,32.5,1.344926669840428,0.6521231222530812,-0.7776330162254856,947136.6312571975,151,16
95,40.5,0.0,68.0,66.0,20,1.6,30.0,32.5,1.3407555900507906,0.6428063677407766,-0.7713369194045921,920296.8994482884,123,16
11,37.5,0.0,67.5,65.0,20,1.6,30.0,32.5,1.3346666770878524,0.6520997605093732,-0.7815854793609474,882394.7568703835,130,13
108,40.5,0.1,67.5,66.0,15,1.4,30.0,32.5,1.3315649132332106,0.6474257623679996,-0.7776330162254854,863654.7591715256,138,16
115,40.5,0.1,68.0,65.0,20,1.6,30.0,32.5,1.3227112053299073,0.640867048959242,-0.7776330162254856,812195.9770392411,131,16
91,40.5,0.0,68.0,65.0,20,1.6,30.0,32.5,1.3147160711556043,0.6447561930974993,-0.7713369194045918,768212.1205951188,122,16
104,40.5,0.1,67.5,65.0,15,1.4,30.0,32.5,1.3122271409845636,0.6486687489023476,-0.7776330162254859,754982.4148168765,136,16
82,40.5,0.0,67.5,65.0,20,1.4,30.0,32.5,1.307172455786847,0.6536754918337153,-0.7713369194045916,728769.6962114106,140,16
103,40.5,0.1,67.0,66.0,20,1.6,30.0,32.5,1.306759396529213,0.6460931912295245,-0.7776330162254856,726665.8160444773,144,16
182,43.0,0.1,67.5,66.0,20,1.4,30.0,32.5,1.299371379667123,0.6415574354567788,-0.7642073350185259,689984.5161317127,153,17
156,43.0,0.0,67.5,66.0,15,1.4,30.0,32.5,1.2988090629621198,0.6415403268535894,-0.7575311035781367,687264.9840542369,130,17
102,40.5,0.1,67.0,66.0,20,1.4,30.0,32.5,1.2933789843515386,0.6578029090083152,-0.7776330162254855,661515.8619886057,166,16
152,43.0,0.0,67.5,65.0,15,1.4,30.0,32.5,1.2899009085686832,0.6431630093382478,-0.7575311035781366,645501.5045738332,128,17
191,43.0,0.1,68.0,66.0,20,1.6,30.0,32.5,1.2859667923984928,0.6287668074589521,-0.7642073350185261,627825.9446426893,134,17
38,37.5,0.1,67.5,66.0,20,1.4,30.0,32.5,1.2804677512235592,0.6579415941962795,-0.787599388407619,603879.0573738026,153,13
