split_id,train_years,test_years,selected_train_cagr,selected_test_cagr,selected_test_rank,selected_test_rank_pct,is_oos_below_median,is_oos_loss
388,"2011,2012,2013,2014,2016,2021,2022,2023","2010,2015,2017,2018,2019,2020,2024,2025",1.2995219220547698,1.5132083264662315,69,0.3194444444444444,False,False
389,"2010,2011,2014,2015,2018,2020,2021,2024","2012,2013,2016,2017,2019,2022,2023,2025",2.018659282850197,0.9696895351515131,64,0.2962962962962963,False,False
390,"2010,2012,2014,2016,2020,2022,2023,2024","2011,2013,2015,2017,2018,2019,2021,2025",1.4240892907104947,1.6313136718158732,12,0.05555555555555555,False,False
391,"2011,2013,2014,2015,2017,2019,2020,2021","2010,2012,2016,2018,2022,2023,2024,2025",2.4552342942349723,0.8058959378505737,6,0.027777777777777776,False,False
392,"2010,2012,2014,2016,2017,2021,2024,2025","2011,2013,2015,2018,2019,2020,2022,2023",1.884736373197116,1.3310406101878445,1,0.004629629629629629,False,False
393,"2010,2011,2014,2017,2018,2019,2020,2021","2012,2013,2015,2016,2022,2023,2024,2025",2.2861538624272857,1.0483464057057579,2,0.009259259259259259,False,False
394,"2012,2014,2018,2019,2020,2021,2022,2023","2010,2011,2013,2015,2016,2017,2024,2025",1.30610251449243,1.9157164697316857,2,0.009259259259259259,False,False
395,"2011,2012,2013,2015,2016,2018,2021,2025","2010,2014,2017,2019,2020,2022,2023,2024",1.6044464714442563,1.5776051700317488,1,0.004629629629629629,False,False
396,"2010,2011,2012,2014,2018,2019,2023,2025","2013,2015,2016,2017,2020,2021,2022,2024",1.7165711763206857,1.4733558510383875,12,0.05555555555555555,False,False
397,"2010,2012,2014,2015,2020,2021,2022,2023","2011,2013,2016,2017,2018,2019,2024,2025",1.4229306867243068,1.6325544064256854,18,0.08333333333333333,False,False
398,"2011,2013,2015,2019,2020,2023,2024,2025","2010,2012,2014,2016,2017,2018,2021,2022",2.660824424257798,0.6778167620153477,37,0.1712962962962963,False,False
399,"2010,2011,2013,2014,2017,2021,2023,2025","2012,2015,2016,2018,2019,2020,2022,2024",2.347509394973015,1.0132473744115886,2,0.009259259259259259,False,False
400,"2010,2012,2013,2014,2015,2020,2021,2024","2011,2016,2017,2018,2019,2022,2023,2025",2.5461270155618143,0.806463812116812,24,0.1111111111111111,False,False
401,"2010,2011,2017,2018,2020,2022,2024,2025","2012,2013,2014,2015,2016,2019,2021,2023",1.216933951662698,1.8909622832280082,6,0.027777777777777776,False,False
402,"2011,2015,2018,2020,2021,2022,2023,2025","2010,2012,2013,2014,2016,2017,2019,2024",1.1643324542315754,2.109287241199077,1,0.004629629629629629,False,False
403,"2015,2016,2017,2018,2019,2020,2021,2025","2010,2011,2012,2013,2014,2022,2023,2024",1.9980174603516798,1.2344389557549622,1,0.004629629629629629,False,False
404,"2010,2014,2015,2020,2022,2023,2024,2025","2011,2012,2013,2016,2017,2018,2019,2021",1.3652053287556392,1.8349212415607719,1,0.004629629629629629,False,False
