start,low_rsi_entry,tqqq_rebound_exit_pct,cagr,annualized_vol,max_drawdown,final_multiple,override_entries,override_exits,override_day_share,wait_exit_day_share
2010-02-12,30.0,6.5,1.0263559423709814,0.6422433402857782,-0.6621446903430855,89636.60694446941,9,9,0.01204227082821332,0.0022118456623248955
2010-02-12,30.0,7.0,1.045371141757085,0.6423667867034976,-0.6621446903430859,104227.7175105483,9,9,0.012779552715654952,0.0022118456623248955
2010-02-12,30.0,7.5,0.9220287425706428,0.6530882259567828,-0.6992207718398021,38178.7059255367,7,7,0.05357581715409192,0.0017203244040304743
2010-02-12,30.0,8.0,0.9220287425706428,0.6530882259567828,-0.6992207718398021,38178.7059255367,7,7,0.05357581715409192,0.0017203244040304743
2010-02-12,30.0,8.5,0.9220287425706428,0.6530882259567828,-0.6992207718398021,38178.7059255367,7,7,0.05357581715409192,0.0017203244040304743
2010-02-12,30.0,9.0,0.9221745844994351,0.6529623766447572,-0.6992207718398022,38225.50965553801,7,7,0.054558859670680755,0.0017203244040304743
2010-02-12,30.0,9.5,0.9221745844994351,0.6529623766447572,-0.6992207718398022,38225.50965553801,7,7,0.054558859670680755,0.0017203244040304743
2010-02-12,30.0,10.0,0.940594398692183,0.6524968111023612,-0.6992207718398022,44589.490861196165,7,7,0.05505038092897518,0.0017203244040304743
2010-02-12,30.0,10.5,0.930233637506021,0.6524614780646314,-0.6992207718398022,40897.13247791691,7,7,0.0555419021872696,0.0017203244040304743
2010-02-12,30.0,11.0,0.930233637506021,0.6524614780646314,-0.6992207718398022,40897.13247791691,7,7,0.0555419021872696,0.0017203244040304743
2010-02-12,30.0,11.5,0.930233637506021,0.6524614780646314,-0.6992207718398022,40897.13247791691,7,7,0.0555419021872696,0.0017203244040304743
2010-02-12,30.0,12.0,0.9225281234986054,0.652605511477031,-0.6992207718398021,38339.191205384064,7,7,0.05775374784959449,0.0017203244040304743
2010-02-12,30.0,12.5,0.9183601844232985,0.6525543471246301,-0.6992207718398021,37018.921746989545,7,7,0.058491029737036127,0.0017203244040304743
