Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_monitor_price,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2020-03-04,GSPC,3130.1201171875,3258.71119140625,True,10.61267662048332,11.42334365844718,False,wait_mix,wait_mix,0.039666033795702216,50857398.09702448,0.13338002946258753,3.993856366863172
2020-03-05,GSPC,3023.93994140625,3254.7655908203124,True,9.681427001953052,11.42334365844718,False,wait_mix,wait_mix,-0.015247562302387704,50081946.751002766,-0.09737733116896674,3.6049452927858505
2020-03-06,GSPC,2972.3701171875,3249.73279296875,True,9.174013137817314,11.42334365844718,False,wait_mix,wait_mix,0.04688021257328987,52429799.06077396,-0.061524137703533155,3.3831541421787903
2020-03-09,GSPC,2746.56005859375,3240.196396484375,True,7.310317993164007,11.42334365844718,False,wait_mix,wait_mix,0.07850652329495185,56545880.30208825,-0.22355380306910488,2.6268371673257267
2020-03-10,GSPC,2882.22998046875,3233.0427978515627,True,8.448116302490172,11.42334365844718,False,wait_mix,wait_mix,0.04642400638952534,59170966.61053374,0.18992606561185865,3.1257420155189015
2020-03-11,GSPC,2741.3798828125,3223.0699951171873,True,7.36165618896479,11.42334365844718,False,wait_mix,wait_mix,-0.09092689854436883,53790734.1327655,-0.13786779014555928,2.694802871274184
2020-03-12,GSPC,2480.639892578125,3208.2569921875,True,5.343946456909141,11.42334365844718,False,wait_mix,wait_mix,-0.05711741839971395,50718346.26527656,-0.2943040613159166,1.9017114418123986
2020-03-13,GSPC,2711.02001953125,3197.8617919921876,True,6.786191463470409,11.42334365844718,False,wait_mix,wait_mix,-0.009551916201938099,50233888.87184976,0.35514481942203036,2.577094408407672
2020-03-16,GSPC,2386.1298828125,3180.4273876953125,True,4.447319030761686,11.42334365844718,True,below,wait_mix,-0.0452911266813372,47958739.4472586,-0.3616384123069082,1.6451180781861106
2020-03-17,GSPC,2529.18994140625,3166.3141845703126,True,5.172023773193321,11.42334365844718,False,below,below,-0.3446517012228005,31429678.30825989,0.08542064057353449,1.7856451182438702
2020-03-18,GSPC,2398.10009765625,3149.3505859375,True,4.693265438079799,11.42334365844718,True,below,below,0.1629531718815136,36551244.07980644,-0.09497095035155345,1.6160607043736377
2020-03-19,GSPC,2409.389892578125,3132.79478515625,True,4.801911354064906,11.42334365844718,False,below,below,-0.0925669246910529,33167807.821706705,-0.01279966979507774,1.5953756609888543
2020-03-20,GSPC,2304.919921875,3113.8321826171873,True,4.23957872390744,11.42334365844718,True,below,below,0.0231493226663859,33935620.10710807,-0.12327641648205767,1.3987034665594542
2020-03-23,GSPC,2237.39990234375,3093.086181640625,True,4.25271177291867,11.42334365844718,True,below,below,-0.1171059998184768,29961555.385005176,-0.024295782841820324,1.3647208708758245
2020-03-24,GSPC,2447.330078125,3076.72578125,True,5.200677394866905,11.42334365844718,False,below,below,0.0030977250020554,30054368.044221774,0.29016708869887853,1.7607179528644605
2020-03-25,GSPC,2475.56005859375,3060.474384765625,True,5.080093383789025,11.42334365844718,False,below,below,0.2229085046357699,36753742.282732315,-0.005607661283944521,1.7508444429682364
2020-03-26,GSPC,2630.070068359375,3047.4127880859373,True,5.907472610473589,11.42334365844718,False,below,below,-0.0231862124724169,35901562.20500843,0.18562035642440455,2.0758368125156883
2020-03-27,GSPC,2541.469970703125,3032.45638671875,True,5.293801784515342,11.42334365844718,False,below,below,0.1628669325892306,41748739.516499616,-0.13040010897733745,1.8051474659444737
2020-03-30,GSPC,2626.64990234375,3018.65318359375,True,5.850164890289264,11.42334365844718,False,below,below,-0.1038804352423482,37411862.28470621,0.12005440962237457,2.021863379249763
2020-03-31,GSPC,2584.590087890625,3003.7525830078125,True,5.687793254852253,11.42334365844718,False,below,below,0.1050970792675529,41343739.74078876,-0.05395936577269311,1.9127649136264115
2020-04-01,GSPC,2470.5,2986.7467822265626,True,4.98219203948971,11.42334365844718,False,below,below,-0.0277550528031325,40196242.061204195,-0.1426358558482752,1.6399360531347562
2020-04-02,GSPC,2526.89990234375,2970.8497802734373,True,5.277088165283165,11.42334365844718,False,below,below,-0.1240553556971494,35209682.95461279,0.06843257080434118,1.7521610932054923
2020-04-03,GSPC,2488.64990234375,2954.1119775390625,True,5.06457090377804,11.42334365844718,False,below,below,0.0591900359231554,37293745.353539236,-0.04874163914168872,1.6667578894823634
2020-04-06,GSPC,2663.679931640625,2941.4761767578125,True,6.1247649192809615,11.42334365844718,False,below,below,-0.0402716905325234,35791863.18186277,0.25570169242997953,2.0929507026940244
2020-04-07,GSPC,2659.409912109375,2929.79177734375,True,6.11282634735103,11.42334365844718,False,below,below,0.2093354078056335,43284367.45716146,-0.02303657347684529,2.0447362900479984
2020-04-08,GSPC,2749.97998046875,2919.2665771484376,True,6.503234386444045,11.42334365844718,False,below,below,-0.0019492294132544,43199996.29497985,0.07693536683152713,2.202048826596577
2020-04-09,GSPC,2789.820068359375,2909.59498046875,True,6.527112960815383,11.42334365844718,False,below,below,0.0638670259727232,45959051.58037287,0.0011208876474240181,2.2045170759253336
2020-04-13,GSPC,2761.6298828125,2899.1543798828125,True,6.753955364227246,11.42334365844718,False,below,below,0.0036717997464634,46127804.014313385,0.008584263789982227,2.223441232034597
2020-04-14,GSPC,2846.06005859375,2891.5651806640626,True,7.630286693572942,11.42334365844718,False,below,below,0.0347538651121377,47730923.49294596,0.12485180436731791,2.501041881758809
2020-04-15,GSPC,2783.360107421875,2882.253984375,True,7.377178192138618,11.42334365844718,False,below,below,0.1297508322289544,53924050.53921226,-0.0640831221581527,2.340767309327403
2020-04-16,GSPC,2799.550048828125,2872.29318359375,True,7.772362232208195,11.42334365844718,False,below,below,-0.0331715585008778,52135305.742146485,0.03226699324855509,2.4162968322939085
2020-04-17,GSPC,2874.56005859375,2863.0905859375,False,7.966969013214053,,False,above,below,0.0535684552788353,54928113.536243066,0.041882596555379736,2.517497617678916
2020-04-20,GSPC,2823.159912109375,2852.63818359375,True,7.709084987640324,7.709084987640324,False,wait_mix,above,0.0250383056259806,56303420.43042208,-0.05091848325773507,2.389310457381744
2020-04-21,GSPC,2736.56005859375,2840.815185546875,True,6.856631755828807,7.709084987640324,False,wait_mix,wait_mix,0.016386528325450938,57226038.024124965,-0.12493106403378951,2.0908113596339826
2020-04-22,GSPC,2799.31005859375,2829.7595849609374,True,7.463139533996527,7.709084987640324,False,wait_mix,wait_mix,0.014179760511179171,58037489.538310684,0.11537843926394453,2.332045911103877
2020-04-23,GSPC,2797.800048828125,2818.5605859375,True,7.414189338684028,7.709084987640324,False,wait_mix,wait_mix,-0.004593904950758877,57770870.82779103,-0.020392138876584198,2.2844905070180768
