Date,gspc_rsi14_prev_close,uvix_high_rsi_state,base_strategy_return,uvix_return_proxy,strategy_return,selected_leg,base_target_regime_at_open,strategy_equity
2012-01-18,62.84422404633413,False,0.0397257532961172,-0.06393945004690087,0.0397257532961172,above,above,3.9390418042594124
2012-01-19,66.99305576547843,False,0.0200179604092405,-0.045496643552232645,0.0200179604092405,above,above,4.017893387147421
2012-01-20,68.68582742588848,False,-0.0044277866974634,-0.06944225356714644,-0.0044277866974634,above,above,4.000103012255983
2012-01-23,68.91966731289271,False,-0.0001200597020872,-0.057173772631605994,-0.0001200597020872,above,above,3.9996227610800137
2012-01-24,69.09477188100757,False,-0.0055305575634095,0.012630143121120827,-0.0055305575634095,above,above,3.977502617167938
2012-01-25,68.19386592689423,False,0.0382026462730253,-0.0851622279722866,0.0382026462730253,above,above,4.129453742701638
2012-01-26,71.5681740404761,True,-0.0105969822133221,0.005893698698428771,0.005893698698428771,UVIX,above,4.153791498850221
2012-01-27,66.48842290103315,True,0.0098856191595257,-0.04756285449310154,-0.04756285449310154,UVIX,above,3.9562253181957256
2012-01-30,65.1184069468447,False,0.0016313350715206,0.06174686533854019,0.0016313350715206,above,above,3.9626792473081363
2012-01-31,62.91149085760899,False,0.0034913722263281,-0.0020063348578081477,0.0034913722263281,above,above,3.9765144355740345
2012-02-01,62.49925657218004,False,0.024578306306467,-0.05718214870448795,0.024578306306467,above,above,4.074250425403661
2012-02-02,67.028670373063,False,0.0102986796520982,-0.05054669729747623,0.0102986796520982,above,above,4.116209825357318
2012-02-03,67.55265151360399,False,0.0397633870572042,-0.10405156156769362,0.0397633870572042,above,above,4.279884269851668
2012-02-06,73.58775001531954,True,-0.0009701382455087,-0.02151071459426151,-0.02151071459426151,UVIX,above,4.18782090082642
2012-02-07,73.15626741794375,True,0.0043124514905061,0.0036872928063029307,0.0036872928063029307,UVIX,above,4.203262622708123
2012-02-08,73.94141281512965,True,0.0166417593426322,0.045755290146182355,0.045755290146182355,UVIX,above,4.395584123570736
