Date,signal_source,signal_price,signal_sma,signal_below_sma,trigger_reference_price,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2012-03-05,GSPC,1364.3299560546875,1246.9557525634766,False,,False,above,above,-0.004341730904115604,613.6713419457033,-0.03418807562069215,0.7579252516702695
2012-03-06,GSPC,1343.3599853515625,1247.1927528381348,False,,False,above,above,-0.03418807562069215,592.6910997010119,-0.03377271066109455,0.7323280614428722
2012-03-07,GSPC,1352.6300048828125,1247.3546279907227,False,,False,above,above,-0.03377271066109455,572.6743146794037,0.02504667104389946,0.7506704414940484
2012-03-08,GSPC,1365.9100341796875,1247.6050659179687,False,,False,above,above,0.02504667104389946,587.0178998544693,0.03209343280993271,0.7747620328705401
2012-03-09,GSPC,1370.8699951171875,1247.7742530822754,False,,False,above,above,0.03209343280993271,605.8573193816766,0.01307395055189553,0.7848912333777757
2012-03-12,GSPC,1371.0899658203125,1247.937190246582,False,,False,above,above,0.01307395055189553,613.7782680167766,0.0050577484272438245,0.7888610157789496
2012-03-13,GSPC,1395.949951171875,1248.302939605713,False,,False,above,above,0.0050577484272438245,616.8826040865149,0.06142637080873237,0.8373178850507407
2012-03-14,GSPC,1394.280029296875,1248.6925651550293,False,,False,above,above,0.06142637080873237,654.7754636705896,0.017492161294948794,0.8519643845511936
2012-03-15,GSPC,1402.5999755859375,1249.3032524108887,False,,False,above,above,0.017492161294948794,666.2289016930904,0.010443431545854365,0.86086181628076
2012-03-16,GSPC,1404.1700439453125,1249.9501274108886,False,,False,above,above,0.010443431545854365,673.1866176217919,-0.00015891908342213767,0.8607250089099635
2012-03-19,GSPC,1409.75,1250.6843147277832,False,,False,above,above,-0.00015891908342213767,673.0796354215474,0.022582938967623978,0.8801627092540848
2012-03-20,GSPC,1405.52001953125,1251.4254402160645,False,,False,above,above,0.022582938967623978,688.2797517486229,-0.0003111945638811786,0.879888807403634
2012-03-21,GSPC,1402.8900146484375,1252.3556900024414,False,,False,above,above,-0.0003111945638811786,688.0655628314491,-0.0018670144385876108,0.8782460422958598
2012-03-22,GSPC,1392.780029296875,1253.18344039917,False,,False,above,above,-0.0018670144385876108,686.780934490948,-0.01013099186137112,0.869348538789079
2012-03-23,GSPC,1397.1099853515625,1254.4149406433105,False,,False,above,above,-0.01013099186137112,679.8231624330754,-0.0004721856324455542,0.8689380448994752
2012-03-26,GSPC,1416.510009765625,1255.7720031738281,False,,False,above,above,-0.0004721856324455542,679.5021597031707,0.04883437139616964,0.9113720881043578
2012-03-27,GSPC,1412.52001953125,1257.6036285400392,False,,False,above,above,0.04883437139616964,712.6852205346147,0.0048060073556177585,0.915752149063492
2012-03-28,GSPC,1405.5400390625,1259.0599411010742,False,,False,above,above,0.0048060073556177585,716.1103909467441,-0.008370657527905223,0.9080867014432383
2012-03-29,GSPC,1403.280029296875,1260.8256912231445,False,,False,above,above,-0.008370657527905223,710.1160761119546,-0.005125099375866582,0.9034326668564389
2012-03-30,GSPC,1408.469970703125,1262.2996284484864,False,,False,above,above,-0.005125099375866582,706.4766606534804,-0.007575741926626578,0.8965884941242505
2012-04-02,GSPC,1419.0400390625,1263.801065826416,False,,False,above,above,-0.007575741926626578,701.1245757951847,0.030381701010521844,0.9238283776822075
2012-04-03,GSPC,1413.3800048828125,1265.1066284179688,False,,False,above,above,0.030381701010521844,722.4259330281229,-0.004445109171747674,0.9197218596874516
2012-04-04,GSPC,1398.9599609375,1266.395378112793,False,,False,above,above,-0.004445109171747674,719.2146708873113,-0.042417085708323254,0.8807099387372704
2012-04-05,GSPC,1398.0799560546875,1267.671565246582,False,,False,above,above,-0.042417085708323254,688.7076805496007,0.009791810937348266,0.8893336839480294
2012-04-09,GSPC,1382.199951171875,1269.1812522888183,False,,False,above,above,0.009791810937348266,695.4513759486421,-0.018470169355688126,0.8729075401917913
2012-04-10,GSPC,1358.5899658203125,1270.6503768920898,False,,False,above,above,-0.018470169355688126,682.6062712562243,-0.04139862479038092,0.836770368458697
2012-04-11,GSPC,1368.7099609375,1272.1809394836425,False,,False,above,above,-0.04139862479038092,654.3473103529269,0.011778210503570863,0.8466260260015541
2012-04-12,GSPC,1387.5699462890625,1273.5885643005372,False,,False,above,above,0.011778210503570863,662.0543507167091,0.04025852228602966,0.8807099387372704
2012-04-13,GSPC,1370.260009765625,1274.7926895141602,False,,False,above,above,0.04025852228602966,688.7076805496007,-0.05144559732402043,0.8354012898697302
2012-04-16,GSPC,1369.5699462890625,1276.1070640563964,False,,False,above,above,-0.05144559732402043,653.2767025420858,-0.03424534245729094,0.8067926866088787
2012-04-17,GSPC,1390.780029296875,1277.4444389343262,False,,False,above,above,-0.03424534245729094,630.9050181441622,0.06803532737841578,0.8616830911688254
2012-04-18,GSPC,1385.1400146484375,1278.538564300537,False,,False,above,above,0.06803532737841578,673.8288475982856,-0.022875281539716075,0.8419718478603256
2012-04-19,GSPC,1376.9200439453125,1279.563564300537,False,,False,above,above,-0.022875281539716075,658.4148229998924,-0.04568354737923419,0.8035075870566171
2012-04-20,GSPC,1378.530029296875,1280.5613143920898,False,,False,above,above,-0.04568354737923419,628.3360982381868,-0.019932170056168874,0.7874919371899827
2012-04-23,GSPC,1366.93994140625,1281.5770637512207,False,,False,above,above,-0.019932170056168874,615.8119962756736,-0.02242279335898567,0.7698341682105043
