Date,signal_price,signal_sma,signal_below_sma,trigger_reference_tqqq_close,target_regime_at_close,close_position,strategy_return
2022-12-28,3783.219970703125,3922.249577331543,True,9.37936890953904,wait_mix,wait_mix,-0.011905486807089149
2022-12-29,3849.280029296875,3921.7127029418943,True,9.37936890953904,wait_mix,wait_mix,0.01985945513106005
2022-12-30,3839.5,3921.146577453613,True,9.37936890953904,wait_mix,wait_mix,-0.014158091803874949
2023-01-03,3824.139892578125,3919.8981399536133,True,9.37936890953904,wait_mix,wait_mix,0.03108830935938795
2023-01-04,3852.969970703125,3918.9291397094726,True,9.37936890953904,wait_mix,wait_mix,0.02587651618840335
2023-01-05,3808.10009765625,3917.1744522094727,True,9.37936890953904,wait_mix,wait_mix,-0.00025193565290719967
2023-01-06,3895.080078125,3916.995703125,True,9.37936890953904,wait_mix,wait_mix,0.0365083792649194
2023-01-09,3892.090087890625,3916.941328430176,True,9.37936890953904,wait_mix,wait_mix,0.008401424048828
2023-01-10,3919.25,3917.053140258789,False,,above,wait_mix,-0.0218927220264243
2023-01-11,3969.610107421875,3917.027265930176,False,,above,above,0.0497565422226635
2023-01-12,3983.169921875,3917.2878280639648,False,,above,above,0.0154560016376243
2023-01-13,3999.090087890625,3917.4150787353515,False,,above,above,0.0197870048549282
2023-01-17,3990.969970703125,3916.9971405029296,False,,above,above,0.0054724597435491
2023-01-18,3928.860107421875,3915.5635147094727,False,,above,above,-0.0371104161737331
2023-01-19,3898.85009765625,3914.105390930176,True,9.048815783016307,wait_mix,above,-0.0313460876652826
2023-01-20,3972.610107421875,3913.3015167236326,False,,above,wait_mix,-0.02669373260737935
2023-01-23,4019.81005859375,3912.3202056884766,False,,above,above,0.0657186378737477
2023-01-24,4016.949951171875,3911.74776763916,False,,above,above,-0.0059822374156704
2023-01-25,4016.219970703125,3911.090203857422,False,,above,above,-0.0074076022564583
2023-01-26,4060.429931640625,3910.463639831543,False,,above,above,0.0578360563502438
2023-01-27,4070.56005859375,3910.1810775756835,False,,above,above,0.0286594234794366
2023-01-30,4017.77001953125,3910.1807647705077,False,,above,above,-0.0600085426504083
2023-01-31,4076.60009765625,3911.2791397094725,False,,above,above,0.0446876006117373
2023-02-01,4119.2099609375,3913.5890151977537,False,,above,above,0.0646006734642061
2023-02-02,4179.759765625,3916.3657638549803,False,,above,above,0.1033209926340263
2023-02-03,4136.47998046875,3918.5313262939453,False,,above,above,-0.0516536053437228
2023-02-06,4111.080078125,3921.3082641601563,False,,above,above,-0.0254702104370216
2023-02-07,4164.0,3924.36551361084,False,,above,above,0.0619219104746966
2023-02-08,4117.85986328125,3926.572200012207,False,,above,above,-0.053767618575361
2023-02-09,4081.5,3928.5822631835936,False,,above,above,-0.0268107013534534
2023-02-10,4090.4599609375,3930.4243255615233,False,,above,above,-0.0205590619972381
2023-02-13,4137.2900390625,3931.8340133666993,False,,above,above,0.0474391488427596
2023-02-14,4136.1298828125,3933.3091369628905,False,,above,above,0.0216432602442495
2023-02-15,4147.60009765625,3935.346949768066,False,,above,above,0.0223616188996851
2023-02-16,4090.409912109375,3937.044323730469,False,,above,above,-0.0571757573124057
2023-02-17,4079.090087890625,3938.880012512207,False,,above,above,-0.0215710474371898
2023-02-21,3997.340087890625,3939.9550750732424,False,,above,above,-0.0702993203597708
2023-02-22,3991.050048828125,3940.9529510498046,False,,above,above,0.0008947448186178
2023-02-23,4012.320068359375,3941.9982009887694,False,,above,above,0.025033478532044
2023-02-24,3970.0400390625,3942.4195755004885,False,,above,above,-0.0505886155904441
