Date,gspc_open_implied_rsi14,GSPC_OPEN,GSPC_SMA200_PREV_CLOSE,TQQQ_OPEN,base_target_regime_at_open,tqqq_running_drawdown_pct,selected_leg,action,strategy_return,strategy_equity
2017-06-14,67.65422362469835,2443.75,2276.4518420410154,4.169667126850812,above,6.024004833253804,TQQQ,,-0.013394945996742624,184.07308436380032
2017-06-15,55.39073418978591,2424.139892578125,2277.796241455078,3.941704166419635,above,11.161836083552535,TQQQ,,-0.013479234651359806,181.59192006666112
2017-06-16,59.71282592336666,2431.239990234375,2279.0566418457033,4.003260973884367,above,9.774468203864007,TQQQ,,-0.011980237048899944,179.41640581809762
2017-06-19,65.18212917357724,2442.550048828125,2280.3417907714843,4.073556862466467,above,8.1901388354372,TQQQ,,0.04840178912507942,188.10048085808484
2017-06-20,67.01054916005648,2450.659912109375,2281.7543408203123,4.145043056982918,above,6.578982341167849,TQQQ,,-0.022653647031172452,183.83931895833197
2017-06-21,59.38687562007702,2439.31005859375,2283.0851904296874,4.085869264479758,above,7.912641808242626,TQQQ,,0.029046831026889652,189.1792685922131
2017-06-22,58.42401095562542,2437.39990234375,2284.363341064453,4.197466838645149,above,5.397454679070468,TQQQ,,-0.0011407435909197572,188.96346355403165
2017-06-23,57.02294010323532,2434.64990234375,2285.6034411621094,4.159340987063007,above,6.2567354645651,TQQQ,,0.011227285734930259,191.08501035281483
2017-06-26,61.039181479334445,2443.320068359375,2286.864141845703,4.290399297086513,above,3.3029420957805256,TQQQ,,-0.013266923215268456,188.54990019287527
2017-06-27,57.1482736605319,2436.340087890625,2288.152991943359,4.116449110509472,above,7.2234329636846395,TQQQ,,-0.05502015186571474,178.17585604999792
2017-06-28,52.21742297531699,2428.699951171875,2289.6108410644533,3.977049590674793,above,10.36522059413384,TQQQ,,0.04197752384263964,185.65523729551944
2017-06-29,57.938503059558315,2442.3798828125,2291.019090576172,4.050521900095821,above,8.709301024301174,TQQQ,,-0.05093930072948316,176.19808933091943
2017-06-30,51.66704064861326,2429.199951171875,2292.482490234375,3.9258177017936062,above,11.519885366023663,TQQQ,,-0.0034692074074282875,175.5868216142379
2017-07-03,52.71206016785106,2431.389892578125,2293.9706896972657,3.9476613047121054,above,11.027574047195776,TQQQ,,-0.02723747367890461,170.80428018215756
2017-07-05,52.52529591674726,2430.780029296875,2295.3794396972658,3.8019073971384,above,14.312576925597254,TQQQ,,0.028526390622284792,175.67670979859196
2017-07-06,49.017737731843056,2423.43994140625,2296.846340332031,3.79078695098269,above,14.563209640964702,TQQQ,,-0.02640467141753755,171.03802400064603
2017-07-07,45.49953372807981,2413.52001953125,2298.1994897460936,3.8154109281946753,above,14.008234221330351,TQQQ,,0.029959096087781578,176.16216859634568
2017-07-10,49.968119964584496,2424.510009765625,2299.6265893554687,3.9059611602798214,above,11.96741227705962,TQQQ,,0.02092266782671559,179.8479511335209
