episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
20,21,2012-09-13,2012-09-24,8,2012-09-25,9,69.4,65.4,0.927889538923556,0.927889538923556,0.09684009393246118,5102,True,0.0,0.0,92.7889538923556,92.7889538923556,9.684009393246118
21,22,2013-01-22,2013-02-01,9,2013-02-04,10,69.4,65.4,0.9273004621933787,0.9273004621933787,0.10652478768614371,5101,True,0.0,0.0,92.73004621933786,92.73004621933786,10.65247876861437
22,23,2013-02-19,2013-02-19,1,2013-02-20,2,69.4,65.4,0.9174386444918938,0.9174386444918938,0.20249743504329443,5109,True,0.0,0.0,91.74386444918939,91.74386444918939,20.249743504329444
23,24,2013-03-14,2013-03-15,2,2013-03-18,3,69.4,65.4,0.9235403255962014,0.9235403255962014,0.13041353511287834,5108,True,0.0,0.0,92.35403255962014,92.35403255962014,13.041353511287834
24,25,2013-05-14,2013-05-21,6,2013-05-22,7,69.4,65.4,0.9287657292092344,0.9287657292092344,0.08114504917942278,5104,True,0.0,0.0,92.87657292092344,92.87657292092344,8.114504917942277
25,26,2013-08-02,2013-08-05,2,2013-08-06,3,69.4,65.4,0.9303125309433107,0.9303125309433107,0.052685859723366146,5108,True,0.0,0.0,93.03125309433106,93.03125309433106,5.268585972336615
26,27,2013-09-18,2013-09-19,2,2013-09-20,3,69.4,65.4,0.9303007558926777,0.9303007558926777,0.05281603019101744,5108,True,0.0,0.0,93.03007558926777,93.03007558926777,5.281603019101744
27,28,2013-10-29,2013-10-30,2,2013-10-31,3,69.4,65.4,0.9338792679969927,0.9338792679969927,0.014023214328740208,5108,True,0.0,0.0,93.38792679969927,93.38792679969927,1.4023214328740208
28,29,2013-12-26,2013-12-31,4,2014-01-02,5,69.4,65.4,0.9252820366241306,0.9252820366241306,0.11564984284702917,5106,True,0.0,0.0,92.52820366241306,92.52820366241306,11.564984284702916
29,30,2014-06-05,2014-06-11,5,2014-06-12,6,69.4,65.4,0.9307243598698793,0.9307243598698793,0.056385178188133045,5105,True,0.0,0.0,93.07243598698793,93.07243598698793,5.6385178188133045
