execution_timing,episode_id,episode_number,episode_start,episode_end,episode_days,carry_day,omit_block_days,best_entry,best_exit,best_cagr,full_opt_cagr_without_episode,full_opt_episode_block_return,included_return_days,same_as_full_optimum,entry_shift,exit_shift,best_cagr_pct,full_opt_cagr_without_episode_pct,full_opt_episode_block_return_pct
near_close,14,15,2013-05-14,2013-05-21,6,2013-05-22,7,69.4,66.5,1.1019039344122303,1.1019039344122303,0.08114504917942278,3837,True,0.0,0.0,110.19039344122304,110.19039344122304,8.114504917942277
near_close,15,16,2013-08-02,2013-08-05,2,2013-08-06,3,69.4,66.5,1.1039575575525644,1.1039575575525644,0.052685859723366146,3841,True,0.0,0.0,110.39575575525645,110.39575575525645,5.268585972336615
near_close,16,17,2013-09-18,2013-09-19,2,2013-09-20,3,69.4,66.5,1.1039404897239806,1.1039404897239806,0.05281603019101744,3841,True,0.0,0.0,110.39404897239807,110.39404897239807,5.281603019101744
near_close,17,18,2013-10-29,2013-10-29,1,2013-10-30,2,69.4,66.5,1.1069025832653225,1.1069025832653225,0.027437050797209706,3842,True,0.0,0.0,110.69025832653226,110.69025832653226,2.7437050797209706
near_close,18,19,2013-12-26,2013-12-31,4,2014-01-02,5,69.4,66.5,1.0967621810452974,1.0967621810452974,0.11564984284702917,3839,True,0.0,0.0,109.67621810452974,109.67621810452974,11.564984284702916
near_close,19,20,2014-06-05,2014-06-11,5,2014-06-12,6,69.4,66.5,1.1046963427542966,1.1046963427542966,0.056385178188133045,3838,True,0.0,0.0,110.46963427542966,110.46963427542966,5.6385178188133045
near_close,20,21,2014-06-19,2014-06-23,3,2014-06-24,4,69.4,66.5,1.1055366496728896,1.1055366496728896,0.043796038417296845,3840,True,0.0,0.0,110.55366496728895,110.55366496728895,4.3796038417296845
near_close,21,22,2014-07-01,2014-07-07,4,2014-07-08,5,69.3,67.7,1.1089301536041463,1.1021276049948652,0.07304896730854704,3839,False,-0.10000000000000853,1.2000000000000028,110.89301536041462,110.21276049948652,7.304896730854704
near_close,22,23,2014-11-18,2014-11-28,8,2014-12-01,9,69.4,66.5,1.1046385052156706,1.1046385052156706,0.06623127559401998,3835,True,0.0,0.0,110.46385052156707,110.46385052156707,6.623127559401998
near_close,23,24,2015-11-03,2015-11-04,2,2015-11-05,3,69.4,66.5,1.1131423224096055,1.1131423224096055,-0.014936433125021464,3841,True,0.0,0.0,111.31423224096055,111.31423224096055,-1.4936433125021464
near_close,24,25,2016-03-21,2016-03-22,2,2016-03-23,3,69.4,66.5,1.1056586880441808,1.1056586880441808,0.03979756535432255,3841,True,0.0,0.0,110.56586880441807,110.56586880441807,3.979756535432255
near_close,25,26,2016-03-30,2016-04-04,4,2016-04-05,5,69.4,66.5,1.1000841632462652,1.1000841632462652,0.0890656548155726,3839,True,0.0,0.0,110.00841632462652,110.00841632462652,8.90656548155726
near_close,26,27,2016-11-25,2016-11-25,1,2016-11-28,2,69.4,66.5,1.1051567955939854,1.1051567955939854,0.04050436193226559,3842,True,0.0,0.0,110.51567955939854,110.51567955939854,4.050436193226559
near_close,27,28,2016-12-07,2016-12-21,11,2016-12-22,12,69.4,66.5,1.1306339304081399,1.1306339304081399,-0.10745782629944023,3832,True,0.0,0.0,113.06339304081399,113.06339304081399,-10.745782629944022
