method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,average_tqqq_weight,weight_changes,total_turnover
D_shallow_rebound,D: Shallow rebound,rebound_10_0.08_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 10, ""trend_floor"": 0.08}",1,0.27286110776590045,0.3265432648397424,0.503982674343415,-0.8460592596949045,-0.8067141399256896,0.7287757299191531,0.1818244174218111,1491973.0036978524,0.7611176702085793,300,304.9039549248268
D_shallow_rebound,D: Shallow rebound,rebound_10_0.08_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 10, ""trend_floor"": 0.08}",0,0.26281776076573515,0.295834873574949,0.5136874236897487,-0.8747932005576492,-0.8747932005576493,0.7100832054452837,0.13116200960770108,1173694.4284906874,0.7722681359044995,328,332.73306452866836
D_shallow_rebound,D: Shallow rebound,rebound_10_0.08_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 10, ""trend_floor"": 0.08}",1,0.23466460974009373,0.3313731188544762,0.515885463128488,-0.9387290882355137,-0.9387290882355137,0.7369354927460421,0.1818244174218111,592884.7014705098,0.7721369539551358,328,332.7257142408724
D_shallow_rebound,D: Shallow rebound,rebound_10_0.10_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 10, ""trend_floor"": 0.1}",0,0.3034334917236754,0.30438320074807734,0.48866113610266854,-0.7596262025675775,-0.4659315379540441,0.6313832931502643,0.13116200960770108,3061825.9999507703,0.7434081070444707,264,269.25036975251874
D_shallow_rebound,D: Shallow rebound,rebound_10_0.10_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 10, ""trend_floor"": 0.1}",1,0.30900782406020366,0.3489834106827674,0.4917861402083826,-0.7521362534257342,-0.7022200327948794,0.6997352252718045,0.1818244174218111,3484319.5927432375,0.7432769250951069,264,269.2317913813134
D_shallow_rebound,D: Shallow rebound,rebound_10_0.10_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 10, ""trend_floor"": 0.1}",0,0.3044434671472609,0.2874126921039244,0.5057102427674841,-0.8121226724564407,-0.571687538057265,0.6624766027594302,0.13116200960770108,3134508.570046938,0.7637413091958547,306,310.8626037662742
D_shallow_rebound,D: Shallow rebound,rebound_10_0.10_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 10, ""trend_floor"": 0.1}",1,0.27228197324280035,0.325544135958981,0.5066921147859688,-0.8341681983399383,-0.8067141399256896,0.7287757299191531,0.1818244174218111,1471548.100202181,0.7636101272464909,306,310.83579948907084
D_shallow_rebound,D: Shallow rebound,rebound_10_0.10_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 10, ""trend_floor"": 0.1}",0,0.25419254156738624,0.2812140682185662,0.5167491197812502,-0.8747932005576492,-0.8747932005576493,0.7100832054452837,0.13116200960770108,953672.879027157,0.7750229568411386,334,338.6710335264709
D_shallow_rebound,D: Shallow rebound,rebound_10_0.10_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 10, ""trend_floor"": 0.1}",1,0.23432973574722582,0.3307753131868134,0.5189647213066743,-0.9387290882355137,-0.9387290882355137,0.7369354927460421,0.1818244174218111,588033.2664290643,0.7748917748917749,334,338.6455479872325
D_shallow_rebound,D: Shallow rebound,rebound_20_0.05_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 20, ""trend_floor"": 0.05}",0,0.33485402633992023,0.38017245453276427,0.48185161042253527,-0.6694195767345068,-0.5081928317847342,0.6009538392908733,0.11006295684470091,6299730.765484603,0.7326511871966418,180,185.45018613594794
D_shallow_rebound,D: Shallow rebound,rebound_20_0.05_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 20, ""trend_floor"": 0.05}",1,0.349340534041533,0.3494181829617191,0.4841166411880361,-0.6871725268019093,-0.4709388502726971,0.5328691900415947,0.06580260888283984,8736000.881451072,0.732520005247278,180,185.43609583370403
D_shallow_rebound,D: Shallow rebound,rebound_20_0.05_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 20, ""trend_floor"": 0.05}",0,0.3507393410862838,0.39583719114590243,0.4975678402539393,-0.6866395766458007,-0.5918936493162532,0.6314671794752817,0.11006295684470091,9014515.627826707,0.7491801128164765,204,209.1516831163202
D_shallow_rebound,D: Shallow rebound,rebound_20_0.05_0.40,"{""hard_vol_cap"": 0.4, ""ndx_short_sma"": 20, ""trend_floor"": 0.05}",1,0.33975834211507405,0.3564991256723695,0.49776030042807473,-0.7047450048428516,-0.7047450048428513,0.5590587366105684,0.06580260888283984,7039857.068419903,0.7490489308671127,204,209.15397970494348
D_shallow_rebound,D: Shallow rebound,rebound_20_0.05_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 20, ""trend_floor"": 0.05}",0,0.30959242029935163,0.40061992273160874,0.5068037527913297,-0.8742810119586404,-0.8742810119586404,0.6781857977580128,0.11006295684470091,3531761.969228276,0.7588875770693952,222,226.9966112675842
D_shallow_rebound,D: Shallow rebound,rebound_20_0.05_0.44,"{""hard_vol_cap"": 0.44, ""ndx_short_sma"": 20, ""trend_floor"": 0.05}",1,0.30357725496767785,0.3637647916382001,0.5089737858151858,-0.9001763114814336,-0.9001763114814338,0.5664174409837064,0.06580260888283984,3072071.4905357347,0.7587563951200315,222,227.0006538388222
D_shallow_rebound,D: Shallow rebound,rebound_20_0.08_0.36,"{""hard_vol_cap"": 0.36, ""ndx_short_sma"": 20, ""trend_floor"": 0.08}",0,0.3407060673575477,0.39624053403189263,0.4851952471560283,-0.645303040222017,-0.5456679227914212,0.6009538392908733,0.11006295684470091,7192268.375283272,0.7375049193231011,188,193.35221742319482
