candidate_id,label,delay,year,annual_return
downside_55_0.20,Downside: broad-neighborhood representative,0,2018,0.05914241454169922
downside_55_0.20,Downside: broad-neighborhood representative,0,2019,0.5865151292674664
downside_55_0.20,Downside: broad-neighborhood representative,0,2020,0.1826701493013465
downside_55_0.20,Downside: broad-neighborhood representative,0,2021,0.8298131140963454
downside_55_0.20,Downside: broad-neighborhood representative,0,2022,-0.3552400039272552
downside_55_0.20,Downside: broad-neighborhood representative,0,2023,0.7100353630065541
downside_55_0.20,Downside: broad-neighborhood representative,0,2024,0.5826772248162537
downside_55_0.20,Downside: broad-neighborhood representative,0,2025,0.0023788639675867973
downside_55_0.20,Downside: broad-neighborhood representative,0,2026,0.11006295684470091
downside_55_0.20,Downside: broad-neighborhood representative,1,1996,0.8343878613137627
downside_55_0.20,Downside: broad-neighborhood representative,1,1997,0.6598480898213159
downside_55_0.20,Downside: broad-neighborhood representative,1,1998,0.5466970858415747
downside_55_0.20,Downside: broad-neighborhood representative,1,1999,1.860948223067695
downside_55_0.20,Downside: broad-neighborhood representative,1,2000,-0.03525926684098346
downside_55_0.20,Downside: broad-neighborhood representative,1,2001,0.03709045650476828
downside_55_0.20,Downside: broad-neighborhood representative,1,2002,0.08517898892944653
downside_55_0.20,Downside: broad-neighborhood representative,1,2003,1.3821857941121434
downside_55_0.20,Downside: broad-neighborhood representative,1,2004,0.10012005215727982
downside_55_0.20,Downside: broad-neighborhood representative,1,2005,-0.049836942161382236
downside_55_0.20,Downside: broad-neighborhood representative,1,2006,0.05435624259368166
downside_55_0.20,Downside: broad-neighborhood representative,1,2007,0.15419317181348235
downside_55_0.20,Downside: broad-neighborhood representative,1,2008,0.14221432885646879
downside_55_0.20,Downside: broad-neighborhood representative,1,2009,1.1660480372623803
downside_55_0.20,Downside: broad-neighborhood representative,1,2010,0.32745003425155117
downside_55_0.20,Downside: broad-neighborhood representative,1,2011,0.07097519138013952
downside_55_0.20,Downside: broad-neighborhood representative,1,2012,0.5228695775765473
downside_55_0.20,Downside: broad-neighborhood representative,1,2013,1.3973341234426861
downside_55_0.20,Downside: broad-neighborhood representative,1,2014,0.570908293769264
downside_55_0.20,Downside: broad-neighborhood representative,1,2015,-0.242530841173198
downside_55_0.20,Downside: broad-neighborhood representative,1,2016,0.08525347809064177
downside_55_0.20,Downside: broad-neighborhood representative,1,2017,1.1806179685418834
downside_55_0.20,Downside: broad-neighborhood representative,1,2018,0.11751148121969934
downside_55_0.20,Downside: broad-neighborhood representative,1,2019,0.617669749187344
downside_55_0.20,Downside: broad-neighborhood representative,1,2020,0.0976601561552557
downside_55_0.20,Downside: broad-neighborhood representative,1,2021,0.8298131140963454
downside_55_0.20,Downside: broad-neighborhood representative,1,2022,-0.36778881702357835
downside_55_0.20,Downside: broad-neighborhood representative,1,2023,0.7409501805751257
downside_55_0.20,Downside: broad-neighborhood representative,1,2024,0.5826772248162537
downside_55_0.20,Downside: broad-neighborhood representative,1,2025,0.017653239920414787
downside_55_0.20,Downside: broad-neighborhood representative,1,2026,0.06580260888283984
