method,method_label,candidate_id,parameters,delay,cagr,post_2008_cagr,post_2010_cagr,volatility,max_drawdown,dotcom_max_drawdown,trailing_252_return,return_2026_ytd,ending_value_1000,tecl_share,tqqq_share,defensive_share,asset_switches,tecl_entries,total_turnover
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.20,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.2}",0,0.4003865643970985,0.4081088857042401,0.39293475834969027,0.44254227840749855,-0.5264498366113939,-0.2310135761888068,0.4681358012694672,-0.05133791187827408,26901206.14847712,0.06270497179588089,0.6022563295290568,0.3350386986750623,97,24,103.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.20,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.2}",1,0.39528009810567744,0.40985134426294634,0.40031016926708074,0.44497647002631247,-0.5950036842090513,-0.3707790080622211,0.4414311742221486,-0.06697370693087912,24083324.20765114,0.06257378984651712,0.6022563295290568,0.3351698806244261,97,24,103.74721931334652
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.30,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.3}",0,0.3999583518946721,0.4272099910553726,0.4086947863221779,0.44009472823635987,-0.5264498366113934,-0.2310135761888068,0.49311899137545434,-0.05133791187827408,26653160.730072144,0.15125278761642397,0.5137085137085137,0.3350386986750623,94,24,100.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.30,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.3}",1,0.3893580497429885,0.42743986479608753,0.4114670730042638,0.4424387054151415,-0.5950036842090516,-0.3707790080622211,0.47461905765589685,-0.06697370693087912,21172161.003470264,0.1511216056670602,0.5137085137085137,0.3351698806244261,94,24,100.74721931334652
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.10,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.1}",0,0.39910219567975513,0.39965512028579986,0.3871282737219035,0.44351004809688155,-0.5271113115061787,-0.2310135761888068,0.4314487688571502,-0.07066939998028243,26163839.961115446,0.04132231404958678,0.6236389872753509,0.3350386986750623,96,23,102.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.10,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.1}",1,0.39387639405930686,0.4052279064380735,0.3937191693052764,0.4460680987305858,-0.5943729581288275,-0.3707790080622211,0.4126332079322459,-0.07129995128262956,23360159.46374058,0.04119113210022301,0.6236389872753509,0.3351698806244261,95,22,101.74721931334653
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.20,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.2}",0,0.3902689559985937,0.3995407074946975,0.38589264796499934,0.44327167933197503,-0.5271113115061787,-0.2310135761888068,0.4428261566791145,-0.07066939998028243,21596674.937949836,0.06362324544142726,0.6013380558835104,0.3350386986750623,96,23,102.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.20,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.2}",1,0.3968089724601711,0.4118096007378176,0.4018763547443578,0.44581978155978846,-0.5943729581288273,-0.3707790080622211,0.4292145041808191,-0.07129995128262956,24895600.166275244,0.06349206349206349,0.6013380558835104,0.3351698806244261,95,22,101.74721931334652
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.30,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.3}",0,0.40039824338201524,0.42053846728304745,0.40956351100128097,0.44271759023502233,-0.5271113115061797,-0.2310135761888068,0.4771225606057452,-0.07066939998028243,26908002.46447906,0.10625737898465171,0.558703922340286,0.3350386986750623,94,23,100.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.30,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.3}",1,0.4014902397475286,0.429300111026627,0.41877246427078707,0.4452084809503037,-0.5943729581288273,-0.3707790080622211,0.4558975045789784,-0.07129995128262956,27550853.45090449,0.10612619703528794,0.558703922340286,0.3351698806244261,93,22,99.74721931334653
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.10,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.1}",0,0.39643743077708327,0.39735012366545064,0.38201179189448253,0.44463455587268136,-0.5316945096658928,-0.2310135761888068,0.3824730035199666,-0.07497850818989038,24695800.880088054,0.043683589138134596,0.621277712186803,0.3350386986750623,94,21,100.76353659186469
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.10,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.1}",1,0.39431434843833024,0.40364699307739427,0.3933745202229002,0.4471640748794068,-0.5968168311967381,-0.3707790080622211,0.37177181101108303,-0.07129995128262956,23583502.124622792,0.043683589138134596,0.6211465302374394,0.3351698806244261,94,21,100.74721931334652
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.20,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.2}",0,0.4060530387054768,0.4134035879324953,0.40011434396268664,0.4442957746954457,-0.5316945096658924,-0.2310135761888068,0.41927008193333526,-0.07497850818989038,30401320.290994126,0.07201889020070838,0.5929424111242293,0.3350386986750623,93,21,99.76353659186469
