method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_post_2010_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_tecl_share,max_tecl_share,max_asset_switches,max_total_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements
C_confirmed_profit_target,C: Confirm then target,confirm_2_target_0.30,"{""confirmation_days"": 2, ""profit_target_from_confirmation_close"": 0.3}",0.3893580497429885,0.3946582008188303,0.4272099910553726,0.4086947863221779,0.47461905765589685,-0.06697370693087912,0.4424387054151415,-0.5950036842090516,-0.3707790080622211,0.1511216056670602,0.15125278761642397,94,100.76353659186469,0.3893580497429885,0.3999583518946721,0.010600302151683616,True
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.10,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.1}",0.39387639405930686,0.396489294869531,0.39965512028579986,0.3871282737219035,0.4126332079322459,-0.07129995128262956,0.4460680987305858,-0.5943729581288275,-0.3707790080622211,0.04119113210022301,0.04132231404958678,96,102.76353659186469,0.39387639405930686,0.39910219567975513,0.005225801620448278,True
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.20,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.2}",0.3902689559985937,0.3935389642293824,0.3995407074946975,0.38589264796499934,0.4292145041808191,-0.07129995128262956,0.44581978155978846,-0.5943729581288273,-0.3707790080622211,0.06349206349206349,0.06362324544142726,96,102.76353659186469,0.3902689559985937,0.3968089724601711,0.006540016461577425,True
C_confirmed_profit_target,C: Confirm then target,confirm_3_target_0.30,"{""confirmation_days"": 3, ""profit_target_from_confirmation_close"": 0.3}",0.40039824338201524,0.40094424156477193,0.42053846728304745,0.40956351100128097,0.4558975045789784,-0.07129995128262956,0.4452084809503037,-0.5943729581288273,-0.3707790080622211,0.10612619703528794,0.10625737898465171,94,100.76353659186469,0.40039824338201524,0.4014902397475286,0.0010919963655133813,True
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.10,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.1}",0.39431434843833024,0.39537588960770675,0.39735012366545064,0.38201179189448253,0.37177181101108303,-0.07497850818989038,0.4471640748794068,-0.5968168311967381,-0.3707790080622211,0.043683589138134596,0.043683589138134596,94,100.76353659186469,0.39431434843833024,0.39643743077708327,0.002123082338753024,True
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.20,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.2}",0.4060530387054768,0.4064740177228293,0.4134035879324953,0.40011434396268664,0.41927008193333526,-0.07497850818989038,0.4467611780340794,-0.5968168311967388,-0.3707790080622211,0.07201889020070838,0.07201889020070838,93,99.76353659186469,0.4060530387054768,0.4068949967401818,0.0008419580347049926,True
C_confirmed_profit_target,C: Confirm then target,confirm_5_target_0.30,"{""confirmation_days"": 5, ""profit_target_from_confirmation_close"": 0.3}",0.397179064369223,0.397363640220633,0.41679944097093813,0.397255585096717,0.4018581838714079,-0.07497850818989038,0.4461348914188681,-0.5968168311967397,-0.3707790080622211,0.11334120425029516,0.11334120425029516,93,99.76353659186469,0.397179064369223,0.39754821607204294,0.0003691517028199254,True
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.10,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.1}",0.4009948013867677,0.40127496907706106,0.40980367552869934,0.3970078891391826,0.45583091847875745,-0.04709547625795829,0.4463058794981001,-0.5940318925030557,-0.37620087859235984,0.04342122523940706,0.04355240718877083,71,77.76353659186469,0.4009948013867677,0.40155513676735444,0.0005603353805867517,True
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.20,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.2}",0.39512910443065397,0.39514888190006836,0.4099071358577058,0.3971238029401851,0.46816009405606773,-0.04709547625795829,0.4452377273751564,-0.5940318925030561,-0.37620087859235984,0.06650924832743015,0.06664043027679391,71,77.76353659186469,0.39512910443065397,0.39516865936948276,3.955493882878969e-05,True
D_long_riskoff_profit_target,D: Long-off target,off_10_target_0.30,"{""minimum_preceding_riskoff_days"": 10, ""profit_target_from_breakout_close"": 0.3}",0.3881935711508582,0.38906026496265234,0.4206108465768721,0.4091219050395656,0.4584883623439018,-0.04709547625795829,0.44308665387767143,-0.5940318925030557,-0.37620087859235984,0.1491538764266037,0.14928505837596748,68,74.76353659186469,0.3881935711508582,0.3899269587744465,0.0017333876235883228,True
D_long_riskoff_profit_target,D: Long-off target,off_20_target_0.10,"{""minimum_preceding_riskoff_days"": 20, ""profit_target_from_breakout_close"": 0.1}",0.4001122784311706,0.4007483835548419,0.40740157058765547,0.39431695647475284,0.41067006970892184,-0.07497850818989038,0.4464069792398821,-0.5940318925030557,-0.37620087859235984,0.03974813065722157,0.03974813065722157,69,75.76353659186469,0.4001122784311706,0.4013844886785132,0.0012722102473425867,True
D_long_riskoff_profit_target,D: Long-off target,off_20_target_0.20,"{""minimum_preceding_riskoff_days"": 20, ""profit_target_from_breakout_close"": 0.2}",0.39324957751441647,0.3936147655245352,0.40798491929589775,0.3949703915815095,0.43086774897489466,-0.07497850818989038,0.4450763102022429,-0.5940318925030561,-0.37620087859235984,0.05916305916305916,0.05916305916305916,69,75.76353659186469,0.39324957751441647,0.393979953534654,0.0007303760202375109,True
D_long_riskoff_profit_target,D: Long-off target,off_20_target_0.30,"{""minimum_preceding_riskoff_days"": 20, ""profit_target_from_breakout_close"": 0.3}",0.38445683934556385,0.3849530527450392,0.41304173682336165,0.4006362408408273,0.42144168635426893,-0.07497850818989038,0.4427925684284521,-0.5940318925030557,-0.37620087859235984,0.13682277318640956,0.13682277318640956,66,72.76353659186469,0.38445683934556385,0.3854492661445146,0.0009924267989507296,True
D_long_riskoff_profit_target,D: Long-off target,off_40_target_0.10,"{""minimum_preceding_riskoff_days"": 40, ""profit_target_from_breakout_close"": 0.1}",0.4042851074675118,0.4043043611900282,0.40740157058765547,0.39431695647475284,0.41067006970892184,-0.07497850818989038,0.4465432339441297,-0.5940318925030557,-0.37620087859235984,0.03791158336612882,0.03791158336612882,67,73.76353659186469,0.4042851074675118,0.40432361491254465,3.850744503286485e-05,True
D_long_riskoff_profit_target,D: Long-off target,off_40_target_0.20,"{""minimum_preceding_riskoff_days"": 40, ""profit_target_from_breakout_close"": 0.2}",0.39900292318828057,0.40047035033749845,0.40798491929589775,0.3949703915815095,0.43086774897489466,-0.07497850818989038,0.4458318506190698,-0.594031892503055,-0.37620087859235984,0.05391578118850846,0.05391578118850846,67,73.76353659186469,0.39900292318828057,0.40193777748671633,0.002934854298435763,True
D_long_riskoff_profit_target,D: Long-off target,off_40_target_0.30,"{""minimum_preceding_riskoff_days"": 40, ""profit_target_from_breakout_close"": 0.3}",0.38985305608230925,0.3904247168558955,0.41304173682336165,0.4006362408408273,0.42144168635426893,-0.07497850818989038,0.4439804011674836,-0.5940318925030559,-0.37620087859235984,0.13000131181949365,0.13000131181949365,65,71.76353659186469,0.38985305608230925,0.3909963776294818,0.00114332154717256,True
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.10,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.1}",0.4008559007584358,0.4013822347309156,0.40980367552869934,0.3970078891391826,0.45583091847875745,-0.04709547625795829,0.44590210540527975,-0.5940318925030557,-0.37620087859235984,0.0440771349862259,0.044208316935589666,71,77.76353659186469,0.4008559007584358,0.4019085687033954,0.0010526679449596177,True
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.20,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.2}",0.39443307436996133,0.395255850543057,0.4099071358577058,0.3971238029401851,0.46816009405606773,-0.04709547625795829,0.44483300272949333,-0.594031892503056,-0.37620087859235984,0.06716515807424898,0.06729634002361275,71,77.76353659186469,0.39443307436996133,0.3960786267161527,0.001645552346191348,True
D_long_riskoff_profit_target,D: Long-off target,off_5_target_0.30,"{""minimum_preceding_riskoff_days"": 5, ""profit_target_from_breakout_close"": 0.3}",0.389098989153277,0.3891662566090297,0.4206108465768721,0.4091219050395656,0.4584883623439018,-0.04709547625795829,0.44267998713826967,-0.5940318925030559,-0.37620087859235984,0.14980978617342253,0.14994096812278632,68,74.76353659186469,0.389098989153277,0.3892335240647824,0.00013453491150539065,True
E_relative_strength,E: Relative strength,relative_10_0.00,"{""relative_return_threshold"": 0.0, ""tecl_minus_tqqq_lookback_days"": 10}",0.2943186752777951,0.31093019088256757,0.3345527532802468,0.31188065527216935,0.33678551504917076,-0.08886596607303188,0.44480561839436583,-0.6083452534746687,-0.3707790080622211,0.2955529319165683,0.2956841138659321,873,879.7635365918647,0.2943186752777951,0.32754170648734005,0.03322303120954495,False
E_relative_strength,E: Relative strength,relative_10_0.02,"{""relative_return_threshold"": 0.02, ""tecl_minus_tqqq_lookback_days"": 10}",0.35103267180017506,0.3601193286835508,0.36775333650401887,0.3552022455277404,0.3694122703880742,-0.0783724248005152,0.4470908210253624,-0.5822062644368067,-0.3707790080622211,0.12081857536402991,0.12094975731339368,553,559.7635365918647,0.35103267180017506,0.3692059855669265,0.018173313766751464,True
