start_year,available,start_date,end_date,trading_days,calendar_years,note,buy_hold_total_return,buy_hold_cagr,buy_hold_volatility,strategy_delay_0_total_return,strategy_delay_0_cagr,strategy_delay_0_volatility,strategy_delay_1_total_return,strategy_delay_1_cagr,strategy_delay_1_volatility
2012,True,2012-01-03,2026-04-17,3593,14.286398762466032,,172.66155154049207,0.43473517500175807,0.6065108471076955,135.84922165300333,0.4110090482964257,0.44824276349707404,139.83978304413654,0.41385075463193055,0.4507516959268093
2013,True,2013-01-02,2026-04-17,3343,13.287062704915227,,113.03573496875023,0.42828648790688173,0.616133157826369,88.86273261219249,0.40290642711232216,0.44743335475111107,91.48315490566544,0.4059445459333406,0.4501344375178151
2014,True,2014-01-02,2026-04-17,3091,12.287726647364423,,46.56772694036912,0.3693140649078803,0.6322615494660169,36.48444229507103,0.3430221515769334,0.4535026016148249,37.57749906502619,0.3461673995190362,0.4563857184901347
2015,True,2015-01-02,2026-04-17,2839,11.288390589813616,,29.280397098314488,0.3527297724620213,0.6481104539883387,22.86163625448191,0.32448108684157284,0.45685413613496756,23.55744820880828,0.3278578606545166,0.45996993292659
2016,True,2016-01-04,2026-04-17,2587,10.283578718248835,,24.829728771542456,0.3718857342172781,0.6586180697241016,27.27354141699073,0.38399879667709436,0.46069331174799516,32.044855928386085,0.40514558739687145,0.4625596598486567
2017,True,2017-01-03,2026-04-17,2335,9.284242660698029,,22.190525626105696,0.4029970386470958,0.6749663122575286,24.46111555618989,0.4171838122780276,0.4695088640050638,29.58465184745955,0.4454486308621284,0.47146182548298415
2018,True,2018-01-02,2026-04-17,2084,8.287644510154212,,9.63484111415098,0.33010813790964244,0.7066468491441527,10.676100960139799,0.3451843551003415,0.4856313628730263,13.025680925627977,0.375275219287337,0.4877549557098886
2019,True,2019-01-02,2026-04-17,1833,7.288308452603407,,12.258413610425952,0.42564905779195783,0.7107079270297143,9.681722148848483,0.3839990898267842,0.4788246269501871,10.636394358874458,0.4003504487750593,0.479813627725734
2020,True,2020-01-02,2026-04-17,1581,6.2889723950526015,,4.670016411244424,0.3177296063961228,0.7410392812179226,5.699463689210805,0.35315447618699736,0.48858723872725374,6.297022313886097,0.3716632079848543,0.48971792618763016
2021,True,2021-01-04,2026-04-17,1328,5.281422616480831,,1.6993400868607815,0.20685633844679452,0.6679939749888829,2.277437908005566,0.2520244336792532,0.45954461975268185,2.670002287349356,0.279132621527157,0.46004758224722037
2022,True,2022-01-03,2026-04-17,1076,4.284824465937015,,0.4751998802860502,0.09498133879194492,0.6945935476525859,0.7911325931359521,0.14571184763995815,0.43847397091742646,1.005670556778032,0.1763644350177873,0.4391477382845185
2023,True,2023-01-03,2026-04-17,825,3.2854884083862093,,6.055003958932871,0.8124083357632306,0.5907661931700587,1.786469556454656,0.3660312095916065,0.48546962930730325,1.786327537402593,0.36601001814089207,0.4853148895847887
2024,True,2024-01-02,2026-04-17,575,2.288890257842392,,1.3670636837906325,0.45710108935767835,0.6144785173334244,0.6388292223351033,0.24087564089274216,0.48268384571937506,0.6153244808020784,0.23306856396075348,0.48241056095659973
2025,True,2025-01-02,2026-04-17,323,1.2868162932845986,,0.49560734600540335,0.3672653085225339,0.6693976500491748,0.035479121477451026,0.027463771657292524,0.4358126242277898,0.020627867434949376,0.01599361252172371,0.4352504190496292
2026,True,2026-01-02,2026-04-17,73,0.2874802357337933,Partial-year annualization,0.11318036270549303,0.4520387908798351,0.5568794271525218,-0.07497850818989038,-0.23746616835783096,0.43922203560701784,-0.07129995128262956,-0.22686592168655983,0.4363043935212264
