method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_requirements,positive_2026_both_delays,tqqq_2026_capture_ratio,strong_solution
downside_deviation,Downside-deviation strategy,downside_40_0.17,"{""downside_threshold"": 0.17, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.2771020266097919,0.29259787075186094,0.3653984944114137,0.5328691900415947,0.06580260888283984,0.40772231445953183,-0.5886282914122701,-0.2635631863108958,0.6096025186934277,0.6097337006427915,107.49391113114442,107.50367662969536,0.2771020266097919,0.30809371489393,0.03099168828413812,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.18,"{""downside_threshold"": 0.18, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.3067124369801535,0.3242464422081145,0.3340234538085467,0.5328691900415947,0.06580260888283984,0.4211341813131227,-0.5886282914122701,-0.2310135761888068,0.6283615374524465,0.6284927194018103,101.21968946996743,101.22983103367204,0.3067124369801535,0.3417804474360755,0.035068010455922005,True,True,True,0.5813959887552668,True
downside_deviation,Downside-deviation strategy,downside_40_0.19,"{""downside_threshold"": 0.19, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.32639949602550145,0.33253412963470264,0.3689041071957133,0.5328691900415947,0.06580260888283984,0.4344945033772751,-0.5867952690331555,-0.2310135761888068,0.646727010363374,0.6468581923127378,108.92855069922848,108.93288669701369,0.32639949602550145,0.3386687632439038,0.01226926721840238,True,True,True,0.5813959887552668,True
downside_deviation,Downside-deviation strategy,downside_40_0.20,"{""downside_threshold"": 0.2, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.32816192605091543,0.3498990760706918,0.3694709230565032,0.5328691900415947,0.06580260888283984,0.44221222604978977,-0.5867952690331559,-0.2310135761888068,0.6587957497048406,0.6589269316542044,106.74959918708731,106.75301957863614,0.32816192605091543,0.3716362260904682,0.04347430003955277,True,True,True,0.5813959887552668,True
downside_deviation,Downside-deviation strategy,downside_40_0.21,"{""downside_threshold"": 0.21, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.31312028793436,0.3369236686457443,0.3527719547947197,0.5328691900415947,0.06580260888283984,0.4527832303691362,-0.605321735783574,-0.3707790080622211,0.669290305653942,0.6694214876033058,110.59578330005978,110.60647573100898,0.31312028793436,0.3607270493571286,0.04760676142276865,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.22,"{""downside_threshold"": 0.22, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.3288859222000231,0.35670534489959715,0.3531853119760835,0.5328691900415947,0.06580260888283984,0.4594554172904916,-0.6566056853153026,-0.3392857563953485,0.6795224977043158,0.6796536796536796,108.45053177015961,108.46538484779357,0.3288859222000231,0.3845247675991712,0.055638845399148096,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.23,"{""downside_threshold"": 0.23, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.3307950405612312,0.35406931958985144,0.358500111401475,0.5328691900415947,0.06580260888283984,0.46283110750424267,-0.7218017713050547,-0.3392857563953485,0.6834579561852289,0.6835891381345927,102.40194296696845,102.41059872130288,0.3307950405612312,0.37734359861847167,0.04654855805724045,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.24,"{""downside_threshold"": 0.24, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.3184491071178466,0.3384096195824392,0.363364808972817,0.5328691900415947,0.06580260888283984,0.4686936532517638,-0.7138998737477767,-0.47933452386167696,0.6884428702610521,0.6885740522104159,110.33607104892803,110.34260225969416,0.3184491071178466,0.35837013204703183,0.039921024929185256,True,True,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.25,"{""downside_threshold"": 0.25, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.29766410876229155,0.3138688194714164,0.3499861340828456,0.5328691900415947,0.06580260888283984,0.48024568425667813,-0.8003690877140464,-0.8003690877140464,0.6959202413747868,0.6960514233241506,126.23332698756809,126.23482591318816,0.29766410876229155,0.3300735301805413,0.03240942141824976,False,False,True,0.5813959887552668,False
downside_deviation,Downside-deviation strategy,downside_40_0.26,"{""downside_threshold"": 0.26, ""downside_window"": 40, ""volatility_type"": ""downside_deviation_zero_target""}",0.2856062264355157,0.289410015260646,0.3505893366488442,0.5328691900415947,0.06580260888283984,0.48546738240020343,-0.8755120651749608,-0.8755120651749607,0.7022169749442476,0.7023481568936114,128.14176338767712,128.14895552806252,0.2856062264355157,0.29321380408577635,0.007607577650260655,False,False,True,0.5813959887552668,False
