method,method_label,candidate_id,parameters,min_delay_cagr,mean_delay_cagr,min_post_2008_cagr,min_trailing_252_return,min_2026_ytd_return,worst_volatility,worst_max_drawdown,worst_dotcom_drawdown,min_average_tqqq_weight,max_average_tqqq_weight,min_turnover,max_turnover,min_delay_cagr_value,max_delay_cagr_value,delay_cagr_gap,passes_hard_requirements,passes_original_hard_requirements,solves_2026,passes_all_requirements,tqqq_2026_capture_ratio,keeps_full_max_drawdown_near_60pct,strong_2026_solution
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.08_0.05,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.05}",0.39988525755471227,0.4078942577526835,0.3783449289514169,0.46504862416257975,0.015829543454872974,0.44993737951939383,-0.5986999094008925,-0.3707790080622211,0.6683720320083957,0.6685032139577594,82.66970515448992,82.68630304245279,0.39988525755471227,0.41590325795065475,0.016018000395942478,True,True,True,True,0.13986121864676365,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.08_0.08,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.08}",0.4008185560616133,0.4072201872356679,0.37986669323035493,0.46504862416257975,0.015829543454872974,0.4501384268179909,-0.5986999094008929,-0.3707790080622211,0.6688967598058507,0.6690279417552145,84.6598917541805,84.67444976620367,0.4008185560616133,0.41362181840972245,0.012803262348109135,True,True,True,True,0.13986121864676365,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.10_0.05,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.1, ""spy_trend_floor"": 0.05}",0.4146759314562416,0.4150264328395058,0.40781947652745565,0.3958414126247751,-0.030563385893075057,0.44905836092841,-0.5986999094008927,-0.3707790080622211,0.6658795749704841,0.6660107569198478,64.7226310425308,64.7339920329701,0.4146759314562416,0.41537693422277,0.0007010027665284024,True,True,False,False,-0.2700414202824578,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_10_0.10_0.08,"{""ndx_low_lookback"": 10, ""rebound_threshold"": 0.1, ""spy_trend_floor"": 0.08}",0.4157710470551361,0.41596794022489847,0.40911722695874686,0.3958414126247751,-0.030563385893075057,0.449082462106753,-0.5986999094008927,-0.3707790080622211,0.6660107569198478,0.6661419388692116,64.71948600766905,64.73129608250329,0.4157710470551361,0.4161648333946608,0.0003937863395246932,True,True,False,False,-0.2700414202824578,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_15_0.04_0.05,"{""ndx_low_lookback"": 15, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.05}",0.3757474011863857,0.37842127648280066,0.3792529137455287,0.6313832931502643,0.13116200960770108,0.47049029579271767,-0.716045676338547,-0.39016590941324203,0.7102190738554375,0.7103502558048013,169.85840133094837,169.86773617605144,0.3757474011863857,0.3810951517792156,0.005347750592829881,True,True,True,True,1.1588760317812212,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_15_0.04_0.08,"{""ndx_low_lookback"": 15, ""rebound_threshold"": 0.04, ""spy_trend_floor"": 0.08}",0.3756705373523319,0.3776571780303649,0.37717459449671775,0.6313832931502643,0.13116200960770108,0.47285947485367674,-0.7677755813368349,-0.3997264801853322,0.7140233503869867,0.7141545323363505,175.75886119038887,175.76866116316324,0.3756705373523319,0.3796438187083979,0.003973281356066005,True,True,True,True,1.1588760317812212,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_15_0.06_0.05,"{""ndx_low_lookback"": 15, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.05}",0.3887488326945603,0.38959317015792005,0.3868407356692187,0.46504862416257975,0.015829543454872974,0.46006287275595137,-0.5696559224804726,-0.3707790080622211,0.689098780007871,0.6892299619572347,156.25291329176156,156.26535276694955,0.3887488326945603,0.3904375076212798,0.0016886749267195356,True,True,True,True,0.13986121864676365,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_15_0.06_0.08,"{""ndx_low_lookback"": 15, ""rebound_threshold"": 0.06, ""spy_trend_floor"": 0.08}",0.38560292597027557,0.3881347456765045,0.39001288716430094,0.46504862416257975,0.015829543454872974,0.4605421269661229,-0.5572117344430843,-0.3707790080622211,0.6906729634002361,0.6908041453495999,160.21649485465247,160.2260918761214,0.38560292597027557,0.3906665653827335,0.00506363941245791,True,True,True,True,0.13986121864676365,True,False
B_drawdown_rebound,B: Rebound from recent low,rebound_15_0.08_0.05,"{""ndx_low_lookback"": 15, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.05}",0.39567045384533617,0.39696312972167613,0.3962770339736661,0.46504862416257975,0.015829543454872974,0.45174642566559653,-0.6146409571468345,-0.3707790080622211,0.6742752197297652,0.6744064016791289,100.54694550209459,100.56843364149235,0.39567045384533617,0.3982558055980161,0.002585351752679932,True,True,True,True,0.13986121864676365,False,False
B_drawdown_rebound,B: Rebound from recent low,rebound_15_0.08_0.08,"{""ndx_low_lookback"": 15, ""rebound_threshold"": 0.08, ""spy_trend_floor"": 0.08}",0.3929459731095921,0.3945423796996844,0.3927787055630152,0.46504862416257975,0.015829543454872974,0.45195701697966495,-0.6146409571468348,-0.3707790080622211,0.6749311294765841,0.6750623114259477,102.5338295637959,102.55563189761732,0.3929459731095921,0.3961387862897767,0.003192813180184606,True,True,True,True,0.13986121864676365,False,False
