ma_window,vol_window,vol_threshold,tolerance,min_delay_cagr,mean_delay_cagr,worst_max_drawdown,worst_dotcom_drawdown
163,39,0.31,0.03,0.39217431299901273,0.4021278647021904,-0.604731381360977,-0.23101357618880713
154,40,0.32,0.03,0.3921727552871763,0.3989620635792658,-0.6047313813609776,-0.3707790080622202
151,47,0.33,0.03,0.39209229896355957,0.40134942947222074,-0.598699909400893,-0.33154928761238533
157,38,0.31,0.03,0.3919779986605887,0.39847229381518356,-0.6047313813609771,-0.2310135761888059
157,45,0.32,0.03,0.39197526620801737,0.3925377170401029,-0.6047313813609771,-0.3392857563953485
154,46,0.32,0.03,0.3919423537692328,0.3959868370659919,-0.6047313813609771,-0.3392857563953481
149,47,0.32,0.03,0.3918905981094378,0.3964954011200367,-0.5986999094008927,-0.3392857563953484
150,53,0.33,0.03,0.3918303088803541,0.400556380201213,-0.598699909400893,-0.33154928761238533
140,40,0.31,0.04,0.3918276560158074,0.4062610409754116,-0.5434282273265445,-0.2311721712201077
159,38,0.31,0.03,0.3917666533702324,0.39579013769851135,-0.6047313813609775,-0.23101357618880625
152,44,0.32,0.03,0.3917422851703012,0.40501206545955337,-0.5986999094008927,-0.3392857563953482
151,52,0.33,0.03,0.3917337723425316,0.4008477139963569,-0.5986999094008925,-0.3315492876123852
153,45,0.32,0.03,0.39154884179408556,0.3972854587373885,-0.604731381360977,-0.3392857563953485
153,39,0.32,0.03,0.3914899539009695,0.39387842730795897,-0.6047313813609771,-0.23101357618880602
155,38,0.31,0.03,0.3914426645582725,0.3971803888728245,-0.6047313813609769,-0.2310135761888068
150,38,0.31,0.02,0.39141176479314166,0.39314194130813773,-0.5610086004421955,-0.2310135761888067
152,51,0.33,0.03,0.39136003352447046,0.39417317030517895,-0.5986999094008927,-0.33154928761238545
146,41,0.31,0.02,0.39135369018743504,0.3947219393036552,-0.5141406272273565,-0.23101357618880636
149,44,0.32,0.03,0.3912912563779023,0.404407294071521,-0.5986999094008925,-0.3392857563953485
155,42,0.31,0.03,0.3912792617816794,0.3934486335303058,-0.6047313813609776,-0.23101357618880625
148,41,0.31,0.02,0.3912025250443567,0.39254601842864234,-0.561008600442195,-0.23101357618880636
156,42,0.31,0.03,0.3911278752136844,0.3944678969775126,-0.6047313813609771,-0.23101357618880702
159,39,0.31,0.03,0.3910667124951124,0.3978398654954064,-0.6047313813609773,-0.23101357618880647
151,54,0.33,0.03,0.3910623199656251,0.39810688236206426,-0.5986999094008928,-0.33154928761238533
153,46,0.32,0.03,0.3909221266075207,0.39551018412634964,-0.6047313813609771,-0.3392857563953484
160,38,0.31,0.03,0.3908479680595167,0.392740817046498,-0.6047313813609769,-0.2310135761888069
151,45,0.33,0.03,0.39078599600544717,0.4085814373224984,-0.5986999094008927,-0.3392857563953483
147,46,0.34,0.03,0.39073935598162923,0.39889081079379785,-0.5986999094008931,-0.33154928761238533
148,46,0.34,0.03,0.39073935598162923,0.39889081079379785,-0.5986999094008931,-0.33154928761238533
151,47,0.35,0.03,0.39071998198667934,0.4044026551786245,-0.598699909400893,-0.33154928761238533
161,39,0.31,0.03,0.390699511740644,0.4002919640082665,-0.6047313813609771,-0.23101357618880614
147,46,0.33,0.03,0.3906976416164549,0.39885794718020773,-0.5986999094008925,-0.33154928761238545
148,46,0.33,0.03,0.3906976416164549,0.39885794718020773,-0.5986999094008925,-0.33154928761238545
144,41,0.31,0.02,0.39067727260399465,0.3937622366808051,-0.5200765156231952,-0.23101357618880636
149,51,0.33,0.03,0.390659706435333,0.39458747325307464,-0.5986999094008929,-0.33154928761238533
133,40,0.32,0.04,0.39059058511937406,0.39317708127809436,-0.5434282273265438,-0.37077900806222075
