feature,n,win_mean,loss_mean,win_median,loss_median,loss_minus_win_mean,corr_with_episode_return,corr_with_is_win
UVIX_OPEN_GAP_FROM_PREV_CLOSE,97,-0.01609471218293955,-0.00483026167942633,-0.012143400995369036,-0.008940970535581128,0.01126445050351322,-0.1779132766084023,-0.16015419076970488
XLY_XLP_PREV_CLOSE_RATIO_SMA20,97,0.014153884644850631,0.020547080424532835,0.013321243640838976,0.015500120436990672,0.006393195779682203,0.0027563073420010173,-0.1568484472572839
UVIX_OPEN_SMA10_RATIO,97,-0.11006290739129644,-0.08930650377472454,-0.1038985061137373,-0.08651757766626683,0.020756403616571897,-0.08632522153919024,-0.1506995330111658
^VIX_OPEN_GAP_FROM_PREV_CLOSE,97,0.0019018215063103664,0.010793890838757456,0.000812288778770931,0.0017929961074467649,0.00889206933244709,-0.0011086435494081204,-0.14710647227189852
GLD_PREV_CLOSE_SMA20_RATIO,97,0.006973331818905189,5.4901245101570545e-05,0.0057420453165331065,-0.0009597911423597227,-0.006918430573803618,0.04612645548054121,0.14259405927540178
XLY_PREV_CLOSE_RET_20D,97,0.04602831169911659,0.05516698068874416,0.04416730250459788,0.048941072743865166,0.00913866898962757,0.00984612805676737,-0.13011085597611605
IEF_TLT_PREV_CLOSE_RATIO_SMA20,97,0.002795846056282577,0.00010956500832085339,0.0006164806523345501,0.00034882409810710335,-0.0026862810479617236,0.1471412207717819,0.12574923671856283
XLY_PREV_CLOSE_SMA20_RATIO,97,0.023829200668350033,0.02826339189853631,0.023406798783594418,0.027405954986968406,0.004434191230186277,0.034059801973972334,-0.12545105301855894
FNG_PREV_SMA20_RATIO,81,0.3539067062535317,0.24081310256367408,0.3257575757575759,0.26266114035165244,-0.11309360368985763,0.14716668938095107,0.12009982087251864
XLY_XLP_PREV_CLOSE_RET_20D,97,0.028398338674814148,0.03763859751960136,0.025485270063046572,0.030126765011595502,0.00924025884478721,-0.02978918417069009,-0.11887718818811725
UVIX_PREV_CLOSE_SMA5_RATIO,97,-0.0529394134975553,-0.042561316307102776,-0.048615205227900415,-0.04554342855548554,0.010378097190452525,0.023332462972433368,-0.11447934058489637
IWM_PREV_CLOSE_SMA20_RATIO,97,0.022600090754666395,0.027023537276218385,0.021488189694707005,0.023632332979646398,0.00442344652155199,-0.05640555414757526,-0.11374130290707433
QQQ_PREV_CLOSE_SMA20_RATIO,97,0.025077970474191916,0.02795464133771045,0.025416200646907194,0.0244494541936352,0.0028766708635185323,0.123788946240878,-0.10847772254063713
^VIX3M_OPEN_SMA20_RATIO,97,-0.0528568691241748,-0.04296422917748749,-0.04794007404633138,-0.036288553590963335,0.009892639946687314,-0.07707397285758336,-0.10779175405313807
HYG_LQD_PREV_CLOSE_RET_20D,97,0.00358757093386931,0.0066261840276139496,0.0017654620000482346,0.0034345685086919486,0.0030386130937446396,0.025198747695222894,-0.10708032058397456
HYG_PREV_CLOSE_RET_5D,97,0.0020223004796644005,0.00356860453902837,0.0011692391381490364,0.0022811571473625447,0.0015463040593639696,0.013793291381702722,-0.10599104830815223
UVIX_OPEN_SMA20_RATIO,97,-0.18183255689304495,-0.16559815171693,-0.18617199873715917,-0.16505223427340193,0.016234405176114963,-0.11932749705017337,-0.10379278183693147
^VIX_PREV_CLOSE_RET_10D,97,-0.07832976340633521,-0.058873754806990836,-0.06917398676269337,-0.06094559051637061,0.019456008599344377,-0.011517985711339876,-0.10145490465272355
XLY_PREV_CLOSE_RET_5D,97,0.015083686288740513,0.018317735604720956,0.014873881152001944,0.014272010327623152,0.0032340493159804425,0.007823322189984027,-0.09966012166780257
HYG_PREV_CLOSE_SMA20_RATIO,97,0.0040821046958863,0.00550366431349697,0.003816647465143319,0.005459089316222077,0.0014215596176106703,-0.06420222560446254,-0.09743942507329884
IWM_SPY_PREV_CLOSE_RATIO_SMA20,97,0.001551772396368538,0.00426291595843642,0.0024849560270552296,0.0031446353255486503,0.002711143562067882,-0.06510598159698924,-0.09400634346481802
UVIX_PREV_CLOSE_SMA10_RATIO,97,-0.09583045436695307,-0.08451119187334667,-0.09644401000938374,-0.09099222229581039,0.011319262493606402,-0.0034263673829517754,-0.0938380826145759
FNG_PREV_CHANGE_5D,82,13.620689655172415,8.75,12.5,2.5,-4.870689655172415,0.052493028702986284,0.08869830989182116
SPY_PREV_CLOSE_SMA20_RATIO,97,0.021017928710991413,0.022689055184073277,0.020030931513540073,0.019407849561291268,0.0016711264730818638,-0.014801119932217742,-0.08830764380146898
SPY_PREV_CLOSE_RET_20D,97,0.04088926305606133,0.04366569894424852,0.038528835719246146,0.041131817412615956,0.002776435888187191,0.058599751925599006,-0.07823115666134742
IEF_TLT_PREV_CLOSE_RET_20D,97,0.002486018644036496,-0.0001119576455199632,0.00034863071096080667,0.0026641954528092704,-0.002597976289556459,0.16330014491523928,0.07278374614959784
