condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct
pre5_tqqq_open_return <= 1.456% AND GSPC_BB20_Z <= 1.548,97,0.6701030927835051,3.6372703711577916,15,6,9,0.4,1.2277400650090036,0.1875,0.13846153846153847,82,0.6829268292682927,4.078038110087449,3.368681227295678,0.012823736484787629,0.44076773892965715
pre5_tqqq_open_return <= 1.456% AND GSPC_SMA160_Z >= 2.236,97,0.6701030927835051,3.6372703711577916,12,6,6,0.5,1.9667245321644315,0.1875,0.09230769230769231,85,0.6941176470588235,3.873112136662737,3.414045651775033,0.0240145542753184,0.2358417655049454
pre5_tqqq_open_return <= 1.456% AND GSPC_SMA160_Z >= 2.209,97,0.6701030927835051,3.6372703711577916,13,6,7,0.46153846153846156,1.8433890323361104,0.1875,0.1076923076923077,84,0.6904761904761905,3.9148948640706713,3.4226469410141402,0.02037309769268536,0.2776244929128797
pre5_tqqq_open_return <= 1.456% AND GSPC_BB20_Z <= 1.474,97,0.6701030927835051,3.6372703711577916,14,5,9,0.35714285714285715,2.1112826783046885,0.15625,0.13846153846153847,83,0.6746987951807228,3.894665885614941,3.323316802816323,0.004595702397217738,0.2573955144571496
pre5_tqqq_open_return <= 1.456% AND GSPC_BB20_Z <= 1.396,97,0.6701030927835051,3.6372703711577916,13,4,9,0.3076923076923077,2.2899255344444027,0.125,0.13846153846153847,84,0.6666666666666666,3.845788024458674,3.2087335467704703,-0.0034364261168384758,0.20851765330088234
pre5_tqqq_open_return <= 1.456% AND entry_rsi <= 70.083,97,0.6701030927835051,3.6372703711577916,9,2,7,0.2222222222222222,0.5035079139274528,0.0625,0.1076923076923077,88,0.6590909090909091,3.9577688042836217,3.368681227295678,-0.011012183692596045,0.32049843312583004
pre5_tqqq_open_return <= 1.456% AND GSPC_SMA20_RATIO <= 1.711%,97,0.6701030927835051,3.6372703711577916,14,4,10,0.2857142857142857,0.9406420541452426,0.125,0.15384615384615385,83,0.6626506024096386,4.0921233402924395,3.4312482302532477,-0.007452490373866527,0.4548529691346479
pre5_tqqq_open_return <= 1.456% AND pre10_tqqq_open_return <= 2.417%,97,0.6701030927835051,3.6372703711577916,14,5,9,0.35714285714285715,0.05207802305163651,0.15625,0.13846153846153847,83,0.6746987951807228,4.242001610597384,3.414045651775033,0.004595702397217738,0.6047312394395927
pre5_tqqq_open_return <= 1.456% AND pre20_tqqq_open_return <= 5.154%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,1.559734783188682,0.0625,0.09230769230769231,89,0.6629213483146067,3.8240151431100715,3.323316802816323,-0.00718174446889841,0.1867447719522799
GSPC_SMA20_RATIO <= 1.899% AND GSPC_SMA160_SLOPE_20D >= 1.474%,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,3.1486007405103305,0.125,0.09230769230769231,87,0.6781609195402298,3.693439294220718,3.323316802816323,0.008057826756724729,0.056168923062926535
GSPC_SMA20_RATIO <= 1.899% AND pre5_tqqq_open_return >= 3.805%,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,3.851732330753088,0.125,0.09230769230769231,87,0.6781609195402298,3.612619571204309,2.979870810323071,0.008057826756724729,-0.024650799953482405
GSPC_SMA20_RATIO <= 1.899% AND pre20_tqqq_open_return >= 15.976%,97,0.6701030927835051,3.6372703711577916,9,3,6,0.3333333333333333,1.791026427907533,0.09375,0.09230769230769231,88,0.6704545454545454,3.8260907744447503,3.368681227295678,0.00035145267104030875,0.1888204032869587
GSPC_SMA20_RATIO <= 1.899% AND GSPC_BB20_Z <= 1.548,97,0.6701030927835051,3.6372703711577916,11,5,6,0.45454545454545453,0.9168443237301763,0.15625,0.09230769230769231,86,0.686046511627907,3.985231842340394,3.368681227295678,0.01594341884440187,0.34796147118260246
GSPC_SMA20_RATIO <= 1.899% AND GSPC_SMA160_Z >= 2.236,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,7.012518181760772,0.09375,0.12307692307692308,86,0.6627906976744186,3.205552627941131,2.970274973487108,-0.007312395109086545,-0.43171774321666057
GSPC_SMA20_RATIO <= 1.899% AND GSPC_SMA50_RATIO <= 3.142%,97,0.6701030927835051,3.6372703711577916,8,4,4,0.5,-2.048334433812454,0.125,0.06153846153846154,89,0.6853932584269663,4.148335971604555,3.414045651775033,0.015290165643461195,0.5110656004467637
GSPC_SMA20_RATIO <= 1.899% AND GSPC_SMA160_Z >= 2.209,97,0.6701030927835051,3.6372703711577916,13,4,9,0.3076923076923077,5.4209190600829515,0.125,0.13846153846153847,84,0.6666666666666666,3.36122950263366,2.970274973487108,-0.0034364261168384758,-0.2760408685241318
GSPC_SMA20_RATIO <= 1.899% AND pre5_tqqq_open_return >= 4.259%,97,0.6701030927835051,3.6372703711577916,8,4,4,0.5,-0.004839718437204876,0.125,0.06153846153846154,89,0.6853932584269663,3.9646510533685784,3.0941502907246177,0.015290165643461195,0.32738068221078676
GSPC_SMA20_RATIO <= 1.899% AND GSPC_BB20_Z <= 1.474,97,0.6701030927835051,3.6372703711577916,10,4,6,0.4,2.122714408216253,0.125,0.09230769230769231,87,0.6781609195402298,3.811357263449922,3.323316802816323,0.008057826756724729,0.17408689229213037
GSPC_SMA20_RATIO <= 1.899% AND GSPC_BB20_Z <= 1.396,97,0.6701030927835051,3.6372703711577916,8,3,5,0.375,1.7440729902572532,0.09375,0.07692307692307693,89,0.6741573033707865,3.807445416631998,3.323316802816323,0.004054210587281393,0.1701750454742066
