Date,signal_open,signal_sma_open,signal_below_sma_open,trigger_reference_tqqq_open,target_regime_at_open,overnight_regime,strategy_return
2022-07-20,291.84537586095666,329.38103261493904,True,32.168751345589044,below,below,0.05024605827864104
2022-07-21,296.5054054078204,328.8664322136695,True,32.168751345589044,below,below,0.04248901825699525
2022-07-22,299.36788883439493,328.4078872645045,True,32.168751345589044,below,below,-0.05231045534910661
2022-07-25,295.059460964246,327.854652484298,True,32.168751345589044,below,below,-0.014900263221888865
2022-07-26,291.64988392979683,327.3377484124397,True,32.168751345589044,below,below,-0.060501870436747374
2022-07-27,292.1482168992006,326.7905812781054,True,32.168751345589044,below,below,0.12477125999682581
2022-07-28,299.5241912245391,326.29165986977495,True,32.168751345589044,below,below,0.02862725196518734
2022-07-29,304.21358001413796,325.7834443263823,True,32.168751345589044,below,below,0.05502852195853558
2022-08-01,306.4214903306957,325.32996280577777,True,32.168751345589044,below,below,-0.0014986731271552367
2022-08-02,305.70830669402716,324.83104606509204,True,32.168751345589044,below,below,-0.009306786740468143
2022-08-03,308.7661886884473,324.38491277140486,True,32.168751345589044,below,below,0.07999997821504601
2022-08-04,315.5267304861252,324.0388685044421,True,32.168751345589044,below,below,0.014309823736859295
2022-08-05,311.8338096178113,323.58291173430564,True,32.168751345589044,below,below,-0.023789660805067947
2022-08-08,315.2532269307103,323.217292736066,True,32.168751345589044,below,below,-0.010201157588118792
2022-08-09,311.42354572847756,322.81174864700904,True,32.168751345589044,below,below,-0.03435457917558571
2022-08-10,317.1093428781285,322.4662092108594,True,32.168751345589044,below,below,0.08212270829835355
2022-08-11,320.74357719565364,322.11002627135224,True,32.168751345589044,below,below,-0.015068742273428914
2022-08-12,318.6627601705691,321.6779766703165,True,32.168751345589044,below,below,0.05646776665260189
2022-08-15,321.8281201322974,321.2991677933684,False,,above,below,0.023959869957192348
2022-08-16,324.4072308668595,320.8930687219706,False,,above,above,-0.0064286616557103216
2022-08-17,321.4861750127914,320.4592132535589,False,,above,above,-0.034678893430846514
