signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
QQQ,2010-02-12,160,12.0,0.47411485271866627,0.5880407094735607,-0.7321678567208876,526.3151007124137,0.13025313344802164,0.04472843450479233
QQQ,2010-02-12,160,12.5,0.48240924482139635,0.5882759935869409,-0.7321678567208875,576.2252659054059,0.1297616121897272,0.04521995576308675
QQQ,2010-02-12,160,13.0,0.4831726757087751,0.5882529637467545,-0.7321678567208876,581.0356053998198,0.12951585156058,0.045465716392233964
QQQ,2010-02-12,160,13.5,0.46604128037113646,0.5878636898067279,-0.7321678567208876,481.6523339612912,0.1275497665274023,0.047431801425411646
QQQ,2010-02-12,160,14.0,0.4894784716263916,0.5858705484141558,-0.7321678567208875,622.2336689071285,0.12337183583189973,0.05160973212091423
QQQ,2010-02-12,160,14.5,0.48181904532591013,0.584056480029366,-0.7321678567208874,572.532080196956,0.12165151142786926,0.053330056524944706
QQQ,2010-02-12,160,15.0,0.4667268561322109,0.5829523523441907,-0.7321678567208874,485.302132083195,0.11968542639469157,0.05529614155812239
QQQ,2010-02-12,160,15.5,0.4667268561322109,0.5829523523441907,-0.7321678567208874,485.302132083195,0.11968542639469157,0.05529614155812239
QQQ,2010-02-12,160,16.0,0.4667268561322109,0.5829523523441907,-0.7321678567208874,485.302132083195,0.11968542639469157,0.05529614155812239
QQQ,2010-02-12,160,16.5,0.4410959602270872,0.5823483361524554,-0.7321678567208876,365.078754245054,0.11722782010321947,0.05775374784959449
QQQ,2010-02-12,160,17.0,0.4425019400258987,0.5821163444900298,-0.7321678567208874,370.8726641499293,0.11673629884492505,0.058245269107888915
QQQ,2010-02-12,160,17.5,0.4425019400258987,0.5821163444900298,-0.7321678567208874,370.8726641499293,0.11673629884492505,0.058245269107888915
QQQ,2010-02-12,160,18.0,0.4262322633846092,0.5813770661446686,-0.7321678567208874,308.8041661205338,0.11550749569918899,0.05947407225362497
QQQ,2010-02-12,160,18.5,0.3647656433208917,0.5787503978315515,-0.7321678567208876,151.6209636360667,0.11034652248709757,0.0646350454657164
QQQ,2010-02-12,160,19.0,0.3668900659039367,0.578388919560996,-0.7321678567208876,155.4771364399497,0.10960924059965593,0.06537232735315802
QQQ,2010-02-12,160,19.5,0.37149326946352357,0.5785700880983845,-0.7321678567208874,164.15057459315895,0.10911771934136151,0.06586384861145245
QQQ,2010-02-12,160,20.0,0.38545997698485746,0.5681839878888806,-0.6905836557464241,193.3273705473698,0.10813467682477267,0.06684689112804129
QQQ,2010-02-12,160,20.5,0.39268586126892013,0.565500156304571,-0.6832431058992073,210.26740934267025,0.10616859179159499,0.06881297616121897
QQQ,2010-02-12,160,21.0,0.39268586126892013,0.565500156304571,-0.6832431058992073,210.26740934267025,0.10616859179159499,0.06881297616121897
