cagr,annualized_vol,max_drawdown,final_multiple,start,alpha_tqqq_drawdown_pct,beta_soxl_drawdown_pct,soxl_days,soxl_day_share,uvix_entries,uvix_exits,low_rsi_entries,low_rsi_exits
1.098925836503609,0.6690920349737709,-0.7373284979718348,158208.8765996871,2010-02-12,54.5,62.0,172,0.042270828213320226,127,126,11,11
1.1039902805668684,0.6679977929133665,-0.7200126530430535,164486.6636732029,2010-02-12,54.5,62.5,168,0.04128778569673138,127,126,11,11
1.1005634060428235,0.6663875013052277,-0.7393931534002796,160213.75778987815,2010-02-12,54.5,63.0,161,0.03956746129270091,127,126,11,11
1.0929745142928584,0.6658785486599522,-0.7333395345103688,151119.09139803404,2010-02-12,54.5,63.5,155,0.038092897517817643,127,126,11,11
1.0929700229089279,0.6647509850618835,-0.7413816612061557,151113.8552047975,2010-02-12,54.5,64.0,148,0.03637257311378717,127,126,11,11
1.0924842618725537,0.6645500740600782,-0.7533224475115117,150548.5436055431,2010-02-12,54.5,64.5,144,0.03538953059719833,127,126,11,11
1.0781996987243652,0.6620242704312659,-0.7533355717078294,134784.82559478533,2010-02-12,54.5,65.0,140,0.03440648808060948,127,126,11,11
1.0763124396431736,0.6617382585488539,-0.7569277141113819,132821.9714827162,2010-02-12,54.5,65.5,138,0.03391496682231507,127,126,11,11
1.099999513200609,0.6616922974874925,-0.7334025761265448,159520.7070819726,2010-02-12,54.5,66.0,134,0.03293192430572622,127,126,11,11
1.1148330419486632,0.660317503909893,-0.719783712708684,178721.24665145855,2010-02-12,54.5,66.5,132,0.0324404030474318,127,126,11,11
1.1033738074171824,0.6598825045846974,-0.7127166604553227,163710.19340694082,2010-02-12,54.5,67.0,128,0.03145736053084296,127,126,11,11
1.1087489251685727,0.659652671164465,-0.7006303376026876,170597.6594706527,2010-02-12,54.5,67.5,125,0.030720078643401327,127,126,11,11
1.1087489251685727,0.659652671164465,-0.7006303376026876,170597.6594706527,2010-02-12,54.5,68.0,125,0.030720078643401327,127,126,11,11
1.1045145050554819,0.6593982878397974,-0.710190643261825,165149.65997660812,2010-02-12,54.5,68.5,116,0.02850823298107643,127,126,11,11
1.1045145050554819,0.6593982878397974,-0.710190643261825,165149.65997660812,2010-02-12,54.5,69.0,116,0.02850823298107643,127,126,11,11
1.1063516410311172,0.6557649514810858,-0.7302691113813291,167492.95920495514,2010-02-12,54.5,69.5,108,0.026542147947898748,127,126,11,11
1.0949462599373372,0.6550488413181892,-0.7529091557771925,153434.32449754616,2010-02-12,54.5,70.0,102,0.025067584173015484,127,126,11,11
1.0971247077275454,0.6550295318721574,-0.7487275646967744,156030.93872972063,2010-02-12,54.5,70.5,101,0.024821823543868273,127,126,11,11
1.0901739593921391,0.6549927963677644,-0.7618426637327173,147886.9446953493,2010-02-12,54.5,71.0,94,0.0231014991398378,127,126,11,11
1.087914416052283,0.6544345797900867,-0.7754733379608354,145326.5719632399,2010-02-12,54.5,71.5,91,0.022364217252396165,127,126,11,11
1.087914416052283,0.6544345797900867,-0.7754733379608354,145326.5719632399,2010-02-12,54.5,72.0,91,0.022364217252396165,127,126,11,11
1.0948090792610645,0.6543355715595353,-0.7631975386506702,153272.1754637446,2010-02-12,54.5,72.5,88,0.021626935364954535,127,126,11,11
1.0900657953364048,0.6536189211851522,-0.7674179280503148,147763.42184126875,2010-02-12,54.5,73.0,83,0.02039813221921848,127,126,11,11
1.0943304216035759,0.6532210635155773,-0.7596356231261678,152707.65505651408,2010-02-12,54.5,73.5,78,0.019169329073482427,127,126,11,11
1.1131055113445014,0.6529351332216173,-0.7223773465898065,176378.48396766052,2010-02-12,54.5,74.0,74,0.018186286556893586,127,126,11,11
1.115538904259843,0.6518431276110576,-0.7043951273404774,179686.86469529188,2010-02-12,54.5,74.5,72,0.017694765298599164,127,126,11,11
1.134321847352318,0.651291193994367,-0.6871720277803557,207253.69201002596,2010-02-12,54.5,75.0,69,0.016957483411157534,127,126,11,11
1.14353141604693,0.6503514359734858,-0.6708566475083225,222175.37411633696,2010-02-12,54.5,75.5,64,0.01572868026542148,127,126,11,11
1.1331935663471753,0.6502155618003702,-0.6867734197297668,205491.67980871617,2010-02-12,54.5,76.0,57,0.014008355861391006,127,126,11,11
1.1231708553786968,0.6499449046123016,-0.6712797934346966,190444.6595380488,2010-02-12,54.5,76.5,48,0.01179651019906611,127,126,11,11
1.1125112076594048,0.6481599617799401,-0.6551735014663564,175579.21087833386,2010-02-12,54.5,77.0,39,0.009584664536741214,127,126,11,11
1.113360565914744,0.6478905842527181,-0.6551735014663564,176722.54994009167,2010-02-12,54.5,77.5,36,0.008847382649299582,127,126,11,11
1.1032623010686744,0.6455724598359673,-0.6519347070923343,163570.11485387725,2010-02-12,54.5,78.0,32,0.00786434013271074,127,126,11,11
1.0966941141304,0.6444057470683665,-0.6337021503074823,155514.44390420322,2010-02-12,54.5,78.5,26,0.006389776357827476,127,126,11,11
1.1014081764019465,0.6435481940860466,-0.638001635860803,161257.30733901428,2010-02-12,54.5,79.0,22,0.005406733841238634,127,126,11,11
1.1067254620535185,0.6428835608225502,-0.6240334576306077,167973.57758144735,2010-02-12,54.5,79.5,18,0.004423691324649791,127,126,11,11
1.1025937992299037,0.6422556146693158,-0.617587836921756,162732.6720042732,2010-02-12,54.5,80.0,12,0.0029491275497665276,127,126,11,11
1.0927147702366344,0.6418438189066835,-0.6348371541931965,150816.55333464255,2010-02-12,54.5,80.5,8,0.001966085033177685,127,126,11,11
1.0918245935230928,0.6416828155054954,-0.629145937391755,149784.0206104687,2010-02-12,54.5,81.0,6,0.0014745637748832638,127,126,11,11
1.0733188984452111,0.6409140177101884,-0.6325169710226342,129763.43341103592,2010-02-12,54.5,81.5,1,0.0002457606291472106,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,82.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,82.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,83.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,83.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,84.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,84.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,85.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,85.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,86.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,86.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,87.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,87.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,88.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,88.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,89.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,89.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,90.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,90.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,91.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,91.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,92.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,92.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,93.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,93.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,94.0,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,94.5,0,0.0,127,126,11,11
1.0645579128727913,0.6402792141107387,-0.6568036304375773,121187.47190190839,2010-02-12,54.5,95.0,0,0.0,127,126,11,11
