date,sp500_forward_pe,source
2025-07-01,21.7,trendonify_sp500_forward_pe_monthly
2025-08-01,22.11,trendonify_sp500_forward_pe_monthly
2025-09-01,22.89,trendonify_sp500_forward_pe_monthly
2025-10-01,22.69,trendonify_sp500_forward_pe_monthly
2025-11-01,22.72,trendonify_sp500_forward_pe_monthly
2025-12-01,22.7,trendonify_sp500_forward_pe_monthly
2026-01-01,22.17,trendonify_sp500_forward_pe_monthly
2026-02-01,21.97,trendonify_sp500_forward_pe_monthly
2026-03-01,20.85,trendonify_sp500_forward_pe_monthly
2026-04-01,21.11,trendonify_sp500_forward_pe_monthly
