feature,direction,threshold,n,loss_rate,avg_return,median_return
pre10_tqqq_open_return,<=,0.09018856702276484,68,0.3088235294117647,0.033431417231392,0.0273068231066152
pre10_tqqq_open_return,<=,0.05072573031965697,39,0.3076923076923077,0.017306030977409726,0.0296067913665114
pre5_tqqq_open_return,>=,0.027082803032353553,49,0.30612244897959184,0.046999031497045825,0.0341404565177503
pre10_tqqq_open_return,<=,0.06358154509288538,49,0.30612244897959184,0.021384409328462528,0.025006854846719
pre20_tqqq_open_return,>=,0.13900724566800293,49,0.30612244897959184,0.04428183959791418,0.0341404565177503
days_since_previous_exit,>=,6.0,59,0.3050847457627119,0.047279977065320715,0.0344071668865759
entry_rsi,<=,69.96476606754156,20,0.3,0.012669826104115604,0.02456608604906845
pre10_tqqq_open_return,<=,0.020243879881584142,20,0.3,0.020482289809117322,0.03612320461541335
pre10_tqqq_open_return,>=,0.10569576300008938,20,0.3,0.04788215588815543,0.0440515423757812
pre20_tqqq_open_return,<=,0.08265083920043442,20,0.3,0.025037960926073983,0.0219043151161287
entry_rsi,>=,72.43122920113055,10,0.3,0.0476420383392512,0.03430753444037145
pre5_tqqq_open_return,>=,0.07039098741325737,10,0.3,0.04131214992780888,0.04123991510015975
pre10_tqqq_open_return,>=,0.12754428103699317,10,0.3,0.04797414199071928,0.0440515423757812
pre20_tqqq_open_return,<=,0.051539828594619676,10,0.3,0.009467233763762854,0.0087971554873933
rsi_change,>=,3.5576165781028677,10,0.3,0.11841705190991317,0.0361197939236843
pre20_tqqq_open_return,<=,0.1930982702584324,77,0.2987012987012987,0.026635749102071817,0.0297987081032307
holding_days,<=,9.0,88,0.29545454545454547,0.0439771118357664,0.03422646941014135
pre20_tqqq_open_return,<=,0.17766655862757538,68,0.29411764705882354,0.02624410737604902,0.0303701055052384
rsi_change,<=,0.8238179785937113,68,0.29411764705882354,0.03154689282813757,0.0337728251653478
days_since_previous_exit,<=,2.0,17,0.29411764705882354,0.021083075081591688,0.0241864538078644
holding_days,<=,6.0,82,0.2926829268292683,0.03569813870237642,0.03422646941014135
holding_days,<=,4.0,69,0.2898550724637681,0.0329320767589198,0.0343124823025324
episode_tqqq_open_return,<=,0.03287224066085371,77,0.2857142857142857,0.04146167629098316,0.0344071668865759
days_since_previous_exit,>=,9.0,49,0.2857142857142857,0.05129333791341946,0.0341404565177503
entry_rsi,>=,70.43178554718253,58,0.27586206896551724,0.06304257502448916,0.04564104259456895
entry_rsi,>=,71.13013301630522,29,0.27586206896551724,0.04742516125876108,0.0384681383153564
pre20_tqqq_open_return,<=,0.10202459383088083,29,0.27586206896551724,0.03127062244296658,0.025006854846719
days_since_previous_exit,>=,41.0,29,0.27586206896551724,0.030785641047451604,0.0341404565177503
max_tqqq_open_return_from_entry,<=,0.05408260267856815,77,0.2727272727272727,0.03987956869439221,0.0344071668865759
holding_days,<=,3.0,60,0.26666666666666666,0.03412122761102707,0.0337728251653478
episode_tqqq_open_return,<=,0.023990636842303955,68,0.2647058823529412,0.041103441442179624,0.03435982459455415
max_tqqq_open_return_from_entry,<=,0.029567716850842574,68,0.2647058823529412,0.040796215023126914,0.03643765260096615
entry_rsi,>=,70.6221812779543,49,0.24489795918367346,0.07060035792141733,0.0526811220970888
episode_tqqq_open_return,<=,0.00932398194853922,58,0.2413793103448276,0.04178146438272026,0.03435982459455415
max_tqqq_open_return_from_entry,<=,0.018382296892298783,58,0.2413793103448276,0.04088159072922841,0.03643765260096615
entry_rsi,>=,70.85429786127122,39,0.23076923076923078,0.06053602253094974,0.0590242709529433
holding_days,<=,2.0,49,0.22448979591836735,0.03936030488448622,0.0343124823025324
holding_days,<=,2.0,49,0.22448979591836735,0.03936030488448622,0.0343124823025324
episode_tqqq_open_return,<=,0.0,49,0.22448979591836735,0.04281911879622608,0.0332331680281632
