Date,TQQQ_OPEN,TQQQ_CLOSE,TQQQ_CTO_RETURN,TQQQ_OTC_RETURN,TQQQ_RETURN,TQQQ_CC_RETURN_REBUILT,TQQQ_SOURCE,TMF_OPEN,TMF_CLOSE,TMF_CTO_RETURN,TMF_OTC_RETURN,TMF_RETURN,TMF_CC_RETURN_REBUILT,TMF_SOURCE,GLD_OPEN,GLD_CLOSE,GLD_CTO_RETURN,GLD_OTC_RETURN,GLD_RETURN,GLD_CC_RETURN_REBUILT,GLD_SOURCE
2003-07-07,0.2870554693289547,0.30853886623136,0.04489239721314786,0.07484057681474154,0.1230927469299176,0.12309274692991767,synthetic_calibrated,64.33391857959813,63.77329416213665,-0.01073427700229479,-0.008714289908640316,-0.0193550253091775,-0.019355025309177543,synthetic_calibrated,1.2644072831106319,1.2567448184702559,-0.002231315544975798,-0.006060123777146598,-0.008277917273733946,-0.008277917273733948,synthetic_calibrated
2003-07-08,0.3045147374481403,0.3204182666893186,-0.013042534421586316,0.052225811382566434,0.0385021200183277,0.03850212001832776,synthetic_calibrated,64.63359680211622,63.93425007258025,0.013490014139654338,-0.010820173472274819,0.0025238763742452,0.0025238763742450043,synthetic_calibrated,1.2460830494872197,1.2422837360036256,-0.008483638704008367,-0.0030490050283226156,-0.011506777075264039,-0.01150677707526393,synthetic_calibrated
2003-07-09,0.3177267603855942,0.31802087715178823,-0.008399977727655994,0.0009256908855805879,-0.007482062624897,-0.0074820626248968125,synthetic_calibrated,64.83990113104043,64.54226204948529,0.01416535045663414,-0.004590369145591744,0.0095099571233697,0.009509957123369883,synthetic_calibrated,1.2410511364674732,1.2404589549347589,-0.0009922045185246642,-0.0004771612670207981,-0.001468892343980176,-0.001468892343980066,synthetic_calibrated
2003-07-10,0.307194364137318,0.2984720193613233,-0.034043403412483686,-0.02839357030682954,-0.0614703599510371,-0.061470359951037,synthetic_calibrated,65.17375964602222,64.46880089324891,0.009784249520922605,-0.010816604053566214,-0.0011381868856725,-0.0011381868856726873,synthetic_calibrated,1.2412789808274873,1.2429663850402484,0.0006610665265998072,0.001359407706747806,0.0020213728922785514,0.002021372892278661,synthetic_calibrated
2003-07-11,0.30225198747293136,0.3068657867081746,0.012664396882818396,0.015264744076021852,0.0281224597361336,0.028122459736133587,synthetic_calibrated,64.34566518282693,65.3800255320284,-0.0019100046645177393,0.016075058766779504,0.0141343506650351,0.014134350665034878,synthetic_calibrated,1.2430797487548582,1.244751776425061,9.120416768637618e-05,0.0013450687068772282,0.0014363955504351777,0.0014363955504355097,synthetic_calibrated
2003-07-14,0.3215617529907589,0.31775137264206205,0.047890533644143085,-0.0118496068430326,0.035473442805924,0.03547344280592446,synthetic_calibrated,65.11816283313364,63.12366233588253,-0.004005240083096551,-0.03062894299340191,-0.0345115068063185,-0.034511506806318426,synthetic_calibrated,1.2472740026183962,1.2552013649676796,0.002026288486672412,0.006355750486774836,0.008394917557482342,0.008394917557482673,synthetic_calibrated
2003-07-15,0.32792365949898816,0.3167961053638344,0.0320133529946538,-0.03393336776051714,-0.0030063356462781,-0.0030063356462781687,synthetic_calibrated,62.631401854629765,58.683541826378,-0.007798351094292277,-0.06303323750304879,-0.0703400332806825,-0.07034003328068239,synthetic_calibrated,1.2496062616077113,1.2349654080226087,-0.004457534477037783,-0.011716373416908232,-0.01612168175549422,-0.016121681755494333,synthetic_calibrated
2003-07-16,0.3250033164847518,0.31495456829933194,0.025906919251710958,-0.030918909671776462,-0.0058130041162833,-0.005813004116283271,synthetic_calibrated,58.215337334296294,59.679364819116024,-0.00797846342449715,0.02514848409127457,0.0169693744062735,0.016969374406273552,synthetic_calibrated,1.2360870660130592,1.2385558173237279,0.0009082505333055657,0.0019972309221159,0.0029072954414716148,0.0029072954414715024,synthetic_calibrated
2003-07-17,0.30221993579206147,0.288569768061657,-0.04043323637448404,-0.04516633786791713,-0.0837733530272179,-0.08377335302721778,synthetic_calibrated,58.03562748534014,59.122222964615645,-0.02754280878755888,0.018722903953265257,-0.0093355861978261,-0.009335586197826262,synthetic_calibrated,1.239778452941101,1.2425071246078194,0.0009871461586727914,0.0022009349011069546,0.0031902537042128878,0.0031902537042129975,synthetic_calibrated
2003-07-18,0.2947723237511594,0.29128741306676786,0.021494128547024927,-0.011822380880416095,0.0094176358922333,0.0094176358922331,synthetic_calibrated,58.65655932915315,58.75033541944419,-0.007876287664981607,0.0015987315206269503,-0.0062901482137101,-0.006290148213710212,synthetic_calibrated,1.2444521426748822,1.2533169815219063,0.0015653979188865463,0.0071234871499112895,0.008700036160757542,0.00870003616075743,synthetic_calibrated
2003-07-21,0.2885972768462878,0.277999716921627,-0.009235332869887647,-0.03672092834855556,-0.0456171312218529,-0.04561713122185307,synthetic_calibrated,58.30743634181485,55.00383249177548,-0.00753866466407882,-0.05665836224855947,-0.0637698985192304,-0.06376989851923043,synthetic_calibrated,1.2633896068363102,1.2666532800105632,0.008036773986874968,0.002583267391620847,0.01064080251466948,0.010640802514670034,synthetic_calibrated
2003-07-22,0.28615708701876114,0.2893071312844862,0.02934308778247363,0.011008094534868285,0.0406741938015964,0.040674193801596426,synthetic_calibrated,55.2523327990547,55.80284712991235,0.004517872592175731,0.00996363959617419,0.0145265266426001,0.01452652664259979,synthetic_calibrated,1.2664662717863713,1.2655503593288735,-0.00014763963204711406,-0.0007232031976706077,-0.0008707360562635314,-0.0008707360562635325,synthetic_calibrated
2003-07-23,0.29277521599213663,0.2968034321371634,0.011987553477346369,0.013758733407048362,0.0259112204368918,0.02591122043689209,synthetic_calibrated,56.84123055048843,56.3574648857904,0.018608072418933475,-0.008510823217810826,0.0099388791863411,0.009938879186340843,synthetic_calibrated,1.273641252989091,1.2944076910273712,0.006393181907441647,0.0163047781229948,0.022802199442937376,0.022802199442937043,synthetic_calibrated
2003-07-24,0.3062592106559874,0.2864232986204488,0.03185872363650466,-0.06476837706546479,-0.0349730912542737,-0.034973091254273614,synthetic_calibrated,55.08504310278859,54.86456689458,-0.02257769730381587,-0.004002469559607702,-0.0264898003172391,-0.02648980031723902,synthetic_calibrated,1.2981414463523908,1.3073818385335223,0.002884528074810877,0.007118170525327372,0.01002323116285997,0.010023231162859858,synthetic_calibrated
2003-07-25,0.28592188108195693,0.30322980674213124,-0.001750617149187783,0.06053375696424279,0.0586771683820084,0.05867716838200865,synthetic_calibrated,55.218202740065344,54.41517706305779,0.006445614455771409,-0.014542770991437859,-0.0081908936305959,-0.008190893630595775,synthetic_calibrated,1.30884781527176,1.3091659262286937,0.0011213072531908175,0.00024304655837137368,0.0013646263414309756,0.0013646263414310855,synthetic_calibrated
2003-07-28,0.3055262363998922,0.30478908623228335,0.007573231940598335,-0.00241272296708428,0.0051422368628762,0.00514223686287596,synthetic_calibrated,53.78277580331944,52.212753070469695,-0.011621780794823233,-0.029191924540883263,-0.0404744431877132,-0.040474443187713316,synthetic_calibrated,1.311399844380472,1.3167250700660007,0.0017063674718555966,0.0040607185583771965,0.005774015108293119,0.005774015108293229,synthetic_calibrated
2003-07-29,0.30740764714138674,0.3009409140869344,0.008591386724089434,-0.021036344133228635,-0.012625688776849,-0.012625688776848776,synthetic_calibrated,51.76366847795098,50.07074508035132,-0.00860105177584869,-0.03270485742950702,-0.0410246130332826,-0.041024613033282864,synthetic_calibrated,1.3135319479600265,1.3055150432538019,-0.002425048461949797,-0.00610331916073692,-0.008513566777943125,-0.008513566777943238,synthetic_calibrated
2003-07-30,0.30189083206735495,0.29285628054616747,0.003156493304682817,-0.029926551460071504,-0.0268645211147047,-0.02686452111470461,synthetic_calibrated,50.93171213406959,51.75892063645959,0.017195011824502116,0.01624152159292236,0.0337158065732628,0.033715806573262785,synthetic_calibrated,1.2990290545480876,1.2856427573877882,-0.0049681455140868636,-0.010304848158270152,-0.015221797687206105,-0.015221797687206218,synthetic_calibrated
2003-07-31,0.30286346036659156,0.3019852169086845,0.034170958538983776,-0.002899799985260687,0.0311720696086551,0.031172069608655484,synthetic_calibrated,50.79773825066167,49.44590966608283,-0.018570371522022233,-0.026611983744399104,-0.0446881608413498,-0.044688160841349855,synthetic_calibrated,1.2810130942564277,1.277681844138923,-0.0036010494398671655,-0.0026004809259488892,-0.006192165905434143,-0.006192165905434255,synthetic_calibrated
2003-08-01,0.30031994477548934,0.2930256373225874,-0.005514416070567796,-0.024288454962107076,-0.0296689343863025,-0.02966893438630258,synthetic_calibrated,48.607909822309075,49.32711388994829,-0.016947809220882237,0.014796029499485552,-0.0024025400065807,-0.002402540006580578,synthetic_calibrated,1.2698819209929144,1.2491484061688856,-0.006104746014658491,-0.01632712024738292,-0.022332193339780426,-0.022332193339780315,synthetic_calibrated
2003-08-04,0.29262614533536585,0.2951194943580707,-0.0013633345903510952,0.008520595519061924,0.0071456445061096,0.007145644506109328,synthetic_calibrated,49.281116057323615,50.5928586070858,-0.000932506059999838,0.02661754957489948,0.0256602224886186,0.025660222488618656,synthetic_calibrated,1.2530534376521913,1.2603172168684198,0.0031261549580665626,0.005796863084976067,0.008941139935316868,0.008941139935316977,synthetic_calibrated
2003-08-05,0.2923377950647107,0.2687913086428346,-0.009425671114714484,-0.08054547451404259,-0.089211950476209,-0.08921195047620922,synthetic_calibrated,50.551252262368195,48.41496808386362,-0.0008223758424232841,-0.042259767718848096,-0.043047390149193,-0.04304739014919301,synthetic_calibrated,1.2606681282787822,1.261740910837492,0.0002784310217027741,0.0008509634967726054,0.0011296314531114026,0.0011296314531112905,synthetic_calibrated
2003-08-06,0.26376983909278584,0.2592061140916672,-0.018681666365638394,-0.017301921314488267,-0.0356603589586449,-0.035660358958644944,synthetic_calibrated,49.24593233951002,51.27623990147921,0.01716337505804022,0.04122792412522314,0.0590989095078889,0.059098909507888875,synthetic_calibrated,1.26710332230814,1.2660517943185057,0.004250009985876435,-0.0008298675973155145,0.003416615442985439,0.003416615442985327,synthetic_calibrated
2003-08-07,0.2591272102673192,0.2604942703716818,-0.0003044057221586183,0.005275633164700588,0.0049696215096185,0.00496962150961866,synthetic_calibrated,51.549407506869365,51.91205737609291,0.005327372013139264,0.007034995876048056,0.0123998459293297,0.012399845929329967,synthetic_calibrated,1.2682171394419424,1.272167172269895,0.0017103132219027373,0.003114634477886735,0.004830274700318272,0.004830274700318382,synthetic_calibrated
2003-08-08,0.26458768970117363,0.2541268558268781,0.015714047466960368,-0.03953635895196039,-0.0244435877062419,-0.024443587706241998,synthetic_calibrated,52.52989556520123,51.27397970053694,0.011901631727523343,-0.02390859245294752,-0.0122915119879226,-0.012291511987922554,synthetic_calibrated,1.2786324017712316,1.2858611369539714,0.005082059687014917,0.005653489754151586,0.010764280813536755,0.010764280813536864,synthetic_calibrated
2003-08-11,0.25555359846624837,0.2641251044923579,0.005614293045604901,0.033540932616691554,0.0393435342870293,0.039343534287029414,synthetic_calibrated,51.0629017175005,50.49400904908353,-0.004116668615723462,-0.011141017241133366,-0.0152118219808331,-0.01521182198083293,synthetic_calibrated,1.296967325488101,1.3053290877492494,0.008637160121689691,0.006447164933782501,0.015140010251336046,0.015140010251336156,synthetic_calibrated
2003-08-12,0.26703373990904183,0.2754831040593998,0.011012339861726783,0.03164156017601383,0.0430023476521543,0.04300234765215416,synthetic_calibrated,50.80944946027885,49.77663634894583,0.0062470858847569755,-0.020327185637790457,-0.0142070854275081,-0.014207085427508148,synthetic_calibrated,1.2986800440271977,1.2937599942692835,-0.005093768142037214,-0.003788500316565413,-0.008862970716383976,-0.008862970716384089,synthetic_calibrated
2003-08-13,0.28001678066628716,0.275244765460644,0.01645718572239474,-0.01704189011204371,-0.0008651659402835,-0.0008651659402835188,synthetic_calibrated,48.5769237315228,46.88525693424194,-0.024101922215329363,-0.03482449416991573,-0.0580870791355737,-0.05808707913557376,synthetic_calibrated,1.2952923028501988,1.3067312728918685,0.0011843839566092473,0.008831188154595715,0.010026031628773137,0.010026031628773024,synthetic_calibrated
2003-08-14,0.2759051420100839,0.28290195803995505,0.0023992338177065697,0.025359498481602794,0.0278195756656664,0.027819575665666507,synthetic_calibrated,47.215748754945636,48.263185572316914,0.0070489497619097286,0.022184056061624213,0.0293893801202279,0.029389380120227626,synthetic_calibrated,1.313637250736291,1.3207847259877379,0.005284925820393971,0.005440980946178842,0.01075466194726349,0.0107546619472636,synthetic_calibrated
2003-08-15,0.2820204687040921,0.2840558241994555,-0.003115882767196876,0.007217048835909123,0.0040786785906145,0.004078678590614393,synthetic_calibrated,48.52058981777049,48.167591695419695,0.005333345538658829,-0.0072752232336119604,-0.0019806789743287,-0.0019806789743288533,synthetic_calibrated,1.3180658685264066,1.3106595027471935,-0.0020585167346617306,-0.0056191165829165834,-0.007666066272058346,-0.007666066272058347,synthetic_calibrated
2003-08-18,0.2873035282214275,0.30523164898311245,0.011433330160101063,0.06240132473370652,0.0745481098419157,0.07454810984191584,synthetic_calibrated,48.69110097112151,48.830046450310135,0.010868495959111657,0.0028536113667061436,0.0137531217894258,0.013753121789425782,synthetic_calibrated,1.3005395574347771,1.2933172030050992,-0.0077212619228750334,-0.005553352367015707,-0.01323173540171507,-0.013231735401714961,synthetic_calibrated
2003-08-19,0.3099449829915311,0.31581611382156005,0.015441825984039648,0.01894249351404853,0.0346768261866362,0.0346768261866357,synthetic_calibrated,49.13968655527305,51.081079529074835,0.006341179815956277,0.039507638527935596,0.0460993433839015,0.046099343383901425,synthetic_calibrated,1.294281857822078,1.3048442537226,0.0007458764290286801,0.008160815850648984,0.008912779239862558,0.008912779239862445,synthetic_calibrated
2003-08-20,0.30865184973923593,0.31582403586657487,-0.022684922550760045,0.023237139623165648,2.508435975302921e-05,2.508435975268064e-05,synthetic_calibrated,51.397802101907025,50.248791408915096,0.006200389180340604,-0.022355249563274504,-0.0162934716304498,-0.01629347163044992,synthetic_calibrated,1.3081307806606848,1.3192577203420512,0.0025187120445284705,0.008505984146131462,0.011046120315378995,0.011046120315379326,synthetic_calibrated
2003-08-21,0.32297911382079453,0.3266790108422065,0.02265526730600853,0.011455530290001681,0.0343703256968624,0.03437032569686216,synthetic_calibrated,49.9911451545124,49.87893253976482,-0.005127411967106199,-0.002244649815497435,-0.0073605525382778,-0.00736055253827772,synthetic_calibrated,1.3126192678548652,1.3011944766578092,-0.005031960309820893,-0.008703811894919755,-0.013691974968741303,-0.013691974968741305,synthetic_calibrated
2003-08-22,0.3442006257657339,0.3191200486279205,0.05363556990807328,-0.07286615787527218,-0.0231388058718507,-0.023138805871850687,synthetic_calibrated,49.79207328584466,50.53833977064426,-0.001741401619830385,0.014987656378866898,0.0132201552299411,0.01322015522994091,synthetic_calibrated,1.306188863187487,1.3101949209718748,0.003838309045474997,0.0030669820401101333,0.006917063110491895,0.0069170631104920055,synthetic_calibrated
2003-08-25,0.31775135958224415,0.32063897132384866,-0.004288947220837835,0.009087645589938464,0.0047597219368036,0.004759721936803629,synthetic_calibrated,50.43338117963619,49.34820397680824,-0.0020768112186587695,-0.021517042431930422,-0.0235491668154744,-0.023549166815474143,synthetic_calibrated,1.3100008808287642,1.3036790742901496,-0.00014810021013267338,-0.004825803273212359,-0.004973188780866277,-0.004973188780866167,synthetic_calibrated
2003-08-26,0.31474257870492034,0.3223910089712808,-0.01838950703522846,0.02430058970042026,0.0054642067999357,0.005464206799935756,synthetic_calibrated,48.88178145102512,50.50386881142984,-0.009451661624855112,0.03318388389813287,0.023418579431274,0.02341857943127401,synthetic_calibrated,1.3086480999881576,1.3198957958323623,0.0038115405823426762,0.008594897164720283,0.01243919754640699,0.012439197546407321,synthetic_calibrated
2003-08-27,0.3203526010183166,0.3296685344064874,-0.006322781641673547,0.029080248946185883,0.0225735992403399,0.022573599240340192,synthetic_calibrated,50.31370276090902,49.805316681444346,-0.0037653759008218213,-0.010104326486971682,-0.0138316558003454,-0.013831655800345288,synthetic_calibrated,1.3278674456277524,1.3476584333661874,0.006039605414731142,0.014904339889949547,0.02103396163658322,0.02103396163658311,synthetic_calibrated
2003-08-28,0.33295950372716193,0.3396939542721888,0.009982661301295659,0.020226034907071755,0.030410605864313,0.03041060586431299,synthetic_calibrated,50.23795932324166,51.346027498216145,0.008686675853594172,0.02205639301240203,0.0309346656025947,0.03093466560259439,synthetic_calibrated,1.3371802218711613,1.3368125390541552,-0.007775124048942872,-0.0002749687820625679,-0.008047954914615294,-0.008047954914615296,synthetic_calibrated
2003-08-29,0.33700709946991253,0.346455378507973,-0.007909633858609544,0.02803584569263351,0.0199044585596788,0.019904458559678817,synthetic_calibrated,51.5026931260366,50.97085841348613,0.0030511732933165003,-0.010326347619317167,-0.0073066818020742,-0.007306681802074166,synthetic_calibrated,1.3497434051629735,1.355553707417891,0.009672909051232637,0.004304745800344012,0.014019294266191975,0.014019294266192084,synthetic_calibrated
2003-09-02,0.3515199836756767,0.3618456134075934,0.014618347648446717,0.029374232508623033,0.0444219828997872,0.04442198289978716,synthetic_calibrated,51.597048211222194,48.72661440379274,0.012285251165603084,-0.05563174458505449,-0.0440299433744595,-0.044029943374459535,synthetic_calibrated,1.351970744720077,1.3465120671413606,-0.0026431728069549187,-0.004037570783269162,-0.006670071592923764,-0.006670071592923543,synthetic_calibrated
2003-09-03,0.3691625962554429,0.36110330302595317,0.020221283820311076,-0.0218312833186195,-0.0020514560744561,-0.002051456074455893,synthetic_calibrated,49.46601475243056,48.95061662030002,0.015174465898871725,-0.010419237019800853,0.0045971225222216,0.004597122522221442,synthetic_calibrated,1.3485191755749661,1.349016302684872,0.001490598177754654,0.00036864667474523216,0.0018597943565613628,0.0018597943565614727,synthetic_calibrated
2003-09-04,0.36132099633381454,0.3714883845379642,0.0006028560415736184,0.02813948900649077,0.0287593091090191,0.028759309109018583,synthetic_calibrated,49.48206071522077,49.76515659819301,0.010856739539014448,0.005721182159359017,0.0166400350829331,0.01664003508293299,synthetic_calibrated,1.3464485348521447,1.3453869923966557,-0.001903437213929049,-0.0007884018052018993,-0.002690338345795572,-0.002690338345795462,synthetic_calibrated
2003-09-05,0.3659311521982042,0.36224420721211303,-0.014959370389660331,-0.010075515473178864,-0.0248841624950091,-0.024884162495009132,synthetic_calibrated,51.11016397652951,52.322556218825106,0.027027090243002316,0.023721157358296496,0.0513893614618899,0.05138936146188988,synthetic_calibrated,1.3581517866129926,1.3623228877249765,0.009487823420678332,0.003071159757765951,0.012588121799922749,0.012588121799922636,synthetic_calibrated
2003-09-08,0.36610762881767456,0.3820328294376969,0.01066524054392759,0.04349868554078462,0.0546278500293496,0.054627850029349334,synthetic_calibrated,51.4891161882255,50.690274743286366,-0.015928885949569538,-0.015514763198087533,-0.0311965162541402,-0.031196516254140216,synthetic_calibrated,1.3557181908155425,1.3532817106264883,-0.004848114179791474,-0.0017971877972577932,-0.006636589005405646,-0.0066365890054057575,synthetic_calibrated
2003-09-09,0.37660492291454456,0.368643059225575,-0.014207958334736648,-0.021141156699048813,-0.0350487423602571,-0.035048742360257124,synthetic_calibrated,51.27125032097268,51.77931393196325,0.01146128287188386,0.009909327504399545,0.0214841839818819,0.021484183981881566,synthetic_calibrated,1.3711532475256207,1.3770717230789313,0.013206072881055242,0.004316421642869717,0.01757949750272625,0.017579497502725916,synthetic_calibrated
2003-09-10,0.3581167252955923,0.3377294030484504,-0.028554271310833435,-0.05692926581497715,-0.0838579634242031,-0.08385796342420315,synthetic_calibrated,51.96997370137484,53.347217604995954,0.003682160981547833,0.026500761988738075,0.0302805030420619,0.03028050304206209,synthetic_calibrated,1.3726224005586756,1.3709167388819812,-0.003231002747124734,-0.0012426299293966103,-0.004469617735805786,-0.0044696177358057865,synthetic_calibrated
2003-09-11,0.34354905670350966,0.3517909872378616,0.017231705627432037,0.02399054916184773,0.0416356528702771,0.04163565287027726,synthetic_calibrated,52.604668523272686,52.299213045182,-0.013919171703037914,-0.005806622998784761,-0.0196449713192878,-0.019644971319287885,synthetic_calibrated,1.3673733038955356,1.369812783554957,-0.002584719323899476,0.0017840626641396629,-0.0008052679610031077,-0.0008052679610028868,synthetic_calibrated
2003-09-12,0.3443879047143899,0.3571035078921565,-0.02104398006781838,0.03692232800194306,0.0151013551995945,0.015101355199594213,synthetic_calibrated,54.00583892088626,53.37331174022522,0.03263196090981113,-0.01171219988986083,0.0205375689709766,0.020537568970976583,synthetic_calibrated,1.3594391047148446,1.3557213041732021,-0.007573063242401923,-0.0027348047652508978,-0.010287157158209935,-0.010287157158209936,synthetic_calibrated
2003-09-15,0.3589019981444737,0.3492989136622689,0.005036327598496593,-0.026756843182408674,-0.0218552718116801,-0.021855271811680343,synthetic_calibrated,53.03112325463829,53.119463715671195,-0.006411228279264436,0.0016658229283343928,-0.0047560853219963,-0.0047560853219964505,synthetic_calibrated,1.3538592269227159,1.351010062983888,-0.0013734956032293022,-0.0021044757698360783,-0.0034750808848484902,-0.0034750808848484915,synthetic_calibrated
2003-09-16,0.3503937016727788,0.3765272356631643,0.00313424396037032,0.07458334400882238,0.0779513503646969,0.07795135036469647,synthetic_calibrated,52.778581445682946,52.866658906299776,-0.006417276194896515,0.0016688106842634998,-0.0047591747297108,-0.00475917472971088,synthetic_calibrated,1.348442819171499,1.3473811778515068,-0.0019002403333093776,-0.0007873091130734533,-0.002686053369851503,-0.0026860533698515043,synthetic_calibrated
2003-09-17,0.37379953006325334,0.3715845553881523,-0.007244377940168856,-0.005925568378125523,-0.013127019261453,-0.013127019261452988,synthetic_calibrated,53.43085731822159,54.831380062969046,0.010672102674802897,0.026211871099246498,0.0371637095537192,0.03716370955371917,synthetic_calibrated,1.354767586158348,1.3571000025936215,0.005482048011550278,0.0017216358430065526,0.007213121944906199,0.007213121944906531,synthetic_calibrated
