cagr,annualized_vol,max_drawdown,final_multiple,filter_name,uvix_entries,uvix_exits,skipped_uvix_entry_days,uvix_day_share,low_rsi_entries,low_rsi_exits,episode_count,episode_win_rate,episode_avg_return_pct,episode_median_return_pct,window,min_z,cagr_delta_vs_baseline,mdd_delta_vs_baseline,episode_win_rate_delta_vs_baseline
1.0416843205168034,0.625275857289717,-0.6568036304375775,101235.23493946267,skip_gspc_bb50_z_lte_1p80,95,94,89,0.06537232735315802,11,11,77,0.7142857142857143,4.29976357282781,3.4140456517750106,50.0,1.8,-0.02287359235598796,-2.220446049250313e-16,0.044182621502209196
1.0388036080560834,0.630740127300215,-0.6568036304375777,98953.34068929832,skip_gspc_bb15_z_lte_1p55,95,94,59,0.07323666748586877,11,11,81,0.691358024691358,4.29026260919742,3.4140456517750106,15.0,1.55,-0.02575430481670793,-4.440892098500626e-16,0.02125493190785288
1.0388027107462006,0.6265214481964095,-0.6568036304375775,98952.63748224246,skip_gspc_bb40_z_lte_1p75,92,91,93,0.06438928483656918,11,11,74,0.7297297297297297,4.590150021673444,3.422646941014129,40.0,1.75,-0.02575520212659077,-2.220446049250313e-16,0.05962663694622461
1.0375317774722626,0.6281531146762822,-0.6568036304375775,97961.31962254751,skip_gspc_bb40_z_lte_1p70,99,98,78,0.06832145490292456,11,11,79,0.7341772151898734,4.443189048085053,3.4140456517750106,40.0,1.7,-0.027026135400528783,-2.220446049250313e-16,0.06407412240636834
1.0355294835881774,0.6322591618953135,-0.6493805487564681,96418.42611558814,skip_gspc_bb80_z_lte_1p80,94,94,78,0.06856721553207176,11,11,75,0.6933333333333334,4.81356115507088,3.323316802816323,80.0,1.8,-0.02902842928461391,0.007423081681109167,0.02323024054982825
1.0311529223335518,0.6362870560704625,-0.6568036304375774,93125.02115744323,skip_gspc_bb40_z_lte_1p50,122,121,14,0.08527893831408208,11,11,91,0.6703296703296703,3.70800364917654,3.0941502907246177,40.0,1.5,-0.03340499053923951,-1.1102230246251565e-16,0.00022657754616517423
1.029533996282948,0.6301224384149812,-0.6568036304375773,91933.72894547893,skip_gspc_bb30_z_lte_1p65,92,91,83,0.06758417301548292,11,11,74,0.6891891891891891,4.7655554949568515,3.4359824594554222,30.0,1.65,-0.035023916589843385,0.0,0.01908609640568404
1.029009288867265,0.6238313860144612,-0.6568036304375773,91550.69897874986,skip_gspc_bb40_z_lte_1p80,87,86,105,0.06094863602850823,11,11,72,0.7222222222222222,4.440543967449573,3.422646941014129,40.0,1.8,-0.035548624005526275,0.0,0.052119129438717104
1.0270836768609999,0.628272221679882,-0.6568036304375773,90157.81533914976,skip_gspc_bb15_z_lte_1p60,93,92,64,0.0720078643401327,11,11,79,0.6835443037974683,4.115681564623408,3.4140456517750106,15.0,1.6,-0.03747423601179145,0.0,0.013441211013963228
1.0265580242099843,0.6275322824548031,-0.6568036304375773,89781.0551494962,skip_gspc_bb10_z_lte_1p65,86,85,84,0.06610960924059965,11,11,75,0.7466666666666667,4.804036059054999,3.323316802816323,10.0,1.65,-0.03799988866280701,0.0,0.0765635738831616
