feature,direction,threshold,available_n,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,kept_n,kept_win_rate,kept_avg_return_pct,loss_recall_total,win_cost_total,score
UVIX_OPEN_SMA50_RATIO,<=,-0.31212794244343534,97,68,23,45,0.3382352941176471,4.731471775870348,29,0.6896551724137931,1.071556732521452,0.71875,0.6923076923076923,1.768470955677407
IWM_PREV_CLOSE_RET_5D,>=,-0.0023057897256240517,97,77,25,52,0.3246753246753247,3.061161457605116,20,0.65,5.855289688335596,0.78125,0.8,1.7674398090921046
UUP_PREV_CLOSE_RET_20D,>=,-0.010580465377232872,97,68,21,47,0.3088235294117647,2.4633057218330734,29,0.6206896551724138,6.390015066126098,0.65625,0.7230769230769231,1.7673163251583883
GLD_PREV_CLOSE_RET_5D,<=,0.017817845288474302,97,77,26,51,0.33766233766233766,3.9895763970720206,20,0.7,2.280892171388008,0.8125,0.7846153846153846,1.7670915616163532
^VIX3M_OPEN_SMA20_RATIO,<=,-0.0430294925779553,97,49,14,35,0.2857142857142857,4.374281057913493,48,0.625,2.8849052950946805,0.4375,0.5384615384615384,1.7664980120074811
XLY_PREV_CLOSE_SMA20_RATIO,<=,0.02773551943156583,97,58,17,41,0.29310344827586204,2.6534702384132034,39,0.6153846153846154,5.100357748060001,0.53125,0.6307692307692307,1.7635059510634776
SPY_GLD_PREV_CLOSE_RET_20D,<=,0.017777706269187916,97,29,5,24,0.1724137931034483,5.202511609946126,68,0.6029411764705882,2.9697410193215905,0.15625,0.36923076923076925,1.7604936042505233
UVIX_PREV_CLOSE_SMA20_RATIO,<=,-0.12721413753772254,97,68,23,45,0.3382352941176471,4.801120873871788,29,0.6896551724137931,0.9082416061732497,0.71875,0.6923076923076923,1.760305199359997
GLD_PREV_CLOSE_RET_5D,<=,0.00448307399137704,97,49,14,35,0.2857142857142857,4.55378061597686,48,0.625,2.7016661629049934,0.4375,0.5384615384615384,1.7573360553979969
TLT_PREV_CLOSE_SMA20_RATIO,>=,-0.011208648378167485,97,68,22,46,0.3235294117647059,3.696038790807196,29,0.6551724137931034,3.4994685595660866,0.6875,0.7076923076923077,1.7563277734300127
FNG_PREV_SMA20_RATIO,>=,0.35301353013530157,81,32,6,26,0.1875,8.311563289723498,49,0.6326530612244898,1.4080061063037659,0.1875,0.4,1.755859488988658
SPY_PREV_CLOSE_RET_20D,<=,0.04307949198570089,97,58,17,41,0.29310344827586204,2.8335517968254775,39,0.6153846153846154,4.832544148369952,0.53125,0.6307692307692307,1.7501152710789754
HYG_LQD_PREV_CLOSE_RATIO_SMA20,<=,0.004559696397905811,97,58,17,41,0.29310344827586204,2.858053992022158,39,0.6153846153846154,4.7961049862825815,0.53125,0.6307692307692307,1.7482933129746066
UVIX_PREV_CLOSE_RET_10D,<=,-0.2108776531739056,97,29,5,24,0.1724137931034483,5.787594657029681,68,0.6029411764705882,2.7202203080653686,0.15625,0.36923076923076925,1.748017568687712
UVIX_OPEN_SMA10_RATIO,<=,-0.12286365371007399,97,29,5,24,0.1724137931034483,5.845442745524308,68,0.6029411764705882,2.6955497997367774,0.15625,0.36923076923076925,1.7467840432712824
HYG_TLT_PREV_CLOSE_RATIO_SMA20,>=,-0.004839894177333925,97,77,26,51,0.33766233766233766,4.112207242695465,20,0.7,1.8087634157377515,0.8125,0.7846153846153846,1.7434851238338402
SPY_PREV_CLOSE_RET_20D,>=,0.035277175817427515,97,58,18,40,0.3103448275862069,4.423374413051191,39,0.6410256410256411,2.4681925652650443,0.5625,0.6153846153846154,1.741446763541767
SPY_PREV_CLOSE_SMA20_RATIO,>=,0.0164471295134788,97,68,22,46,0.3235294117647059,3.832943395394277,29,0.6551724137931034,3.178450866051552,0.6875,0.7076923076923077,1.7402768887542863
SPY_GLD_PREV_CLOSE_RATIO_SMA20,<=,0.013318840982333314,97,39,9,30,0.23076923076923078,4.270610673045458,58,0.603448275862069,3.211403616440224,0.28125,0.46153846153846156,1.740145777638987
XLY_PREV_CLOSE_RET_20D,>=,0.033313115609109635,97,68,22,46,0.3235294117647059,3.8389461111137413,29,0.6551724137931034,3.164375532640393,0.6875,0.7076923076923077,1.739573122083728
XLY_PREV_CLOSE_SMA20_RATIO,<=,0.031640040384544176,97,68,21,47,0.3088235294117647,2.7051689176630203,29,0.6206896551724138,5.822887572455877,0.65625,0.7230769230769231,1.738959950474877
UUP_SPY_PREV_CLOSE_RATIO_SMA20,<=,-0.018499546579702097,97,49,14,35,0.2857142857142857,4.960210990078757,48,0.625,2.286768489342641,0.4375,0.5384615384615384,1.7365911717198794
UUP_PREV_CLOSE_SMA20_RATIO,<=,9.161879398988937e-05,97,49,14,35,0.2857142857142857,4.9822449832382185,48,0.625,2.2642754546590234,0.4375,0.5384615384615384,1.7354665199856987
UVIX_OPEN,>=,1.5702260135448e-13,97,77,26,51,0.33766233766233766,4.157551418651898,20,0.7,1.6341883383054892,0.8125,0.7846153846153846,1.734756369962227
UVIX_CLOSE,>=,1.550658651030397e-13,97,77,26,51,0.33766233766233766,4.157551418651898,20,0.7,1.6341883383054892,0.8125,0.7846153846153846,1.734756369962227
SPY_PREV_CLOSE_SMA20_RATIO,>=,0.018053664104327186,97,58,18,40,0.3103448275862069,4.51719443065904,39,0.6410256410256411,2.328665359591834,0.5625,0.6153846153846154,1.7344704032581064
IWM_PREV_CLOSE_RET_20D,>=,0.032954736635081444,97,68,22,46,0.3235294117647059,3.8984191274067928,29,0.6551724137931034,3.0249215634015165,0.6875,0.7076923076923077,1.7326004236217845
QQQ_SPY_PREV_CLOSE_RATIO_SMA20,>=,-0.0022645642558965394,97,77,26,51,0.33766233766233766,4.171796625343331,20,0.7,1.5793442925434682,0.8125,0.7846153846153846,1.732014167674126
^VIX3M_PREV_CLOSE_RET_5D,>=,-0.026209700290543814,97,49,14,35,0.2857142857142857,5.0556800937778945,48,0.625,2.189310445983104,0.4375,0.5384615384615384,1.7317182695519024
UUP_PREV_CLOSE_RET_20D,<=,0.0028447160285326252,97,58,18,40,0.3103448275862069,4.557508139531375,39,0.6410256410256411,2.2687116387047714,0.5625,0.6153846153846154,1.7314727172137534
GLD_PREV_CLOSE_RET_5D,<=,0.006841255132266837,97,58,18,40,0.3103448275862069,4.566714587580022,39,0.6410256410256411,2.2550199980170396,0.5625,0.6153846153846154,1.7307881351793668
^VIX_PREV_CLOSE_SMA20_RATIO,<=,-0.019331240885530288,97,77,26,51,0.33766233766233766,4.182477342576883,20,0.7,1.5382235311942893,0.8125,0.7846153846153846,1.729958129606667
HYG_PREV_CLOSE_RET_20D,<=,0.008938676592531669,97,49,14,35,0.2857142857142857,5.092265268563743,48,0.625,2.1519630800558844,0.4375,0.5384615384615384,1.7298509012555416
UVIX_PREV_CLOSE_RET_5D,<=,-0.03272698133448831,97,77,26,51,0.33766233766233766,4.1972386390443965,20,0.7,1.4813925397943626,0.8125,0.7846153846153846,1.7271165800366708
QQQ_PREV_CLOSE_RET_20D,<=,0.061356412526514505,97,68,21,47,0.3088235294117647,2.8238317874032255,29,0.6206896551724138,5.544643602030569,0.65625,0.7230769230769231,1.7250477519536114
HYG_TLT_PREV_CLOSE_RET_20D,<=,0.028139930324911147,97,68,22,46,0.3235294117647059,3.9752017926450995,29,0.6551724137931034,2.844879451808244,0.6875,0.7076923076923077,1.7235983180421206
XLY_PREV_CLOSE_RET_20D,<=,0.05292989042679191,97,58,17,41,0.29310344827586204,3.211541269722807,39,0.6153846153846154,4.270405957907258,0.53125,0.6307692307692307,1.7220083615558406
^VIX_PREV_CLOSE_RET_10D,<=,-0.04406136450157382,97,58,17,41,0.29310344827586204,3.2168377598394047,39,0.6153846153846154,4.262529126451802,0.53125,0.6307692307692307,1.7216145199830675
UVIX_PREV_CLOSE_RET_10D,<=,-0.19109556776950365,97,39,9,30,0.23076923076923078,4.866001966434264,58,0.603448275862069,2.811054298471888,0.28125,0.46153846153846156,1.7201283117405701
FNG_VALUE,<=,72.0,85,52,13,39,0.25,5.291769116259465,33,0.6363636363636364,3.213296872996479,0.40625,0.6,1.719755752740733
QQQ_PREV_CLOSE_RET_5D,<=,0.019415026663050616,97,68,21,47,0.3088235294117647,2.906336206921389,29,0.6206896551724138,5.351184963160392,0.65625,0.7230769230769231,1.715374820010103
IWM_PREV_CLOSE_RET_20D,<=,0.05348798963782145,97,58,17,41,0.29310344827586204,3.3841917438314497,39,0.6153846153846154,4.013643714361073,0.53125,0.6307692307692307,1.709170249378531
^VIX_OPEN_GAP_FROM_PREV_CLOSE,>=,-0.004692550878483724,97,58,18,40,0.3103448275862069,4.8610388887631055,39,0.6410256410256411,1.817306934719121,0.5625,0.6153846153846154,1.7089024820144707
SPY_PREV_CLOSE_SMA20_RATIO,<=,0.023655999441173046,97,68,22,46,0.3235294117647059,4.1299421665655665,29,0.6551724137931034,2.482039954339561,0.6875,0.7076923076923077,1.7054563431686867
XLY_PREV_CLOSE_RET_5D,>=,0.012070621220089709,97,58,18,40,0.3103448275862069,4.9411661544477745,39,0.6410256410256411,1.698143308829101,0.5625,0.6153846153846154,1.7029443007199698
SPY_PREV_CLOSE_RET_20D,<=,0.05042017535711342,97,77,24,53,0.3116883116883117,2.502285099346792,20,0.6,8.006963667630142,0.75,0.8153846153846154,1.6966518796852033
FNG_PREV_CHANGE_5D,>=,8.0,82,42,9,33,0.21428571428571427,5.975772942619247,40,0.625,2.2366713140592007,0.28125,0.5076923076923077,1.6934269722963666
^VIX3M_PREV_CLOSE_SMA20_RATIO,>=,-0.061773799131273226,97,68,22,46,0.3235294117647059,4.245757760429567,29,0.6551724137931034,2.2104723549343204,0.6875,0.7076923076923077,1.6918779631984244
^VIX_PREV_CLOSE_RET_5D,>=,-0.07740038384250453,97,68,22,46,0.3235294117647059,4.285112608041905,29,0.6551724137931034,2.1181920226019426,0.6875,0.7076923076923077,1.6872639465818056
TLT_PREV_CLOSE_SMA20_RATIO,<=,0.00025923680317179473,97,58,18,40,0.3103448275862069,5.194453933364403,39,0.6410256410256411,1.3214589196710387,0.5625,0.6153846153846154,1.6841100812620668
UVIX_OPEN_SMA10_RATIO,<=,-0.10238413396066437,97,49,13,36,0.2653061224489796,4.087604090766571,48,0.6041666666666666,3.1775546990571635,0.40625,0.5538461538461539,1.6828377035556839
UUP_PREV_CLOSE_RET_5D,<=,0.004288079151701394,97,68,22,46,0.3235294117647059,4.399694567189326,29,0.6551724137931034,1.8495170839114339,0.6875,0.7076923076923077,1.6738301996472802
SPY_PREV_CLOSE_RET_5D,>=,0.007759243139889494,97,68,22,46,0.3235294117647059,4.410545277617631,29,0.6551724137931034,1.824074038769203,0.6875,0.7076923076923077,1.6725580473901687
