Date,gspc_open_implied_rsi14,GSPC_BB20_Z,GSPC_OPEN,TQQQ_OPEN,base_target_regime_at_open,selected_leg,action,skip_reason,strategy_return,strategy_equity
2013-06-26,42.84255277658865,-1.4098168507201398,1592.27001953125,0.6494530295409989,above,TQQQ,,,0.027302539447629393,24.872044191209476
2013-06-27,46.828789221530165,-0.6951306933625989,1606.43994140625,0.6598733184116604,above,TQQQ,,,0.01115007899734688,25.149369448766965
2013-06-28,48.095664886461975,-0.4174643443213582,1611.1199951171875,0.6518349079460559,above,TQQQ,,,0.0027187911032533485,25.217745330676703
2013-07-01,47.905368917957055,-0.42196929234344854,1609.780029296875,0.6747597694846449,above,TQQQ,,,0.02139250852792407,25.757216162718223
2013-07-02,49.16263730914952,-0.15480620267777806,1614.2900390625,0.6724771387806853,above,TQQQ,,,0.0004433537028007972,25.768635719877803
2013-07-03,48.325551901987545,-0.251507162744999,1611.47998046875,0.6667216827018974,above,TQQQ,,,0.013562913273997834,26.118133491335747
2013-07-05,50.57757458228829,0.08275988506742107,1618.6500244140625,0.6935173334583058,above,TQQQ,,,0.02210831894327492,26.695561516765228
2013-07-08,55.14403950446496,0.8123285198191272,1634.199951171875,0.7084041536102297,above,TQQQ,,,0.0032736147777101543,26.78295250144578
2013-07-09,57.529285831943234,1.2508213292374504,1642.8900146484375,0.7092967595680082,above,TQQQ,,,0.018298391670907632,27.27303745642055
2013-07-10,59.66782358455429,1.5975104763037926,1651.56005859375,0.7098921859396916,above,TQQQ,,,0.016854405397532357,27.732708286133146
2013-07-11,61.34652655559837,1.7085547963950987,1657.4100341796875,0.7476055885836252,above,TQQQ,,,0.062329059020401756,29.461261897695124
2013-07-12,65.53938239104838,2.0844620407270655,1675.260009765625,0.7698359608784202,above,TQQQ,,,0.010444321014196012,29.768964774437954
2013-07-15,66.34387416205632,1.9500100504491766,1679.5899658203125,0.7801569735367193,above,TQQQ,,,0.007784330122921679,30.000696223659805
2013-07-16,67.18067836173975,1.7899851497679327,1682.699951171875,0.7851198881017647,above,TQQQ,,,-0.003925300869638271,29.88293446468332
2013-07-17,64.6690972515492,1.4925549222074952,1677.9100341796875,0.7873026277011334,above,TQQQ,,,0.007118856352982039,30.095666782542978
2013-07-18,65.46994286575807,1.4726151685523632,1681.050048828125,0.7858144677625593,above,TQQQ,,,-0.007320537435298813,29.875350327221092
2013-07-19,65.89774225933034,1.4364294853052708,1686.1500244140625,0.7602094419496391,above,TQQQ,,,-0.030391945418098087,28.96738031072963
2013-07-22,68.83565441231119,1.4969816098208135,1694.4100341796875,0.7647740676970887,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,0.0072129494240509295,29.176320559858173
2013-07-23,69.407395102656,1.4041207814507926,1696.6300048828125,0.7666604291146127,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,-0.022265040108337186,28.526708612379228
2013-07-24,68.34182838531369,1.310861793426401,1696.06005859375,0.7673548295864437,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,0.009454059686100136,28.796401818248647
2013-07-25,63.1417084126922,0.9216187379090179,1685.2099609375,0.7633850197358453,above,TQQQ,,,0.018074429883767396,29.316880363817376
2013-07-26,63.185241902471034,0.8903098391412526,1687.31005859375,0.7576282492466814,above,TQQQ,,,0.016587236954257456,29.80316640517163
2013-07-29,64.55177936489123,0.8920534053672937,1690.3199462890625,0.774599637659237,above,TQQQ,,,-0.00458872748115613,29.66640779646275
2013-07-30,62.475714462213965,0.7477029891837225,1687.9200439453125,0.7835315186699905,above,TQQQ,,,0.014854154899506922,30.10707721318335
2013-07-31,62.46760681039488,0.6734577148796936,1687.760009765625,0.7914708781716326,above,TQQQ,,,0.006308928563579563,30.297020612579498
2013-08-01,63.174486482501365,0.6884765610608793,1689.4200439453125,0.807548348208468,above,TQQQ,,,0.03047081128199891,31.22019541007224
2013-08-02,68.71194383877658,1.4533366075106118,1706.0999755859375,0.8161830451405174,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,0.016670848166818297,31.74066254749195
2013-08-05,68.88393710197582,1.521536897439238,1708.010009765625,0.8263058549485938,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,0.002154276503750774,31.809040711031496
2013-08-06,67.24672773344773,1.3719721356598429,1705.7900390625,0.8272977225785185,above,TQQQ,,,-0.017795384211936605,31.24298661016556
2013-08-07,60.18697363604425,0.5739811004025629,1695.300048828125,0.8085410962883005,above,TQQQ,,,-0.005715140774201877,31.06442854348196
2013-08-08,58.609973359828565,0.3488473546397411,1693.3499755859375,0.8250158858058798,above,TQQQ,,,0.013329840131672155,31.478512409748326
2013-08-09,59.451741223375905,0.552260791031399,1696.0999755859375,0.8198550362739354,above,TQQQ,,,-0.010741055178982717,31.14039997100293
2013-08-12,54.7377296638738,-0.39394255100110653,1688.3699951171875,0.8037773254473862,above,TQQQ,,,0.006222160480774619,31.33416053705802
2013-08-13,55.99764592079108,-0.17301183457185546,1690.6500244140625,0.821938475354564,above,TQQQ,,,0.01661028762631034,31.854629956107534
2013-08-14,57.516314404452814,0.12013723594998837,1693.8800048828125,0.8316650944235059,above,TQQQ,,,-0.01109176484306773,31.501305891471446
2013-08-15,48.95236564147395,-1.8960676944600905,1679.6099853515625,0.7958381482125306,above,TQQQ,,,-0.050168496807987295,29.92093272740773
2013-08-16,40.77715876281756,-3.065237175854529,1661.219970703125,0.7818443281601296,above,TQQQ,,,-0.0035554035194262923,29.814551737884187
2013-08-19,38.512743582884696,-2.738232233217234,1655.25,0.7816460700896953,above,TQQQ,,,-0.00394996118913471,29.696785415648097
2013-08-20,35.76095623801825,-2.5755289737562084,1646.81005859375,0.7811498150402961,above,TQQQ,,,0.013688494777267968,30.103289707711845
2013-08-21,38.40377432089304,-1.991070803570835,1650.6600341796875,0.7795613692695559,above,TQQQ,,,-0.009969784214757138,29.803166405171638
2013-08-22,37.03472437317405,-1.9333560207702778,1645.030029296875,0.7876999111368116,above,TQQQ,,,0.02855301779704189,30.654136745946705
2013-08-23,44.99891672570008,-1.0590231327849824,1659.9200439453125,0.8184659304105302,above,TQQQ,,,0.02106795190809696,31.299956624694538
2013-08-26,47.11040370771913,-0.7693177227899396,1664.2900390625,0.8187630394004738,above,TQQQ,,,0.0008493068902033496,31.326539893518955
2013-08-27,42.23666602582272,-1.2316103261005023,1652.5400390625,0.7894862660901257,above,TQQQ,,,-0.06293900551031117,29.354878626541783
2013-08-28,35.07542607597276,-1.9309259984188603,1630.25,0.7663623087753727,above,TQQQ,,,0.012942113751627238,29.734792804891697
2013-08-29,36.98003779001314,-1.5867880044512575,1633.5,0.7764850508692893,above,TQQQ,,,0.02069740781721663,30.35022593793498
2013-08-30,39.494109091955224,-1.2417442998267183,1638.8900146484375,0.7951427823228885,above,TQQQ,,,-0.0186505872728554,29.784176400328644
2013-09-03,39.03929144354693,-1.2296991151706311,1635.949951171875,0.7969291863929775,above,TQQQ,,,0.016453392027396596,30.274227130856385
2013-09-04,41.570479906937315,-0.9473974969535034,1640.719970703125,0.798418078871641,above,TQQQ,,,0.03262697094700795,31.261983459897955
2013-09-05,47.648836953706144,-0.3352217756269008,1653.280029296875,0.817870444283449,above,TQQQ,,,0.004375035853471765,31.39875575838565
2013-09-06,49.59821357912835,-0.0695406724458025,1657.43994140625,0.8282906066617339,above,TQQQ,,,0.003629824466682363,31.512727730260824
2013-09-09,49.38279969832375,0.0033554717583855575,1656.8499755859375,0.8329551801585428,above,TQQQ,,,0.03520103067740865,32.62200822582256
2013-09-10,57.28601250016464,1.0901838011249587,1675.1099853515625,0.8671937091140269,above,TQQQ,,,0.015139311432248004,33.11588296789864
2013-09-11,58.90056252862688,1.481205154039964,1681.0400390625,0.8480399228517246,above,TQQQ,,,-0.005047079967218093,32.94874445837462
2013-09-12,62.25718462027382,2.0335853245453848,1689.2099609375,0.860346401966694,above,TQQQ,,,-0.004497301792044328,32.800564010876364
2013-09-13,59.709258838806655,1.8083633782469024,1685.0400390625,0.8610410191284943,above,TQQQ,,,0.003243406203255139,32.90694956365951
2013-09-16,62.17251772433067,1.9583629042829036,1691.699951171875,0.8807904318919754,above,TQQQ,,,-0.008427420285839649,32.629628869361625
2013-09-17,64.2211513694032,1.9494673206216986,1697.72998046875,0.8572701280735957,above,TQQQ,,,0.020024868159735254,33.283032885571686
2013-09-18,66.81223599015115,1.9909782663023037,1705.739990234375,0.8731485810896541,above,TQQQ,,,0.03675426878851695,34.50632642234503
2013-09-19,72.56528653589962,2.3830845787084116,1727.3399658203125,0.9085791471916144,above,UVIX,enter_uvix_high_rsi_bb20z,,0.031061868203508647,35.578157385863165
2013-09-20,70.210016411744,1.880463039233833,1722.43994140625,0.913938131707913,above,TQQQ,exit_uvix_gspc_profit,,-0.022426941195749395,34.7802481423173
2013-09-23,63.51559404248389,1.3425577525235195,1711.43994140625,0.909670961014189,above,TQQQ,,,-0.0056426181487748694,34.583996482930566
2013-09-24,59.10195002258557,0.9574522189269512,1702.5999755859375,0.8981580092004455,above,TQQQ,,,0.000222179753778029,34.591680346753805
2013-09-25,56.84114745473938,0.7342964780827651,1698.02001953125,0.8934943110383256,above,TQQQ,,,-0.009454738342078772,34.26462506026242
2013-09-26,54.82854306931061,0.5295192269812227,1694.050048828125,0.894188713764122,above,TQQQ,,,0.02290829801526373,35.04956930252418
2013-09-27,55.02682673474768,0.4967046902361302,1695.52001953125,0.8890277045585748,above,TQQQ,,,-0.0047205001706026595,34.88411780465207
2013-09-30,50.90518058435893,0.09983219286058508,1687.260009765625,0.8721568209687668,above,TQQQ,,,-0.006286356683535055,34.66482379754157
2013-10-01,48.741371636046416,-0.21399668282165904,1682.4100341796875,0.8936925416465216,above,TQQQ,,,0.029969928673597712,35.70372609423673
2013-10-02,52.724997799895405,0.10099364491427147,1691.9000244140625,0.9012352682980012,above,TQQQ,,,-0.0018323749125804811,35.638303482256006
2013-10-03,52.8815419883348,0.021419789249478575,1692.3499755859375,0.9159228979175916,above,TQQQ,,,-0.03476594656126453,34.39930412785777
2013-10-04,46.80146529042694,-0.914512352243308,1678.7900390625,0.8867450066327482,above,TQQQ,,,0.025726617804150642,35.284281877883906
2013-10-07,50.43800987740071,-0.5928390709629483,1687.1500244140625,0.8869442803702502,above,TQQQ,,,-0.024753623351668086,34.41086805404468
2013-10-08,46.10258882029024,-1.4844059314211777,1676.219970703125,0.8872412911368494,above,TQQQ,,,-0.05658152682227113,32.46384860026711
2013-10-09,39.90658932916361,-2.4059426241397954,1656.989990234375,0.841887014536206,above,TQQQ,,,-0.011022273121022441,32.106023194435444
2013-10-10,41.79915062336219,-1.8045739918201558,1660.8800048828125,0.8545899477536597,above,TQQQ,,,0.06351838926417974,34.14534607342438
2013-10-11,53.04153185217152,-0.08408661122468077,1691.0899658203125,0.8740420383695404,above,TQQQ,,,0.022537307422501263,34.91489023492884
2013-10-14,55.46537923093809,0.3796921117197157,1699.8599853515625,0.8845622915258305,above,TQQQ,,,0.020719333283295338,35.638303482256006
2013-10-15,58.32063528796581,0.8634616853693574,1709.1700439453125,0.9174120590031404,above,TQQQ,,,-0.0106891736484932,35.25735946779647
2013-10-16,54.858475852538874,0.3941705942785487,1700.489990234375,0.9215801786808904,above,TQQQ,,,0.034158802328754234,36.46170864049076
2013-10-17,60.06213968619202,1.5599185946132748,1720.1700439453125,0.9270384301254928,above,TQQQ,,,0.01614657926758678,37.0504405092861
2013-10-18,64.19618169691421,2.349825448679615,1736.719970703125,0.982218355546226,above,TQQQ,,,0.049433493597939915,38.881973223002745
2013-10-21,66.04064915153272,2.3518600120887716,1745.199951171875,1.008617023895,above,TQQQ,,,0.00574019854263863,39.10516346903234
2013-10-22,66.35128192595849,2.0621249047318115,1746.47998046875,1.019732608520488,above,TQQQ,,,0.0034439635258272094,39.2398402256912
2013-10-23,67.0231494789186,1.93572285766522,1752.27001953125,0.9989904895975592,above,TQQQ,,,-0.01608221643504204,38.608776622305164
2013-10-24,64.6664991591259,1.5556369312946041,1747.47998046875,0.9965093489657998,above,TQQQ,,,0.012457605301926744,39.0897495226561
2013-10-25,66.76133131257114,1.6524083348355956,1756.010009765625,1.037100179434752,above,TQQQ,,,0.019982723141295233,39.870869165029916
2013-10-28,67.46187585961067,1.5519318670319813,1759.4200439453125,1.0298555667796834,above,TQQQ,,,0.002027111383087865,39.951691857767955
2013-10-29,68.41235265451036,1.4773873905621915,1762.9300537109375,1.0403747912909382,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,0.0048152208317215894,40.144068076664
2013-10-30,70.6053282454621,1.5480345299478895,1772.27001953125,1.0466277221438305,above,TQQQ,,skip_gspc_bb20_z_lt_1p60,-0.003163371027983808,40.01707749476487
2013-10-31,65.93067409955127,1.1657374374885234,1763.239990234375,1.0251911328836545,above,TQQQ,,,-0.006442104849798347,39.759283285761086
2013-11-01,63.20783894350364,0.9486043569996432,1758.699951171875,1.0344201120447067,above,TQQQ,,,-0.0004842824424483583,39.74002856294146
2013-11-04,64.59282348221828,0.9814361042101234,1763.4000244140625,1.036107635894392,above,TQQQ,,,0.004842146985224449,39.932455622440244
2013-11-05,64.61805957357578,0.9458081826350511,1765.6700439453125,1.0183425379021132,above,TQQQ,,,0.004239176303946657,40.101736342073295
