stage,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,seed
local,1.6268604999581697,39.5,0.8,66.0,60.0,14.0,1.1,30.0,34.0,
local,1.626796127939067,40.5,0.9,66.5,63.5,14.0,1.05,30.0,36.0,
local,1.6267474718502766,40.5,0.8,66.5,62.5,14.0,1.1,29.5,38.0,
local,1.6266665216380285,40.5,0.7,66.5,63.5,14.0,1.1,30.0,34.0,
local,1.6266310609016235,38.5,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
,1.6264707303660266,39.5,0.8,66.0,60.0,14.0,1.1,30.0,35.0,131
local,1.625866128476988,40.0,0.9,66.5,60.5,14.0,1.1,30.0,38.0,
local,1.625866128476988,39.5,0.9,66.5,60.5,14.0,1.1,30.0,38.0,
local,1.6258156925714031,40.0,0.9,66.5,60.0,14.0,1.1,30.5,38.0,
local,1.6258156925714031,39.5,0.9,66.5,60.0,14.0,1.1,30.5,38.0,
local,1.6257390633457462,40.5,0.9,66.5,61.5,14.0,1.05,30.0,37.0,
local,1.6251930728791777,38.5,0.8,66.0,62.5,14.0,1.1,29.5,38.0,
local,1.6251509342101955,40.5,0.8,66.0,60.5,14.0,1.05,30.5,34.5,
local,1.6251295466769093,40.0,0.9,66.5,63.5,14.0,1.1,30.0,33.5,
local,1.6251265351553212,40.5,0.7,66.0,62.5,14.0,1.15,29.5,39.5,
local,1.624232096327603,40.5,0.8,66.5,63.5,14.0,1.1,30.0,33.0,
local,1.6238497533832348,40.5,0.8,66.0,61.0,14.0,1.05,29.5,34.5,
local,1.6237874908493803,40.5,0.6,66.0,62.5,14.0,1.1,29.5,38.0,
,1.6237166703620605,40.5,0.8,66.0,61.0,14.0,1.1,30.5,33.5,97
local,1.6235265005772268,38.5,0.8,66.0,60.0,14.0,1.1,30.5,34.5,
local,1.6235051411422825,40.5,0.8,66.0,60.0,14.0,1.1,30.5,32.5,
local,1.6230580947615216,39.5,0.7,66.0,60.0,14.0,1.1,30.0,33.0,
local,1.6230241856079899,40.5,0.8,66.5,63.5,14.0,1.05,30.0,38.0,
local,1.6221787297026018,40.5,0.8,66.0,62.5,15.0,1.15,29.5,38.0,
local,1.6219398141167476,40.5,0.9,66.0,62.5,14.0,1.15,29.5,38.5,
local,1.621620512097309,40.5,0.9,66.5,60.0,14.0,1.15,30.0,38.0,
local,1.621512342286696,40.5,0.9,66.5,63.5,14.0,1.1,31.0,33.0,
local,1.62138716870182,40.5,0.9,66.5,63.5,14.0,1.1,30.0,32.0,
,1.6210875078822733,40.5,0.7,66.0,63.5,14.0,1.15,29.5,39.5,47
local,1.6208648777004777,39.5,0.9,66.5,60.0,14.0,1.05,30.0,38.0,
local,1.6208648777004777,39.0,0.9,66.5,60.0,14.0,1.05,30.0,38.0,
local,1.6208648777004777,40.0,0.9,66.5,60.0,14.0,1.05,30.0,38.0,
,1.6206661591946365,39.5,0.9,66.5,60.0,14.0,1.05,30.0,37.5,29
local,1.6206661591946365,39.5,0.9,66.5,60.0,14.0,1.05,29.5,37.5,
local,1.620636302067771,39.5,0.8,66.0,61.0,14.0,1.1,30.0,33.0,
local,1.620636302067771,39.5,0.8,66.0,60.5,14.0,1.1,30.0,33.0,
local,1.6205862151392432,40.0,0.7,66.0,62.5,14.0,1.15,29.5,38.0,
local,1.6205859666132434,39.5,0.8,66.0,60.0,14.0,1.1,30.5,33.0,
local,1.6201164572350861,40.5,0.9,66.0,60.0,14.0,1.1,30.0,38.0,
local,1.6200752728599075,41.0,0.8,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.619977120890216,40.5,0.8,66.5,63.5,14.0,1.1,30.0,33.5,
local,1.6199315647359915,41.0,0.9,66.5,63.5,14.0,1.1,30.0,38.0,
local,1.6196421737467932,38.5,0.9,66.5,63.5,14.0,1.1,30.0,33.0,
,1.6192568705613137,40.0,0.8,66.0,60.0,14.0,1.1,29.5,33.0,97
local,1.6192568705613137,39.5,0.8,66.0,60.0,14.0,1.1,29.5,33.0,
,1.619231436745852,39.0,0.8,66.0,62.0,14.0,1.05,30.0,37.5,29
local,1.6191858597773727,39.5,0.8,66.0,60.0,14.0,1.15,30.0,33.0,
local,1.6190485292678436,40.5,0.8,66.5,60.0,14.0,1.1,30.5,34.5,
local,1.6190318547832767,40.5,0.7,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.618805022870637,39.5,0.7,66.0,60.0,14.0,1.1,30.0,33.5,
local,1.6187195134648804,40.5,0.8,66.0,60.0,14.0,1.05,30.5,33.5,
local,1.618503402248816,40.5,0.9,66.0,60.0,14.0,1.1,30.0,34.5,
local,1.6184363757277662,38.5,0.9,66.5,63.5,14.0,1.05,30.0,38.0,
,1.6182354556840224,39.5,0.8,66.0,61.5,14.0,1.15,30.0,37.0,29
local,1.6179979022666648,40.5,0.8,66.0,60.0,14.0,1.05,30.5,35.5,
,1.6178633845998998,40.0,0.8,66.0,60.0,14.0,1.15,30.5,39.0,131
,1.6178203213663394,40.0,0.9,66.5,60.0,14.0,1.1,30.0,33.5,29
local,1.6170897254951933,40.5,0.7,66.0,62.5,14.0,1.05,29.5,38.5,
local,1.616434590414416,40.5,0.6,66.0,60.0,14.0,1.1,30.5,34.5,
local,1.616405670159467,40.5,0.7,66.5,63.5,14.0,1.05,30.0,38.0,
,1.6163871569135644,39.0,0.8,66.0,62.5,14.0,1.1,30.0,33.5,71
local,1.6163871569135644,39.5,0.8,66.0,60.5,14.0,1.1,30.0,33.5,
local,1.6163671654242777,39.5,0.9,66.5,60.0,14.0,1.05,30.0,38.5,
local,1.616357012430195,39.5,0.8,66.0,60.5,14.0,1.1,30.0,34.0,
local,1.6163369030738162,39.5,0.8,66.0,60.0,14.0,1.1,30.5,33.5,
local,1.6163067591694422,39.5,0.8,66.0,60.0,14.0,1.1,30.5,34.0,
local,1.6161281308559516,39.5,0.9,66.5,60.0,14.0,1.05,30.0,37.0,
local,1.6159688013296618,39.5,0.8,66.0,61.0,14.0,1.1,30.0,35.0,
,1.6156661884167152,39.5,0.8,66.0,64.0,14.0,1.1,29.5,36.5,131
local,1.6156450120707175,39.5,0.8,66.0,60.0,14.0,1.05,30.0,33.0,
local,1.6153645074413139,38.5,0.9,66.5,63.5,14.0,1.1,30.0,34.0,
local,1.6150099620412783,39.5,0.8,66.0,60.0,14.0,1.1,29.5,34.0,
local,1.6150099620412783,39.5,0.8,66.0,60.0,14.0,1.1,29.5,33.5,
local,1.6149390663954533,39.5,0.8,66.0,60.0,14.0,1.15,30.0,33.5,
local,1.6146449569100705,40.5,0.9,66.5,63.5,14.0,1.15,30.0,33.0,
local,1.6145797607871808,40.5,0.7,66.0,62.5,14.0,1.15,30.5,39.5,
local,1.6143504328842142,40.5,0.9,66.5,63.5,14.0,1.1,29.0,38.0,
,1.6140640754847437,38.5,0.9,66.5,65.0,14.0,1.05,29.5,38.0,29
,1.6134795404069466,39.0,0.7,66.0,62.0,14.0,1.15,30.5,40.5,71
local,1.6133409402480305,39.5,0.8,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.6130744724275847,39.5,0.8,66.0,60.0,14.0,1.1,30.0,32.5,
local,1.612636812319232,41.0,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.6124078628892322,39.5,0.9,66.5,61.0,14.0,1.05,30.0,37.5,
,1.6121084157580734,40.5,0.9,66.5,66.0,15.0,1.15,30.5,34.5,11
,1.6119571240085993,39.5,0.9,66.0,60.0,14.0,1.15,30.5,40.5,131
local,1.6114039598806849,39.5,0.8,66.0,60.0,14.0,1.05,30.0,33.5,
local,1.6112064856551487,41.0,0.8,66.0,62.5,14.0,1.1,29.5,38.0,
local,1.6104055262268204,40.5,0.9,66.5,63.5,14.0,1.15,30.0,33.5,
local,1.610385363635733,39.5,0.9,66.5,60.5,14.0,1.05,30.0,38.0,
local,1.6101874397047649,39.5,0.9,66.5,60.5,14.0,1.05,30.0,37.5,
local,1.6101373049450989,39.5,0.9,66.5,60.0,14.0,1.05,30.5,37.5,
local,1.6096399357255318,40.5,0.9,66.0,63.5,14.0,1.1,30.0,38.0,
local,1.6096399357255318,40.5,0.9,66.0,62.5,14.0,1.1,29.5,38.0,
local,1.6092733815927907,40.5,0.9,66.5,63.5,14.0,1.1,31.0,38.0,
,1.6091681547238812,40.0,0.9,66.5,63.0,15.0,1.15,30.0,34.5,71
,1.6090802145854748,39.5,0.8,66.0,61.5,14.0,1.1,31.0,34.5,29
local,1.6089901833002598,39.5,0.8,66.0,60.0,15.0,1.1,30.0,33.0,
,1.6088047544069721,40.5,0.7,66.5,66.0,14.0,1.1,30.5,31.5,131
local,1.6081545825921033,41.0,0.8,66.0,60.0,14.0,1.15,30.0,34.5,
local,1.6080595289864879,38.5,0.8,66.0,60.0,14.0,1.05,30.5,34.5,
,1.607811059613446,40.5,0.8,66.5,62.5,14.0,1.1,30.0,35.0,71
,1.6073529809436602,39.0,0.9,66.5,60.5,14.0,1.1,30.0,33.5,11
local,1.6070712201768163,40.5,0.9,66.5,60.0,14.0,1.1,29.0,38.0,
local,1.6063876004989908,38.5,0.7,66.0,62.5,14.0,1.15,29.5,38.5,
local,1.6059899696554019,40.5,0.8,65.5,60.0,14.0,1.1,30.0,34.5,
local,1.6056851607798706,41.0,0.9,66.5,63.5,14.0,1.1,30.0,33.0,
local,1.6056439404784681,40.5,0.8,66.0,62.5,14.0,1.1,29.0,38.0,
,1.605622695444493,40.5,0.7,66.0,60.0,15.0,1.15,30.5,37.5,131
local,1.605432987616778,39.5,0.8,66.0,60.0,14.0,1.1,31.0,33.0,
local,1.6053688413342915,41.5,0.9,66.5,60.0,14.0,1.1,30.0,38.0,
local,1.6052472075379263,40.5,0.9,66.5,63.5,14.0,1.2,30.0,38.0,
,1.6051574221754823,39.0,0.8,66.0,62.0,14.0,1.1,30.5,36.5,47
local,1.6050539890182858,40.5,0.9,66.5,63.5,15.0,1.1,30.0,38.0,
,1.6050202642165528,39.5,0.7,66.0,62.5,14.0,1.15,30.5,39.0,131
local,1.6047599213650212,39.5,0.8,66.0,60.0,15.0,1.1,30.0,33.5,
