crossunder_date,gspc_crossunder_price,tecl_price_at_crossunder,buy_tqqq_date,tqqq_price_at_reentry,buy_tecl_date_if_no_tqqq_reentry,tecl_price_when_back_above_sma,recovery_date,tecl_price_at_recovery,outcome
2018-10-11,2728.3701171875,11.437378883361738,,,2018-10-16,12.965041160583409,2018-10-16,12.965041160583409,wait_then_recovered
2018-10-18,2768.780029296875,12.006828308105389,,,2018-11-07,12.289729118347083,2018-11-07,12.289729118347083,wait_then_recovered
2018-11-12,2726.219970703125,10.412549972534107,,,2018-12-03,11.171818733215252,2018-12-03,11.171818733215252,wait_then_recovered
2018-12-04,2700.06005859375,9.8741264343261,,,2019-02-13,10.333156585693281,2019-02-13,10.333156585693281,wait_then_recovered
2019-02-14,2745.72998046875,10.368746757507246,,,2019-02-15,10.606932640075604,2019-02-15,10.606932640075604,wait_then_recovered
2019-03-07,2748.929931640625,10.669896125793375,,,2019-03-11,11.351595878600987,2019-03-11,11.351595878600987,wait_then_recovered
2019-06-03,2744.449951171875,10.73968124389641,,,2019-06-04,11.808979988098063,2019-06-04,11.808979988098063,wait_then_recovered
2019-10-02,2887.610107421875,14.007534027099513,,,2019-10-03,14.528671264648338,2019-10-03,14.528671264648338,wait_then_recovered
2019-10-08,2893.06005859375,14.24017143249502,,,2019-10-09,14.850151062011616,2019-10-09,14.850151062011616,wait_then_recovered
2020-02-27,2978.760009765625,18.52238273620592,,,2020-03-02,22.28844070434554,2020-03-02,22.28844070434554,wait_then_recovered
2020-03-03,3003.3701171875,19.668701171874858,,,2020-03-04,22.29210662841781,2020-03-04,22.29210662841781,wait_then_recovered
2020-03-05,3023.93994140625,20.121353149413917,,,2020-05-27,17.393972396850458,2020-05-27,17.393972396850458,wait_then_recovered
2020-06-11,3002.10009765625,17.75217247009264,,,2020-06-12,18.373064041137557,2020-06-12,18.373064041137557,wait_then_recovered
2020-06-26,3009.050048828125,19.690143585204925,,,2020-06-29,20.25132751464828,2020-06-29,20.25132751464828,wait_then_recovered
2022-01-20,4482.72998046875,58.641342163085476,,,2022-01-31,63.301162719726065,2022-01-31,63.301162719726065,wait_then_recovered
2022-02-03,4477.43994140625,59.502902984618686,,,2022-02-08,61.19822311401321,2022-02-08,61.19822311401321,wait_then_recovered
2022-02-10,4504.080078125,60.13285446166948,,,2022-03-24,56.26974487304642,2022-03-24,56.26974487304642,wait_then_recovered
2022-04-06,4481.14990234375,51.461719512939034,,,2022-08-12,41.99387741088834,2022-08-12,41.99387741088834,wait_then_recovered
2022-08-19,4228.47998046875,39.8260917663571,,,2022-11-22,25.92077064514141,2022-11-22,25.92077064514141,wait_then_recovered
2022-11-28,3963.93994140625,24.429265975951964,,,2022-11-30,27.26405525207499,2022-11-30,27.26405525207499,wait_then_recovered
2022-12-06,3941.260009765625,23.891948699950987,,,2022-12-08,24.65159988403301,2022-12-08,24.65159988403301,wait_then_recovered
2022-12-09,3934.3798828125,24.160604476928523,,,2022-12-12,25.735488891601364,2022-12-12,25.735488891601364,wait_then_recovered
2022-12-15,3895.75,23.08597564697248,,,2023-01-10,21.62214469909651,2023-01-10,21.62214469909651,wait_then_recovered
2023-01-19,3898.85009765625,22.049200057983228,,,2023-01-20,23.77600479125958,2023-01-20,23.77600479125958,wait_then_recovered
2023-03-09,3918.320068359375,26.77469444274881,,,2023-03-16,29.856943130492926,2023-03-16,29.856943130492926,wait_then_recovered
2023-03-17,3916.639892578125,29.736251831054453,,,2023-03-20,29.94050025939918,2023-03-20,29.94050025939918,wait_then_recovered
2023-03-22,3936.969970703125,29.72366714477516,,,2023-03-23,31.194030761718505,2023-03-23,31.194030761718505,wait_then_recovered
2023-10-03,4229.4501953125,39.30172729492153,,,2023-10-04,40.745277404784794,2023-10-04,40.745277404784794,wait_then_recovered
2023-10-05,4258.18994140625,40.903602600097294,,,2023-10-06,43.16670989990197,2023-10-06,43.16670989990197,wait_then_recovered
2023-10-19,4278.0,41.7976684570309,,,2023-11-02,43.846576690673466,2023-11-02,43.846576690673466,wait_then_recovered
2026-03-12,6672.6201171875,,,,2026-04-08,,2026-04-08,,wait_then_recovered
