signal,start,signal_window,below_entry_drawdown_pct,cagr,annualized_vol,max_drawdown,final_multiple,below_regime_share,wait_regime_share
TQQQ,2010-02-12,160,15.5,0.4548130181662742,0.5767079494125864,-0.7666689078904029,425.42115903155485,0.1685917915949865,0.07323666748586877
TQQQ,2010-02-12,160,16.0,0.43697424143129493,0.5764110792507158,-0.7666689078904032,348.5790172460719,0.16588842467436718,0.07594003440648808
TQQQ,2010-02-12,160,16.5,0.4448178343474194,0.5761017560017839,-0.766668907890403,380.6046776845714,0.16515114278692553,0.07667731629392971
TQQQ,2010-02-12,160,17.0,0.4448178343474194,0.5761017560017839,-0.766668907890403,380.6046776845714,0.16515114278692553,0.07667731629392971
TQQQ,2010-02-12,160,17.5,0.4199111227892518,0.5749131212192666,-0.766668907890403,287.431515643716,0.16343081838289505,0.07839764069796018
TQQQ,2010-02-12,160,18.0,0.421919324820508,0.5746693225483355,-0.766668907890403,294.06628283158074,0.16318505775374784,0.0786434013271074
TQQQ,2010-02-12,160,18.5,0.42868246740116844,0.5744197793288145,-0.7666689078904028,317.48260887806623,0.16269353649545343,0.07913492258540182
TQQQ,2010-02-12,160,19.0,0.43842591596244773,0.5739217844743407,-0.7666689078904032,354.30875199930347,0.16220201523715902,0.07962644384369624
TQQQ,2010-02-12,160,19.5,0.41623141175129685,0.5730554136999139,-0.7666689078904032,275.63724843192625,0.1599901695748341,0.08183828950602114
TQQQ,2010-02-12,160,20.0,0.42661940741618753,0.570597415273797,-0.7666689078904034,310.1604345265115,0.15630376013762595,0.0855246989432293
TQQQ,2010-02-12,160,20.5,0.43197907049815476,0.5689303273049604,-0.7666689078904034,329.5203125811142,0.15556647825018433,0.08626198083067092
TQQQ,2010-02-12,160,21.0,0.43197907049815476,0.5689303273049604,-0.7666689078904034,329.5203125811142,0.15556647825018433,0.08626198083067092
TQQQ,2010-02-12,160,21.5,0.4402975667392972,0.5682993985469921,-0.7666689078904031,361.8265597088282,0.1550749569918899,0.08675350208896535
TQQQ,2010-02-12,160,22.0,0.4402975667392972,0.5682993985469921,-0.7666689078904031,361.8265597088282,0.1550749569918899,0.08675350208896535
TQQQ,2010-02-12,160,22.5,0.4177350766899881,0.5648295750397071,-0.7692113038156481,280.4008726496619,0.14204964364708775,0.09977881543376751
TQQQ,2010-02-12,160,23.0,0.3920733886632852,0.5623849095660228,-0.769211303815648,208.7792592486968,0.13516834603096584,0.10666011304988941
TQQQ,2010-02-12,160,23.5,0.3967614007702893,0.5625710205571124,-0.7692113038156481,220.42620640909766,0.13467682477267143,0.10715163430818384
TQQQ,2010-02-12,160,24.0,0.409824060739961,0.561040389526398,-0.7692113038156481,256.1768546739958,0.1344310641435242,0.10739739493733104
TQQQ,2010-02-12,160,24.5,0.41444924432086605,0.557735594023979,-0.7566773250151843,270.08964727926457,0.13049889407716883,0.1113295650036864
TQQQ,2010-02-12,160,25.0,0.41444924432086605,0.557735594023979,-0.7566773250151843,270.08964727926457,0.13049889407716883,0.1113295650036864
TQQQ,2010-02-12,160,25.5,0.37062005668499487,0.5525873759677804,-0.7566773250151841,162.47114007994855,0.11993118702383879,0.12189727205701646
TQQQ,2010-02-12,160,26.0,0.402458366120207,0.5473851791030604,-0.7566773250151841,235.40019551229915,0.11477021381174736,0.1270582452691079
TQQQ,2010-02-12,160,26.5,0.402458366120207,0.5473851791030604,-0.7566773250151841,235.40019551229915,0.11477021381174736,0.1270582452691079
TQQQ,2010-02-12,160,27.0,0.402458366120207,0.5473851791030604,-0.7566773250151841,235.40019551229915,0.11477021381174736,0.1270582452691079
TQQQ,2010-02-12,160,27.5,0.402458366120207,0.5473851791030604,-0.7566773250151841,235.40019551229915,0.11477021381174736,0.1270582452691079
