seed,cagr,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,stage
47,1.6635932190916778,39.0,0.7,66.5,57.0,14.0,1.1,30.0,38.0,
71,1.6635932190916778,39.0,0.7,66.5,57.0,14.0,1.1,29.5,38.0,
71,1.6635932190916778,39.0,0.7,66.5,58.0,14.0,1.1,29.5,38.0,
71,1.6635932190916778,39.5,0.7,66.5,56.0,14.0,1.1,30.0,38.0,
71,1.6635932190916778,39.5,0.7,66.5,56.5,14.0,1.1,30.0,38.0,
97,1.6635932190916778,39.5,0.7,66.5,55.5,14.0,1.1,29.5,38.0,
,1.6635932190916778,40.0,0.7,66.5,57.0,14.0,1.1,29.5,38.0,local
,1.6635932190916778,40.0,0.7,66.5,56.5,14.0,1.1,30.0,38.0,local
,1.6635932190916778,40.0,0.7,66.5,58.5,14.0,1.1,30.0,38.0,local
,1.6635932190916778,40.0,0.7,66.5,56.0,14.0,1.1,30.0,38.0,local
,1.6635932190916778,40.0,0.7,66.5,57.5,14.0,1.1,29.5,38.0,local
,1.6635932190916778,40.0,0.7,66.5,55.5,14.0,1.1,29.5,38.0,local
,1.6635932190916778,40.0,0.7,66.5,57.5,14.0,1.1,30.0,38.0,local
11,1.663453433488777,40.5,0.8,66.0,58.5,14.0,1.1,29.5,37.5,
11,1.663453433488777,40.5,0.8,66.0,58.0,14.0,1.1,30.0,37.5,
11,1.663453433488777,40.5,0.8,66.0,57.0,14.0,1.1,30.0,37.5,
11,1.663453433488777,40.5,0.8,66.0,56.5,14.0,1.1,30.0,37.5,
11,1.663453433488777,40.5,0.8,66.0,57.5,14.0,1.1,30.0,37.5,
29,1.663453433488777,40.5,0.8,66.0,59.5,14.0,1.1,30.0,37.5,
29,1.663453433488777,40.5,0.8,66.0,55.5,14.0,1.1,29.5,37.5,
71,1.663453433488777,40.5,0.8,66.0,59.0,14.0,1.1,30.0,37.5,
71,1.663453433488777,40.5,0.8,66.0,56.0,14.0,1.1,29.5,37.5,
131,1.663453433488777,40.5,0.8,66.0,56.0,14.0,1.1,30.0,37.5,
11,1.6633912608491261,40.0,0.7,66.5,57.0,14.0,1.1,30.0,37.5,
29,1.6633912608491261,39.0,0.7,66.5,56.5,14.0,1.1,30.0,37.5,
71,1.6633912608491261,39.5,0.7,66.5,56.5,14.0,1.1,30.0,37.5,
71,1.6633912608491261,39.5,0.7,66.5,56.0,14.0,1.1,29.5,37.5,
71,1.6633912608491261,40.0,0.7,66.5,58.5,14.0,1.1,30.0,37.5,
71,1.6633912608491261,40.0,0.7,66.5,58.5,14.0,1.1,29.5,37.5,
97,1.6633912608491261,39.0,0.7,66.5,55.5,14.0,1.1,30.0,37.5,
97,1.6633912608491261,40.0,0.7,66.5,56.5,14.0,1.1,30.0,37.5,
11,1.6631648223551516,40.5,0.7,66.5,56.5,14.0,1.1,29.5,40.0,
29,1.6631648223551516,40.5,0.7,66.5,58.0,14.0,1.1,30.0,40.0,
47,1.6631648223551516,40.5,0.7,66.5,57.5,14.0,1.1,29.5,40.0,
47,1.6631648223551516,40.5,0.7,66.5,56.5,14.0,1.1,30.0,40.0,
