feature,direction,threshold,threshold_pct_if_ratio,n,loss_rate,avg_return_pct,median_return_pct,avg_tqqq_episode_return_pct,tqqq_up_rate
GSPC_SMA160_SLOPE_20D,>=,0.022720081049713285,2.2720081049713285,10,0.4,4.337269761118408,2.6896622587187946,1.4078438502573032,0.6
pre10_tqqq_open_return,<=,0.009241790125321121,,10,0.4,0.6678994814009691,0.4180406996868946,5.254425975210121,0.7
GSPC_SMA160_Z,>=,1.9305383345812754,,49,0.3877551020408163,1.477495933783496,1.7711942124618574,1.984434296048723,0.4897959183673469
GSPC_BB20_Z,<=,1.6555960520879411,,39,0.38461538461538464,3.1417734470624747,2.2775433318011906,2.1026951962837463,0.5384615384615384
GSPC_SMA160_SLOPE_20D,>=,0.01607973639759406,1.607973639759406,29,0.3793103448275862,3.735935134955228,2.9606791366511453,1.3404876524731446,0.4827586206896552
pre10_tqqq_open_return,>=,0.09018856702276483,,29,0.3793103448275862,4.32695133892552,3.323316802816323,0.8604917786397819,0.3448275862068966
GSPC_BB20_Z,<=,2.22523737827378,,77,0.37662337662337664,3.423938590081481,2.500685484671905,1.6627002386201548,0.4935064935064935
GSPC_SMA20_RATIO,<=,0.02533624977809836,2.5336249778098363,68,0.36764705882352944,2.167597344779428,2.389114408236548,2.015308771695028,0.5147058823529411
GSPC_BB20_Z,<=,2.0371715366530934,,68,0.36764705882352944,2.9895456074816984,2.4596654327291745,1.7577401288430803,0.5147058823529411
GSPC_SMA20_RATIO,<=,0.021091585346049824,2.1091585346049824,49,0.3673469387755102,2.2983934100795014,2.500685484671905,2.464949119363396,0.6122448979591837
GSPC_BB20_Z,<=,1.754977914150556,,49,0.3673469387755102,3.2078369362547208,2.418645380786444,1.8248296067194854,0.4897959183673469
GSPC_CLOSE_RET_10D,<=,0.021198734141854247,2.1198734141854247,49,0.3673469387755102,3.4909526792728025,2.2775433318011906,2.318294368241342,0.5102040816326531
GSPC_SMA160_Z,>=,1.5736558458088084,,77,0.36363636363636365,2.3753020529768984,2.2775433318011906,1.8538305470013405,0.5064935064935064
GSPC_SMA20_RATIO,<=,0.022406656313638255,2.2406656313638256,58,0.3620689655172414,2.5998422011302944,2.1963204121990043,2.1162073713910075,0.5344827586206896
GSPC_SMA160_RATIO,<=,0.07059182562110573,7.059182562110573,39,0.358974358974359,1.786534727824778,2.979870810323071,1.4900862234702523,0.5384615384615384
