Date,gspc_open,gspc_close_sma160_prev,signal_below_prev_close_sma_open,tqqq_open,tqqq_peak_open,tqqq_drawdown_from_peak,target_regime_at_open,overnight_regime,close_to_open_return,open_to_close_return,strategy_return,strategy_equity
2019-03-21,2819.719970703125,2749.7544342041015,False,6.740774920918326,8.637991164221006,-0.2196362796897785,above,above,-0.0092965671178438,0.0561260978989919,0.0463077507449674,36.71109417884402
2019-03-22,2844.52001953125,2749.995620727539,False,7.026015386450303,8.637991164221006,-0.18661465925637755,above,above,-0.0130764870385378,-0.0529981142940862,-0.06538157217799045,34.31086512505693
2019-03-25,2796.010009765625,2749.9165573120117,False,6.571300540742422,8.637991164221006,-0.23925593163824022,above,above,-0.0123765574463586,0.0061750843463077,-0.006277899386199048,34.09546496594837
2019-03-26,2812.659912109375,2749.736183166504,False,6.765837146500493,8.637991164221006,-0.21673488454990197,above,above,0.0232851014885446,-0.0093490702440618,0.013718337195026242,34.563198051172456
2019-03-27,2819.719970703125,2749.599369812012,False,6.7300326035211855,8.637991164221006,-0.22087989260774898,above,above,0.004095397899221,-0.0235857072309452,-0.01958690218756942,33.886212071654555
2019-03-28,2809.39990234375,2749.317933654785,False,6.620233443127886,8.637991164221006,-0.23359108416905705,above,above,0.0074465353982924,-0.0010816904988388,0.0063567900528640475,34.10161960748089
2019-03-29,2828.27001953125,2749.04912109375,False,6.758675888502151,8.637991164221006,-0.2175639266109779,above,above,0.0220175253185688,0.0005297329813007,0.022558921709197488,34.87091537436289
2019-04-01,2848.6298828125,2748.903495788574,False,6.957987568899786,8.637991164221006,-0.1944900803186601,above,above,0.0289446867437088,0.0101200713603584,0.039357680399416894,36.24335371690218
2019-04-02,2868.239990234375,2748.988557434082,False,7.052273339491987,8.637991164221006,-0.18357483754986248,above,above,0.0033962822295992,0.0076155146687666,0.011037661335504545,36.643395580892246
2019-04-03,2876.090087890625,2749.2008071899413,False,7.225327428922482,8.637991164221006,-0.16354077104753806,above,above,0.0167953467153334,0.0004955199676779,0.017299189112672808,37.27729661077658
2019-04-04,2873.989990234375,2749.5224945068358,False,7.230102514373434,8.637991164221006,-0.16298797059194936,above,above,0.0001652796636371,-0.0016507475370707,-0.0014857407084313268,37.22191221370168
2019-04-05,2884.159912109375,2749.7689315795897,False,7.287388724152657,8.637991164221006,-0.15635608029591563,above,above,0.0095898694881522,0.0054044875357923,0.015046185354063102,37.7819600041017
2019-04-08,2888.4599609375,2750.2337432861327,False,7.289775981304726,8.637991164221006,-0.1560797131282856,above,above,-0.0050496095254387,0.0129338093835553,0.007818889171053334,38.077372962038936
2019-04-09,2886.580078125,2750.577993774414,False,7.308871092908655,8.637991164221006,-0.15386911679391768,above,above,-0.0101826712869174,-0.0008165096405506,-0.01099086667819571,37.65886963235723
2019-04-10,2881.3701171875,2750.7534317016602,False,7.3351285980642515,8.637991164221006,-0.15082934693812566,above,above,0.0044126654033129,0.0117149565803529,0.01617931616726942,38.26816439064112
2019-04-11,2891.919921875,2750.9481811523438,False,7.448507857677333,8.637991164221006,-0.13770369567759844,above,above,0.003698736989528,-0.0112161635098686,-0.00755891215919513,37.97889869751862
2019-04-12,2900.860107421875,2751.1066818237305,False,7.4592498843204,8.637991164221006,-0.1364601164195458,above,above,0.0128019235981022,-0.00047998046875,0.012315798456062899,38.446639159460496
2019-04-15,2908.320068359375,2751.391618347168,False,7.455669422838402,8.637991164221006,-0.13687461805701306,above,above,-2.2429373469634584e-08,0.0008003719558753,0.0008003495085500134,38.47740990821717
