Date,signal_date,gspc_prev_close_rsi14,GSPC_CLOSE_BB20_Z,GSPC_SIGNAL_CLOSE,base_target_regime_at_open,selected_leg,action,strategy_return,strategy_equity
2012-07-30,2012-07-27,61.473242912004274,2.300728188803016,1385.969970703125,TQQQ,TQQQ,,-0.0060285284627625835,9.029476208441181
2012-07-31,2012-07-30,61.200154310213996,2.00168340649602,1385.300048828125,TQQQ,TQQQ,,0.000586015693751607,9.034767623205685
2012-08-01,2012-07-31,58.69359870615564,1.3625947192811854,1379.3199462890625,TQQQ,TQQQ,,-0.009776514333884823,8.946439088034095
2012-08-02,2012-08-01,57.01160586118053,1.0110888165244445,1375.3199462890625,TQQQ,TQQQ,,-0.010466390670217818,8.852802161431423
2012-08-03,2012-08-02,52.806984406545055,0.3464148110165504,1365.0,TQQQ,TQQQ,,0.056876004449450956,9.356314176555106
2012-08-06,2012-08-03,60.673196302666625,2.0151384961266428,1390.989990234375,TQQQ,TQQQ,,0.02247005742542041,9.566551093392574
2012-08-07,2012-08-06,61.53396720492855,1.9346969650299097,1394.22998046875,TQQQ,TQQQ,,0.024745602021608137,9.803281159469046
2012-08-08,2012-08-07,63.42833514988709,2.071287892637829,1401.3499755859375,TQQQ,TQQQ,,-0.0016229586248912575,9.787370839759053
2012-08-09,2012-08-08,63.66381193945078,1.850326012753784,1402.219970703125,TQQQ,TQQQ,,0.008483783708776338,9.870404777041154
2012-08-10,2012-08-09,63.83103409742907,1.670600418228382,1402.800048828125,TQQQ,TQQQ,,0.0041174682971709675,9.911045855790865
2012-08-13,2012-08-10,64.75546657929038,1.68703969723894,1405.8699951171875,TQQQ,TQQQ,,0.006060895437509872,9.971115668399179
2012-08-14,2012-08-13,63.74949699290769,1.4079313905365403,1404.1099853515625,TQQQ,TQQQ,,0.0014167630932468978,9.985242377076663
2012-08-15,2012-08-14,63.64064906650905,1.2582589207050863,1403.9300537109375,TQQQ,TQQQ,,0.007077725232902843,10.055915179005549
2012-08-16,2012-08-15,64.2255825298572,1.2103279667691929,1405.530029296875,TQQQ,TQQQ,,0.03584010760758316,10.416320261113837
2012-08-17,2012-08-16,67.71455934126936,1.5546242072798337,1415.510009765625,TQQQ,TQQQ,,0.013736990772195812,10.559409156420994
2012-08-20,2012-08-17,68.59053280249066,1.505539540152569,1418.1600341796875,TQQQ,TQQQ,,0.003848299932264432,10.6000449299624
2012-08-21,2012-08-20,68.56782973156413,1.3451710824660847,1418.1300048828125,TQQQ,TQQQ,,-0.01149914040975053,10.4781535249631
2012-08-22,2012-08-21,64.755297627541,1.0160495527855655,1413.1700439453125,TQQQ,TQQQ,,0.010789495375655767,10.5912075139661
2012-08-23,2012-08-22,64.89090902625057,0.9812968508412482,1413.489990234375,TQQQ,TQQQ,,-0.022184462751364986,10.356247265380542
2012-08-24,2012-08-23,56.53633098548117,0.3029660190668928,1402.0799560546875,TQQQ,TQQQ,,0.017740570032968694,10.539972995270766
2012-08-27,2012-08-24,60.84261798329725,0.8340126270806435,1411.1300048828125,TQQQ,TQQQ,,0.004860972482408021,10.5912075139661
2012-08-28,2012-08-27,60.35161034152538,0.7038468536443172,1410.43994140625,TQQQ,TQQQ,,-0.0001661007087231381,10.589448306891796
2012-08-29,2012-08-28,59.49745218090814,0.5467891327099117,1409.300048828125,TQQQ,TQQQ,,0.0003326573975490632,10.592970965207048
2012-08-30,2012-08-29,60.13179272958044,0.5604402393369499,1410.489990234375,TQQQ,TQQQ,,-0.030519079470465393,10.269683242491562
2012-08-31,2012-08-30,52.01449739932845,-0.4696609535502022,1399.47998046875,TQQQ,TQQQ,,0.02133183122945459,10.488754392200349
2012-09-04,2012-08-31,56.127451756823326,-0.005627298977188591,1406.5799560546875,TQQQ,TQQQ,,-0.004212097169777995,10.444574739510465
2012-09-05,2012-09-04,54.95570917208458,-0.3934642708559911,1404.93994140625,TQQQ,TQQQ,,-0.004566271276681633,10.396881977880284
2012-09-06,2012-09-05,53.848427455561264,-0.8148901866154505,1403.43994140625,TQQQ,TQQQ,,0.06610047199897973,11.084120783935857
2012-09-07,2012-09-06,67.38119767694332,4.451190660351559,1432.1199951171875,TQQQ,TQQQ,,-0.004304236500584202,11.036412106680757
2012-09-10,2012-09-07,69.3392290571881,3.850985700103519,1437.9200439453125,TQQQ,UVIX,enter_uvix_prev_close,0.06520675821621769,11.756060762495627
2012-09-11,2012-09-10,63.120108310926824,1.8828407492703718,1429.0799560546875,TQQQ,TQQQ,exit_uvix_rsi_and_gspc_profit,0.005231879157302055,11.817567051770904
2012-09-12,2012-09-11,64.84118515659696,2.087301215134919,1433.56005859375,TQQQ,TQQQ,,0.008678478366108466,11.920125551769734
2012-09-13,2012-09-12,65.98587521146973,2.075907932855886,1436.56005859375,TQQQ,TQQQ,,0.03988065381008066,12.39550795227256
2012-09-14,2012-09-13,73.29784575188145,3.7981691942174938,1459.989990234375,TQQQ,UVIX,enter_uvix_prev_close,0.142839042444443,14.166070438787651
