cagr,annualized_vol,max_drawdown,final_multiple,uvix_entries,uvix_exits,uvix_gspc_profit_exit_only,uvix_rsi_exit_only,uvix_rsi_and_gspc_profit_exit,low_rsi_entries,low_rsi_exits,skipped_uvix_entry_days,alpha_drawdown_pct,gspc_exit_gamma_pct,uvix_entry_rsi,uvix_exit_rsi,bb_window_days,bb_z_threshold,low_rsi_entry,low_rsi_exit,start,end,base_reentry_rule,transition_policy,objective
1.6473950784844584,0.6625833040343578,-0.8050607989173029,6717081.945168005,344,343,293,3,47,15,15,40,40.5,0.9,66.5,64.0,14,1.1,30.0,33.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.646321653757751,0.6709218402478823,-0.8050607989173032,6673240.230994657,374,373,349,1,23,15,15,37,40.5,0.8,66.0,60.0,14,1.05,30.0,34.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6461765060499438,0.6644170055828168,-0.8050607989173031,6667332.631209051,350,349,305,3,41,13,13,27,40.5,0.9,66.5,63.5,14,1.05,30.0,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6461765060499438,0.6644170055828168,-0.8050607989173031,6667332.631209051,350,349,308,3,38,13,13,27,40.5,0.9,66.5,63.0,14,1.05,30.0,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6461765060499438,0.6644170055828168,-0.8050607989173031,6667332.631209051,350,349,298,3,48,13,13,27,40.5,0.9,66.5,64.0,14,1.05,30.0,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6461765060499438,0.6644170055828168,-0.8050607989173031,6667332.631209051,350,349,305,3,41,13,13,27,40.5,0.9,66.5,63.5,14,1.05,29.5,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6460932251574238,0.6629317921919212,-0.8050607989173032,6663945.263670173,344,343,317,2,24,13,13,40,40.5,0.9,66.5,61.0,14,1.1,30.0,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6459758683726844,0.6643977409742451,-0.8050607989173031,6659174.63335541,350,349,305,3,41,13,13,27,40.5,0.9,66.5,63.5,14,1.05,30.0,37.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6453472804283038,0.6631173117747708,-0.805060798917303,6633676.609371495,331,330,285,4,41,13,13,42,40.5,0.7,66.5,63.5,14,1.1,30.0,38.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.644875823185092,0.6695444345884783,-0.8050607989173031,6614612.567898816,368,367,343,1,23,15,15,50,40.5,0.8,66.0,60.0,14,1.1,30.0,33.5,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6448453504719627,0.6696833332761265,-0.8050607989173033,6613382.130557338,368,367,343,1,23,15,15,50,40.5,0.8,66.0,60.0,14,1.1,30.0,34.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
1.6444529123148728,0.6702122639473411,-0.8050607989173031,6597555.307461214,368,367,343,1,23,14,14,50,40.5,0.8,66.0,60.0,14,1.1,30.0,35.0,2010-02-12,2026-04-17,tqqq_open_drawdown_from_immediate_prior_peak,one_open_transition_per_day,maximize_cagr
