Date,signal_source,signal_price,signal_sma,signal_below_sma,drawdown_trigger,target_regime,realized_regime,strategy_return,strategy_equity,tecl_buy_hold_return,tecl_buy_hold_equity
2017-03-21,TECH_UNDERLIER,12.447803323588428,11.460144349774515,False,False,above,above,0.0025298334793548705,1230591.9760659472,-0.041264599966578164,0.7395848700826267
2017-03-22,TECH_UNDERLIER,12.52588461950904,11.470966249926503,False,False,above,above,-0.041264599966578164,1179812.090451505,0.01826911882923854,0.7530964339584733
2017-03-23,TECH_UNDERLIER,12.492761049663166,11.481347417029495,False,False,above,above,0.01826911882923854,1201366.2177281359,-0.008818553492213832,0.746455212770815
2017-03-24,TECH_UNDERLIER,12.5022232310812,11.49142259765088,False,False,above,above,-0.008818553492213832,1190771.9054733617,0.0012270603856081586,0.7473711583920367
2017-03-27,TECH_UNDERLIER,12.5022232310812,11.500840490006295,False,False,above,above,0.0012270603856081586,1192233.0545068632,0.0,0.7473711583920367
2017-03-28,TECH_UNDERLIER,12.59213373749504,11.510834912946923,False,False,above,above,0.0,1192233.0545068632,0.019151379813593383,0.7616843473081278
2017-03-29,TECH_UNDERLIER,12.61342908599481,11.520816359513674,False,False,above,above,0.019151379813593383,1215065.9625600448,0.006464240188096992,0.7666080578766414
2017-03-30,TECH_UNDERLIER,12.637088496128397,11.531164792028926,False,False,above,above,0.006464240188096992,1222920.4407864143,0.004629930226793366,0.7701573996959079
2017-03-31,TECH_UNDERLIER,12.613429085994811,11.541117064937598,False,False,above,above,0.004629930226793366,1228582.4771001749,-0.004608592763852948,0.7666080578766415
2017-04-03,TECH_UNDERLIER,12.60160086464871,11.551068435249517,False,False,above,above,-0.004608592763852948,1222920.4407864145,-0.0029872816723639506,0.7643179836754601
2017-04-04,TECH_UNDERLIER,12.61106304606674,11.560743023648758,False,False,above,above,-0.0029872816723639506,1219267.232966894,0.001198225811950504,0.765233809212038
2017-04-05,TECH_UNDERLIER,12.559008189354914,11.570603454246676,False,False,above,above,0.001198225811950504,1220728.1904371004,-0.009426745915054546,0.7580201445269867
2017-04-06,TECH_UNDERLIER,12.561375218430113,11.580507889527414,False,False,above,above,-0.009426745915054546,1209220.6959545056,-0.0021148910189529024,0.7564170145311412
2017-04-07,TECH_UNDERLIER,12.55428006608728,11.59033876935491,False,False,above,above,-0.0021148910189529024,1206663.3259646995,-0.0009081554118156587,0.7557300703258053
2017-04-10,TECH_UNDERLIER,12.530615710218058,11.599977933922661,False,False,above,above,-0.0009081554118156587,1205567.488134985,-0.0054545210419030266,0.7516079247552143
2017-04-11,TECH_UNDERLIER,12.48329787909801,11.609321362045911,False,False,above,above,-0.0054545210419030266,1198991.6949035185,-0.011426054817678444,0.7430200114055597
2017-04-12,TECH_UNDERLIER,12.440706192951344,11.618150279108821,False,False,above,above,-0.011426054817678444,1185291.9500716098,-0.010479406038236272,0.735233603011506
2017-04-13,TECH_UNDERLIER,12.391020343608972,11.627048424106292,False,False,above,above,-0.010479406038236272,1172870.7944529566,-0.011680278468657601,0.7266458697888172
2017-04-17,TECH_UNDERLIER,12.504588281862144,11.636510308780185,False,False,above,above,-0.011680278468657601,1159171.3369659905,0.02568543577265281,0.7453100856067413
2017-04-18,TECH_UNDERLIER,12.502223231081201,11.6459282011356,False,False,above,above,0.02568543577265281,1188945.1578911305,-0.0010753174131897802,0.7445086406934623
2017-04-19,TECH_UNDERLIER,12.49276104966317,11.655024045732933,False,False,above,above,-0.0010753174131897802,1187666.6644595226,-0.0026147341422164683,0.742561948531466
2017-04-20,TECH_UNDERLIER,12.6063309662106,11.665063394499636,False,False,above,above,-0.0026147341422164683,1184561.231882388,0.0259059590085442,0.7617987279314268
2017-04-21,TECH_UNDERLIER,12.58030551614894,11.675056933390021,False,False,above,above,0.0259059590085442,1215248.426598644,-0.004208723159823458,0.7585925279820578
2017-04-24,TECH_UNDERLIER,12.729364053323186,11.685762973502573,False,False,above,above,-0.004208723159823458,1210133.782400679,0.03486794714419017,0.7850430921517138
