condition,total_episodes,baseline_win_rate,baseline_avg_return_pct,skipped_n,skipped_loss_n,skipped_win_n,skipped_loss_rate,skipped_avg_return_pct,loss_recall,win_cost_rate,kept_n,kept_win_rate,kept_avg_return_pct,kept_median_return_pct,win_rate_improvement,avg_return_improvement_pct,rule_size,loss_capture_efficiency
GSPC_SMA160_SLOPE_20D <= 0.494% AND days_since_previous_exit >= 51.500,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,5.800234613368229,0.0625,0.09230769230769231,89,0.6629213483146067,3.442846619048989,2.9606791366511453,-0.00718174446889841,-0.1944237521088028,2,0.6770833333333333
GSPC_SMA160_SLOPE_20D <= 0.494% AND days_since_previous_exit >= 83.000,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,5.800234613368229,0.0625,0.09230769230769231,89,0.6629213483146067,3.442846619048989,2.9606791366511453,-0.00718174446889841,-0.1944237521088028,2,0.6770833333333333
days_since_previous_exit >= 51.500 AND GSPC_SMA160_SLOPE_20D <= 0.562%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,5.800234613368229,0.0625,0.09230769230769231,89,0.6629213483146067,3.442846619048989,2.9606791366511453,-0.00718174446889841,-0.1944237521088028,2,0.6770833333333333
days_since_previous_exit >= 83.000 AND GSPC_SMA160_SLOPE_20D <= 0.562%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,5.800234613368229,0.0625,0.09230769230769231,89,0.6629213483146067,3.442846619048989,2.9606791366511453,-0.00718174446889841,-0.1944237521088028,2,0.6770833333333333
GSPC_SMA160_Z >= 2.236 AND pre10_tqqq_open_return <= 2.417%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,6.772651873775811,0.0625,0.09230769230769231,89,0.6629213483146067,3.3554383259786444,2.9606791366511453,-0.00718174446889841,-0.2818320451791472,2,0.6770833333333333
pre5_tqqq_open_return >= 3.805% AND GSPC_SMA160_Z >= 2.236,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,6.9456548240327125,0.0625,0.09230769230769231,89,0.6629213483146067,3.3398874989892597,2.9606791366511453,-0.00718174446889841,-0.2973828721685319,2,0.6770833333333333
GSPC_CLOSE_RET_20D >= 4.623% AND GSPC_CLOSE_RET_5D >= 2.127%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,7.749849405630027,0.0625,0.09230769230769231,89,0.6629213483146067,3.267600345587254,2.9606791366511453,-0.00718174446889841,-0.3696700255705374,2,0.6770833333333333
GSPC_CLOSE_RET_20D >= 4.472% AND GSPC_CLOSE_RET_5D >= 2.127%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,7.749849405630027,0.0625,0.09230769230769231,89,0.6629213483146067,3.267600345587254,2.9606791366511453,-0.00718174446889841,-0.3696700255705374,2,0.6770833333333333
pre20_tqqq_open_return >= 17.767% AND GSPC_SMA160_SLOPE_20D <= 0.494%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,7.757552277599964,0.0625,0.09230769230769231,89,0.6629213483146067,3.266907952601192,2.9606791366511453,-0.00718174446889841,-0.3703624185565997,2,0.6770833333333333
pre20_tqqq_open_return >= 15.976% AND GSPC_SMA160_SLOPE_20D <= 0.494%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,7.757552277599964,0.0625,0.09230769230769231,89,0.6629213483146067,3.266907952601192,2.9606791366511453,-0.00718174446889841,-0.3703624185565997,2,0.6770833333333333
pre5_tqqq_open_return >= 4.259% AND GSPC_SMA160_SLOPE_20D <= 0.562%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,15.042514304399011,0.0625,0.09230769230769231,89,0.6629213483146067,2.6120799052484696,2.9606791366511453,-0.00718174446889841,-1.025190465909322,2,0.6770833333333333
pre5_tqqq_open_return >= 5.566% AND pre20_tqqq_open_return >= 15.976%,97,0.6701030927835051,3.6372703711577916,8,2,6,0.25,18.159039094160043,0.0625,0.09230769230769231,89,0.6629213483146067,2.3319428454946687,2.9606791366511453,-0.00718174446889841,-1.305327525663123,2,0.6770833333333333
entry_rsi <= 70.302 AND pre5_tqqq_open_return <= 1.456%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,-0.7959459130694998,0.09375,0.12307692307692308,86,0.6627906976744186,4.2043096633263985,3.368681227295678,-0.007312395109086545,0.5670392921686069,2,0.76171875
entry_rsi <= 70.302 AND GSPC_SMA50_RATIO <= 3.691%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,0.8060565132231706,0.09375,0.12307692307692308,86,0.6627906976744186,3.9994023762424527,3.0370105505238443,-0.007312395109086545,0.36213200508466103,2,0.76171875
entry_rsi <= 70.302 AND GSPC_SMA160_SLOPE_20D >= 1.608%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,2.4639720449600095,0.09375,0.12307692307692308,86,0.6627906976744186,3.7873434128807646,3.0370105505238443,-0.007312395109086545,0.15007304172297298,2,0.76171875
GSPC_SMA160_SLOPE_20D >= 1.474% AND GSPC_CLOSE_RET_5D >= 1.675%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,2.8126989813208136,0.09375,0.12307692307692308,86,0.6627906976744186,3.7427388047415913,2.970274973487108,-0.007312395109086545,0.10546843358379965,2,0.76171875
GSPC_CLOSE_RET_5D >= 1.548% AND pre5_tqqq_open_return >= 6.277%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,4.176490954547049,0.09375,0.12307692307692308,86,0.6627906976744186,3.568300296538236,3.0274147136878815,-0.007312395109086545,-0.06897007461955562,2,0.76171875
pre5_tqqq_open_return >= 6.277% AND GSPC_CLOSE_RET_5D >= 1.675%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,4.176490954547049,0.09375,0.12307692307692308,86,0.6627906976744186,3.568300296538236,3.0274147136878815,-0.007312395109086545,-0.06897007461955562,2,0.76171875
pre5_tqqq_open_return >= 3.805% AND GSPC_SMA160_Z >= 2.209,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,4.664728918101215,0.09375,0.12307692307692308,86,0.6627906976744186,3.505851254688284,2.970274973487108,-0.007312395109086545,-0.13141911646950755,2,0.76171875
GSPC_SMA20_RATIO <= 1.899% AND GSPC_SMA160_Z >= 2.236,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,7.012518181760772,0.09375,0.12307692307692308,86,0.6627906976744186,3.205552627941131,2.970274973487108,-0.007312395109086545,-0.43171774321666057,2,0.76171875
pre20_tqqq_open_return >= 15.976% AND pre5_tqqq_open_return >= 4.942%,97,0.6701030927835051,3.6372703711577916,11,3,8,0.2727272727272727,13.421785723321053,0.09375,0.12307692307692308,86,0.6627906976744186,2.385762593555514,2.7306823106615252,-0.007312395109086545,-1.2515077776022778,2,0.76171875
